,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
200,Gary Kagelmacher Valenciennes,34, D(CR),,31,2753,1,0.1,28.3,86.3,-,3.6,-,6.83
201,Dorian Lévêque Guingamp,32, D(LR),,13(5),1258,-,0.4,22.1,68.8,0.5,1.2,-,6.83
202,Sébastien Corchia Sochaux,32, D(R),M(R),33,2919,2,0.9,22.1,67.3,1,0.8,-,6.83
203,Nicolas Maurice-Belay Bordeaux,37, M(CL),FW,30(4),2551,4,1.4,31.4,80.7,0.4,0.7,0.1,6.83
204,Ryad Boudebouz SC Bastia,32, M(CLR),FW,27(5),2481,6,2.0,39.1,78.5,1.3,2.8,0.1,6.83
205,Mario Lemina Lorient,29, DMC,,4,311,-,1.0,36.5,82.2,-,4.3,-,6.83
206,Benoit Cheyrou Marseille,41, M(C),,21(5),1786,-,0.8,40.8,79.1,0.2,4.3,0.1,6.83
207,Mathieu Deplagne Montpellier,31, D(CLR),,21(1),1900,2,0.4,31.7,77.0,0.2,1.0,-,6.82
208,Mathieu Peybernes Sochaux,32, D(C),,12(3),1143,-,0.1,30.4,72.6,-,2.3,0.1,6.82
209,Benjamin Angoua Valenciennes,35, D(CR),,15(1),1395,-,0.1,29.7,81.1,-,2.8,0.1,6.82
210,Yohan Mollo Saint-Etienne,33, M(CLR),FW,10(7),829,3,1.8,14.7,77.2,1.6,0.6,-,6.82
211,Andrea Raggi Monaco,38, D(CLR),,22(6),2032,2,0.4,30.5,79.5,0.2,1.2,-,6.82
212,Éric Bauthéac Nice,35, AM(LR),,24(3),2135,2,1.1,28.8,77.3,1.3,1,-,6.82
213,Foued Kadir Rennes,38, M(CLR),,22(6),1887,2,1.0,29.5,79.9,0.3,0.8,0.1,6.82
214,Romain Danzé Rennes,36, D(R),M(CR),34(1),3000,-,0.5,44.5,76.4,0.2,1.9,-,6.81
215,Banel Nicolita Saint-Etienne,37, M(R),,1(2),122,1,1.0,13.7,73.2,1.3,-,-,6.81
216,Lindsay Rose Valenciennes,30, D(C),,9,767,-,0.1,24.6,82.8,-,2.3,-,6.81
217,Joris Marveaux Montpellier,40, M(CR),,25(2),1971,-,0.3,30.6,79.6,0.3,1.7,-,6.81
218,Romain Alessandrini Rennes,33, AM(CLR),FW,21(6),1859,5,1.1,21.7,74.4,0.9,0.6,-,6.8
219,Valère Germain Monaco,32, AM(CLR),FW,14(9),1225,2,1.0,16.1,72.2,0.2,0.5,-,6.8
220,Claudio Beauvue Guingamp,34, AM(CLR),FW,29(7),2296,3,0.8,17.2,64.4,0.5,0.5,-,6.8
221,Jonathan Martins Pereira Guingamp,36, D(R),,23(2),1994,-,0.5,31.3,70.6,0.4,1.4,0.1,6.8
222,Cheick Doukouré Lorient,30, DMC,,12(7),1173,-,0.3,33.2,84.5,-,3.8,-,6.8
223,Kurt Zouma Saint-Etienne,28, D(CR),,17(7),1580,1,-,24.6,83.4,-,2.8,-,6.79
224,Cédric Mongongu Evian,33, D(C),,33(1),2914,-,-,31.4,78.0,-,4.5,-,6.79
225,Geoffrey Jourdren Montpellier,36, GK,,34,3001,-,-,16.5,34.9,-,3.8,-,6.79
226,Baissama Sankoh Guingamp,30, D(CR),M(C),10(1),879,-,0.4,21.8,72.9,0.5,0.9,-,6.79
227,Brice Dja Djédjé Evian,31, D(R),DMC,12(2),1140,-,0.7,37.4,80.3,0.9,3.1,0.1,6.78
228,Sébastien Roudet Sochaux,41, M(CL),,25(4),2261,6,1.9,27.7,77.7,1.7,0.9,0.1,6.78
229,Mohamed Fofana Reims,37, D(C),,4(3),500,-,-,25.6,81.0,-,1.0,-,6.78
