,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
66,Martín Aguirregabiria Deportivo Alaves,26, D(LR),M(R),20(1),1829,2.4,2,0.9,0.1,2.8,0.9,0.3,-,7.02
67,Marco Asensio Real Madrid,26, AM(CLR),FW,19(13),1839,0.8,0.3,0.3,-,0.1,0.5,-,-,7.02
68,Luisinho Deportivo,37, D(L),M(L),29(1),2622,3.7,1.8,1.4,0.2,3.1,1,0.1,-,7.02
69,Cédric Bakambu Villarreal,31, AM(LR),FW,15,1269,0.7,0.2,2.7,-,1.7,0.4,0.1,-,7.01
70,Willian José Real Sociedad,30, FW,,32(2),2780,0.3,0.1,0.9,0.1,0.9,0.2,-,-,7.01
71,Joaquín Real Betis,41, M(CLR),FW,29(6),2487,0.6,0.4,0.6,-,1.0,0.3,0.1,-,7.01
72,José Morales Levante,35, D(R),M(CLR),35,3066,1.1,0.7,0.8,-,0.4,1.5,-,-,7.01
73,Karim Benzema Real Madrid,34, FW,,25(7),2156,0.4,0.3,0.6,-,0.6,0.5,-,-,7.0
74,Jonny Celta Vigo,28, D(CLR),M(LR),36,3203,2.8,2.6,1.4,0.2,2.0,1.3,0.2,-,7.0
75,Rubén Pérez Leganes,33, M(C),,29(2),2521,3.2,2.5,1.4,-,1.3,1.7,0.2,-,6.99
76,Iván Ramis Eibar,38, D(C),,15(1),1304,1.3,1.6,0.7,1.4,3.2,0.7,0.3,-,6.99
77,Joseba Zaldua Leganes,30, D(R),,29(1),2560,2.3,2.0,1.4,0.3,2.6,0.8,0.2,-,6.99
78,Mikel Oyarzabal Real Sociedad,25, AM(CLR),FW,31(4),2784,0.9,0.5,0.8,-,0.3,0.9,0.1,-,6.99
79,Jefferson Lerma Levante,28, D(R),DMC,25(1),2138,2.0,1.9,2.1,0.2,1.4,1.1,0.4,-,6.99
80,Cote Eibar,33, D(L),,28(2),2431,2,1.3,0.7,0.4,2.3,0.7,-,-,6.99
81,Manu García Deportivo Alaves,36, DMC,,27(3),2439,3.2,1.2,2.2,0.1,2.2,2.2,0.4,-,6.98
82,Pablo Hernández Celta Vigo,36, M(C),,18(12),1813,1.6,1.3,1.8,-,2.4,1.1,0.4,-,6.98
83,Theo Hernández Real Madrid,25, D(L),M(L),10(3),963,1.6,1.3,0.8,0.2,1.3,0.9,0.2,-,6.98
84,Pedro León Eibar,35, M(LR),,10(2),929,0.8,0.8,1.0,0.1,0.4,0.3,0.2,-,6.98
85,Jan Oblak Atletico,29, GK,,37,3330,-,0.1,0.1,-,0.3,-,-,-,6.98
86,Pablo Maffeo Girona,25, D(R),M(R),32(1),2651,2.2,1.5,0.9,0.2,1.8,0.7,0.2,-,6.97
87,Juan Cala Getafe,32, D(C),,20,1800,1.1,2.0,1.4,0.9,6.0,0.7,0.5,-,6.96
88,Pione Sisto Celta Vigo,27, AM(CLR),FW,31(3),2535,0.5,0.4,0.4,-,0.1,0.7,-,-,6.96
89,Héctor Moreno Real Sociedad,34, D(CL),,8,720,0.9,1.3,1.1,0.8,2.0,0.3,0.4,-,6.96
90,Loren Morón Real Betis,28, FW,,12(3),1064,0.9,0.1,1.7,-,0.6,0.9,0.1,-,6.96
91,Nicolás Pareja Sevilla,38, D(C),,5,406,2.2,2.6,2,0.2,4.8,0.4,0.2,-,6.96
92,Carlos Bacca Villarreal,36, FW,,30(5),2512,0.3,0.2,0.6,0.1,0.5,0.3,-,-,6.95
93,Jesús Vallejo Real Madrid,25, D(CR),,7,630,1.1,2.3,0.3,1.1,3.0,0.4,0.7,-,6.95
94,Leandro Cabrera Getafe,31, D(CL),,8(1),720,2.1,2.4,1.6,0.7,3.8,1.1,0.6,-,6.95
95,Hugo Mallo Celta Vigo,31, D(CR),M(R),34,3004,2.5,2.0,1.4,0.2,2.9,0.5,0.4,-,6.95
96,Adrián López Deportivo,34, M(CLR),FW,26(4),2347,0.8,0.3,0.5,-,1.4,0.6,0.1,-,6.95
97,Maximiliano Gómez Celta Vigo,26, FW,,35(1),3078,0.2,0.1,1.5,-,0.9,0.5,0.1,-,6.95
98,José Giménez Atletico,27, D(CR),,17(6),1684,1.7,1.3,0.7,-,4.2,0.5,0.7,-,6.95
99,Keylor Navas Real Madrid,35, GK,,27,2430,0.1,0.1,-,-,0.5,-,-,-,6.94
100,Iker Muniain Athletic Bilbao,29, AM(CLR),,7(7),775,0.7,0.3,0.4,-,0.2,0.4,-,-,6.94
101,Unai Núñez Athletic Bilbao,25, D(C),,33,2942,2.2,2.0,1.3,1,4.6,0.5,0.8,-,6.94
102,Víctor Sánchez Espanyol,35, D(LR),M(CL),29(1),2464,3.5,2.6,2.4,0.2,2.3,2.1,0.5,-,6.94
103,Rubén Duarte Deportivo Alaves,27, D(CL),,24,2141,3.2,1.8,2.0,0.3,2.8,1.0,0.4,-,6.94
104,Javi López Espanyol,36, D(R),DMC,12(2),967,3.4,1.3,1.4,0.1,3.1,1.2,0.1,-,6.94
105,Paulo Oliveira Eibar,30, D(C),,25(1),2215,1.6,2.4,0.6,1.1,5.2,0.2,0.3,1,6.93
