,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
110,Stefan Savic Atletico,31, D(C),,26(1),2299,-,0.1,36.6,81.7,-,3.6,-,6.91
111,Andrés Guardado Real Betis,36, D(L),M(CL),25(4),2267,8,1.6,50.4,86.5,1.2,3.3,0.2,6.91
112,Lucas Vázquez Real Madrid,31, D(R),M(R),16(17),1670,7,1.5,27.2,86.7,0.7,1.0,-,6.91
113,Yannick Carrasco Atletico,29, M(CLR),FW,8(9),900,4,1,17.2,79.8,0.2,0.3,0.1,6.91
114,Manu Trigueros Villarreal,31, M(CLR),FW,32(2),2709,4,1.3,53.4,87.6,0.6,3.5,0.2,6.91
115,José Campaña Levante,29, M(CLR),,33(2),2745,4,1.4,44.9,83.9,0.9,2.7,-,6.91
116,Andrés Iniesta Barcelona,38, M(CL),,25(5),1843,2,0.6,50.7,88.2,0.2,3.3,0.2,6.91
117,Peter Etebo Las Palmas,26, M(CL),FW,14,1216,1,0.5,44.9,85.4,0.1,3.1,0.1,6.91
118,Roberto Rosales Malaga,33, D(R),M(R),35,3125,-,1.5,40.3,74.6,1.3,2.9,-,6.9
119,Marc-André ter Stegen Barcelona,30, GK,,37,3330,-,-,30.0,79.5,-,6.2,-,6.9
120,Nacho Real Madrid,32, D(CLR),,22(5),2073,-,0.2,41.1,90.8,0.2,1.9,-,6.9
121,Víctor Ruiz Villarreal,33, D(C),,27,2417,1,0.1,52.6,85.6,-,3.9,0.1,6.9
122,Pablo Fornals Villarreal,26, M(CLR),,30(5),2623,12,1.5,37.9,78.1,0.2,2.3,0.2,6.9
123,Yerry Mina Barcelona,28, D(C),,4(1),370,1,0.6,48.6,92.6,-,2.6,-,6.89
124,Gabriel Paulista Valencia,31, D(CR),,29(1),2584,-,0.1,45.5,86.9,-,2.9,-,6.89
125,Dimitrios Siovas Leganes,34, D(C),,24,2062,1,0.1,30.4,74.3,-,2.3,-,6.89
126,Steven Nzonzi Sevilla,33, M(C),,26(1),2216,2,0.5,68.6,88.0,0.1,2.1,-,6.89
127,Celso Borges Deportivo,34, D(C),M(C),26(6),2307,3,0.8,37.8,78.1,0.1,2.2,-,6.89
128,Íñigo Martínez Athletic Bilbao,31, D(C),,16,1440,-,0.1,46.4,78.3,0.1,6.2,0.1,6.89
129,Fede Cartabia Deportivo,29, AM(CLR),,16(4),1333,1,1.2,26.3,79.0,0.8,1.2,0.1,6.89
130,Nacho Vidal Valencia,27, D(R),,5(2),447,-,0.1,26.0,79.1,0.3,1.1,-,6.88
131,David Soria Sevilla,29, GK,,15,1265,-,-,20.5,66.8,-,5.9,-,6.87
132,David López Espanyol,33, D(C),DMC,37,3330,-,0.2,51.7,81.3,-,4.3,-,6.87
133,Paulinho Barcelona,34, M(CR),,21(13),1941,2,0.4,35.9,87.8,-,0.7,0.1,6.87
134,Íñigo Martínez Real Sociedad,31, D(C),,12,1056,1,0.6,60.6,79.8,0.3,5.2,0.1,6.87
135,Clément Lenglet Sevilla,27, D(C),,33(2),3002,1,0.1,49.0,83.9,-,2.9,-,6.87
136,Jaume Doménech Valencia,32, GK,,5,450,-,-,21.8,67.9,-,4.8,-,6.87
137,Daniel Wass Celta Vigo,33, D(LR),M(CLR),34(1),2941,9,1.6,42.4,79.9,1.1,1.7,-,6.87
138,Bernardo Espinosa Girona,33, D(C),,32(2),2869,3,0.2,34.4,82.1,-,4.9,-,6.86
139,Miguel Ángel Moyá Real Sociedad,38, GK,,9,765,-,-,37.4,74.2,-,11.4,-,6.86
140,Adnan Januzaj Real Sociedad,27, AM(CLR),,18(10),1580,5,1.3,16.9,80.5,0.6,0.8,0.1,6.86
141,Juanfran Deportivo,34, D(R),M(R),34(1),3058,1,0.9,40.1,76.4,0.9,2.0,-,6.86
142,Sergio Canales Real Sociedad,31, M(CLR),,20(16),1921,5,1.6,32.4,85.1,1.4,2.0,0.1,6.86
143,Jaume Costa Villarreal,34, D(LR),M(L),29(1),2541,-,1.0,43.3,82.5,0.4,2.3,-,6.86
144,Anaitz Arbilla Eibar,35, D(CLR),,26(3),2411,1,0.3,51.6,80.1,0.1,8.7,-,6.85
145,Francis Guerrero Real Betis,26, D(R),M(LR),10(4),992,-,0.6,34.6,79.5,0.4,0.4,-,6.85
146,Borja García Girona,32, AM(CL),,34(3),2815,5,1.5,35.5,85.9,0.7,2.9,0.2,6.85
147,Raphaël Varane Real Madrid,29, D(C),,27,2324,1,0.3,49.3,90.8,-,3.7,-,6.85
148,Ángel Correa Atletico,27, AM(CLR),FW,27(10),2265,4,0.8,23.0,73.6,0.2,0.5,0.1,6.85
149,Zouhair Feddal Real Betis,32, D(C),,14(1),1257,-,0.1,54.1,81.3,0.1,6.2,-,6.85
150,Vitolo Las Palmas,33, M(CLR),FW,8(1),690,-,0.8,39.8,84.9,-,0.3,-,6.85
151,Fayçal Fajr Getafe,34, M(CLR),,26(5),2384,4,1.1,30.1,75.0,1.1,4.7,0.1,6.84
152,Diego Costa Atletico,34, FW,,13(2),1048,3,0.9,20.9,75.4,0.1,0.5,0.1,6.84
153,Xabi Prieto Real Sociedad,39, M(CLR),,24(2),1940,5,1.6,38.2,85.5,0.4,1.0,-,6.84
154,Aïssa Mandi Real Betis,31, D(CLR),,34,3025,-,0.1,62.6,91.9,-,3.2,-,6.84
155,David Lombán Eibar,35, D(C),,11(2),996,-,0.1,34.5,80.8,-,5.1,-,6.84
156,Simone Zaza Valencia,31, FW,,23(10),2079,1,0.5,13.7,70.7,-,0.5,0.1,6.83
157,Lucas Pérez Deportivo,34, AM(CR),FW,31(4),2796,6,2.3,23.1,75.2,1.5,0.9,0.1,6.83
158,Álvaro Medrán Just Valencia,28, M(C),,1,73,-,-,48.0,91.7,-,10.0,-,6.83
159,Diego Llorente Real Sociedad,29, D(C),DMC,26(1),2328,-,-,56.3,89.2,-,4.7,-,6.83
160,Rodrigo Ely Deportivo Alaves,29, D(C),,30(1),2692,-,0.1,33.1,72.9,-,3.7,-,6.83
161,Raúl Navas Real Sociedad,34, D(C),,20,1792,1,0.3,60.9,86.3,-,6.3,0.1,6.83
162,Fabian Schär Deportivo,30, D(C),,25,2220,2,0.3,37.8,80.2,-,4.7,-,6.82
163,Raúl Fernández Levante,34, GK,,11,990,-,-,26.4,48.6,-,10.4,-,6.82
164,Alejandro Gálvez Eibar,33, D(C),M(C),4,360,-,0.3,50.8,76.8,-,8.3,-,6.82
165,Sidnei Deportivo,33, D(C),,21,1780,1,0.2,36.4,83.8,0.1,3.6,-,6.82
166,Unai Bustinza Leganes,30, D(CR),,18(2),1636,-,0.2,31.5,79.0,0.2,3.2,-,6.82
167,Vicente Guaita Getafe,35, GK,,33,2970,-,-,28.0,38.9,-,7.8,-,6.82
168,Simon Kjaer Sevilla,33, D(C),,18(2),1572,-,0.1,39.4,84.4,-,2.7,-,6.82
169,Iago Herrerín Athletic Bilbao,34, GK,,8,720,-,-,32.5,57.3,-,12.9,-,6.82
170,Gabi Atletico,39, M(C),,25(9),2347,1,0.6,50.6,85.0,0.5,3.7,0.1,6.81
171,Guillermo Maripán Deportivo Alaves,28, D(C),,17(2),1527,-,0.1,24.1,76.8,-,1.5,-,6.81
172,Carlos Isaac Atletico,24, Defender,,1,64,-,-,32.0,87.5,-,1,-,6.81
173,Munir El Haddadi Deportivo Alaves,27, AM(LR),FW,28(5),2458,6,1.2,19.0,70.9,0.5,0.5,0.1,6.81
174,Portu Girona,30, AM(CLR),FW,35(2),3014,5,1.1,15.9,76.5,0.5,0.2,0.1,6.81
175,Coke Levante,35, D(CLR),M(R),16(1),1386,-,0.6,32.9,74.1,0.4,1.9,-,6.81
176,Neto Valencia,33, GK,,33,2970,-,-,20.2,51.5,-,5.4,-,6.81
177,Gabriel Mercado Sevilla,35, D(CR),,25(1),2124,1,0.3,36.8,83.1,0.2,1.5,-,6.8
178,Tomás Pina Deportivo Alaves,35, M(C),,28(2),2393,-,0.3,32.3,81.9,-,1.6,0.1,6.8
179,Alberto Redondo Getafe,25, Defender,,1,90,-,-,21.0,42.9,-,-,-,6.8
180,Kévin Rodrigues Real Sociedad,28, D(L),M(L),18(2),1633,2,0.8,35.1,84.3,0.6,0.9,-,6.8
181,Marc Muniesa Girona,30, D(CL),,14,1130,1,0.1,45.0,79.2,-,3.7,-,6.8
182,Gerard Deulofeu Barcelona,28, AM(CLR),FW,5(5),503,1,1,27.5,81.1,0.4,1.0,-,6.8
183,Pedro Alcalá Girona,33, D(C),,8,690,-,0.1,36.0,72.2,-,4.0,-,6.8
184,Ganso Sevilla,33, AM(C),FW,7(1),524,-,1,42.6,82.4,0.4,0.9,0.1,6.79
185,Sergio Asenjo Villarreal,33, GK,,23,2070,-,-,23.3,55.2,-,6.4,-,6.79
186,Sergi Darder Espanyol,28, M(CL),,32(3),2790,2,0.8,41.3,82.8,0.3,3.2,0.1,6.79
187,Sergi Las Palmas,27, DMC,,2,145,-,-,41.0,84.1,-,1.5,-,6.79
188,Iñaki Williams Athletic Bilbao,28, AM(CLR),FW,31(7),2851,6,0.9,17.9,77.5,0.4,0.4,0.1,6.79
189,Kepa Arrizabalaga Athletic Bilbao,28, GK,,30,2700,-,-,31.2,62.9,-,12.3,-,6.79
190,Pau López Espanyol,27, GK,,28(1),2566,-,0.1,23.5,49.7,-,6.5,-,6.79
191,Rúben Vezo Valencia,28, D(CR),,17(2),1554,-,0.2,37.6,77.2,0.1,1.7,-,6.79
192,Lionel Carole Sevilla,31, D(CL),M(L),6,540,1,0.5,49.0,82.7,0.2,1.5,-,6.79
193,Bruno González Getafe,32, D(C),,17(3),1538,-,0.2,16.8,66.4,-,1.5,-,6.79
194,Dani García Eibar,32, DMC,,32,2781,1,0.6,50.4,80.7,0.1,5.9,-,6.79
195,Paul Baysse Malaga,34, D(CR),,13(2),1238,-,-,36.5,81.7,-,3.2,-,6.79
196,Diego López Espanyol,41, GK,,10,854,-,-,23.1,47.6,-,6.1,-,6.78
197,Enis Bardhi Levante,27, M(CLR),,16(10),1581,1,0.9,23.8,81.3,0.5,1.6,-,6.78
198,Ángel Rodríguez Getafe,35, FW,,26(7),2299,2,0.5,11.2,69.6,0.1,0.5,0.1,6.78
199,Léo Baptistão Espanyol,30, AM(CLR),FW,31(5),2686,3,0.7,19.1,67.4,0.1,0.2,0.1,6.78
200,Joan Jordán Eibar,28, M(C),,25(10),2423,4,1.1,33.7,83.2,0.8,2.9,0.1,6.78
201,Markel Bergara Getafe,36, M(C),,18,1469,1,0.1,21.4,72.0,-,0.5,-,6.77
202,Alexander Szymanowski Leganes,34, AM(L),,13,1064,2,1.5,20.8,75.6,0.7,0.4,-,6.77
203,Mikel Balenziaga Athletic Bilbao,34, D(L),,18,1554,2,0.4,32.0,77.8,0.7,1.1,-,6.77
204,Markel Susaeta Athletic Bilbao,34, M(LR),,26(8),2270,2,1.6,24.9,81.0,1.5,1.2,-,6.77
205,Antonio Barragán Real Betis,35, D(CR),M(R),28(1),2377,6,0.7,45.4,83.7,0.5,1.7,-,6.77
206,Carlos Fernández Sevilla,26, AM(C),FW,2,139,-,1.5,18.0,77.8,-,0.5,-,6.77
207,Ibai Gómez Deportivo Alaves,32, AM(LR),,26(8),2327,6,1.2,24.1,72.8,0.9,1.5,0.1,6.77
208,Naldo Espanyol,34, D(C),,10(1),922,-,-,39.3,83.1,-,2.6,-,6.76
209,Loïc Rémy Las Palmas,35, M(LR),FW,6(6),761,-,0.4,19.3,79.7,0.1,0.8,-,6.76
210,Aarón Martín Espanyol,25, D(L),M(L),31(1),2815,-,1,30.5,79.3,1,1.1,0.1,6.76
211,Álvaro González Villarreal,32, D(C),,32(1),2899,2,0.2,43.5,83.7,0.1,3.9,-,6.76
212,Federico Ricca Malaga,27, D(CL),,13(1),1111,1,0.4,31.0,64.7,0.4,1.4,-,6.76
213,Fernando Pacheco Deportivo Alaves,30, GK,,37(1),3357,-,-,25.1,50.4,-,9.1,-,6.76
214,Antonio Sanabria Real Betis,26, FW,,8(9),847,-,0.2,10.1,73.1,0.1,0.2,-,6.75
215,Juanfran Atletico,37, D(R),,15(2),1308,1,0.4,29.6,81.7,0.3,0.4,0.1,6.75
216,Daniel Carriço Sevilla,34, D(C),DMC,5(1),459,-,0.3,41.5,85.9,-,3.0,-,6.75
217,Fabián Orellana Eibar,36, AM(CLR),,13(4),1182,2,1.6,27.6,73.8,1,1.5,0.1,6.75
218,Alejandro Gálvez Las Palmas,33, D(C),M(C),18,1620,-,0.1,52.4,81.0,-,5.1,-,6.74
219,Santi Mina Valencia,26, AM(LR),FW,17(15),1550,2,0.3,14.6,77.9,-,0.5,-,6.74
220,Óscar De Marcos Athletic Bilbao,33, D(LR),M(CR),20(1),1663,2,1,33.8,77.9,0.8,1.9,0.1,6.74
221,Johan Mojica Girona,30, D(L),M(L),22(8),2132,4,0.8,25.8,77.8,1.2,1.1,-,6.74
222,Franco Vázquez Sevilla,33, AM(CLR),FW,22(8),1845,6,1.4,28.7,74.8,0.2,0.8,0.1,6.74
223,Mikel San José Athletic Bilbao,33, D(C),DMC,24(2),2157,1,0.5,38.9,78.7,0.2,2.3,0.2,6.74
224,Thomas Vermaelen Barcelona,36, D(CL),,12(2),1018,1,0.2,46.0,93.3,-,3.4,0.1,6.73
225,Gonzalo Castro Malaga,38, AM(LR),FW,26,2077,2,1.2,31.6,73.7,1.4,2.0,-,6.73
226,Mateo Kovacic Real Madrid,28, M(CL),,10(11),989,1,0.5,37.7,93.7,-,1.9,-,6.73
227,Juanpe Girona,31, D(C),,34(1),3064,1,0.2,38.1,76.8,-,4.4,-,6.73
228,Pablo Sarabia Sevilla,30, D(L),M(CLR),27(7),2400,5,1.4,29.7,79.0,0.7,0.7,0.2,6.73
229,Emiliano Martínez Getafe,30, GK,,5,450,-,-,28.0,42.1,-,10.8,-,6.73
230,Nélson Semedo Barcelona,28, D(LR),M(R),17(7),1495,-,0.5,40.8,87.9,0.1,1.3,-,6.73
231,Miguel Layún Sevilla,34, D(LR),M(CLR),11(5),1181,-,0.7,31.9,77.7,0.8,1.8,-,6.73
232,Enric Saborit Athletic Bilbao,30, D(L),,16(3),1430,1,0.3,27.7,76.1,0.3,1.5,-,6.73
233,Guilherme Deportivo,31, M(C),,31,2644,-,0.5,45.4,85.1,0.2,3.7,-,6.72
234,Alfonso Pedraza Deportivo Alaves,26, D(L),M(L),27(6),2441,5,0.9,18.0,68.4,0.5,0.5,-,6.72
235,Juankar Malaga,32, D(L),M(L),9(1),784,-,1.1,31.6,75.6,1,1.7,0.1,6.72
236,Lucas Digne Barcelona,29, D(CL),M(L),8(4),702,2,0.5,40.0,87.9,0.3,1.1,-,6.72
