,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
103,Mario Lemina Nice,28, DMC,,24(8),1972,2,-,0.5,0.2,0.8,0.7,-,0.4,0.7,6.79
104,Vanderson Monaco,21, D(R),M(R),12(5),1122,2,1,0.8,0.6,1,0.6,0.2,1.1,2.6,6.79
105,Ryad Boudebouz Saint-Etienne,32, M(CLR),FW,27(3),2267,3,4,0.9,1.8,1.8,1,-,1.4,1.7,6.79
106,Steven Fortès Lens,30, D(C),,1,90,-,-,-,-,1,-,-,1,1,6.79
107,Kevin Volland Monaco,30, AM(CLR),FW,29(5),2450,9,9,1.5,1,0.5,0.8,0.5,1,1.9,6.79
108,Ibrahima Sissoko Strasbourg,24, D(C),DMC,26(9),2306,2,5,0.7,0.8,0.7,0.8,-,0.9,1.3,6.79
109,Walter Benítez Nice,29, GK,,37,3330,-,-,-,-,-,0.2,-,-,-,6.79
110,Romain Thomas Angers,34, D(C),,29(1),2566,2,-,0.5,0.1,0.1,0.6,-,0.2,0.1,6.78
111,Keylor Navas PSG,35, GK,,21,1858,-,-,-,-,-,-,-,-,-,6.78
112,Sergio Ramos PSG,36, D(CR),,8(4),799,2,-,1,0.1,0.3,0.3,0.1,0.1,0.2,6.78
113,Laurent Abergel Lorient,29, DMC,,34,2963,-,3,0.9,1,1.1,2,-,1.2,1.5,6.78
114,Sanjin Prcic Strasbourg,28, M(C),,27(5),2197,1,-,1.4,0.7,0.3,0.3,-,0.3,0.6,6.77
115,Mahdi Camara Saint-Etienne,24, D(CR),DMC,34(1),3074,3,-,0.8,0.9,1,1.3,-,0.9,1.5,6.77
116,Alban Lafont Nantes,23, GK,,38,3420,-,-,-,-,-,0.1,-,-,-,6.77
117,Kevin Danso Lens,23, D(C),,32(1),2793,2,2,0.4,0.3,0.2,1.1,-,0.1,0.5,6.77
118,Castello Lukeba Lyon,19, D(C),,24,2097,2,-,0.3,0.2,0.5,0.5,-,0.3,0.7,6.77
119,Fali Candé Metz,24, D(L),M(L),11,975,-,2,0.5,1.1,0.6,1,-,0.8,1.6,6.77
120,Benoît Badiashile Monaco,21, D(C),,21(3),1837,1,-,0.6,0.1,0.1,0.4,0.1,0.2,0.3,6.77
121,Maxime Le Marchand Strasbourg,32, D(CL),,9(3),857,1,1,0.3,0.2,0.3,0.2,-,-,0.3,6.77
122,Giulian Biancone Troyes,22, D(CLR),M(LR),26(7),2292,1,2,0.8,0.4,0.4,1.0,0.1,0.3,0.9,6.77
123,Gelson Martins Monaco,27, M(LR),,24(8),1921,4,3,0.9,0.7,1.9,1.0,0.5,0.7,2.4,6.77
124,Nabil Bentaleb Angers,27, M(C),,18,1523,1,-,0.8,0.2,1.1,0.7,-,0.5,1.8,6.76
125,Presnel Kimpembe PSG,27, D(C),,29(1),2580,1,-,0.2,0.1,0.3,0.9,-,0.2,0.5,6.76
126,Quentin Merlin Nantes,20, D(L),M(L),21(7),1923,2,3,0.4,1.1,0.6,0.1,-,0.4,0.9,6.76
127,Wout Faes Reims,24, D(C),,37,3330,4,-,0.6,0.1,0.2,0.6,-,0.1,0.6,6.76
128,Yunis Abdelhamid Reims,34, D(C),,34,2984,2,-,0.5,0.3,0.4,0.7,-,0.4,0.8,6.76
129,Dimitri Lienard Strasbourg,34, D(L),M(CL),23(10),2047,2,3,0.7,1.1,0.3,0.8,0.1,0.3,0.9,6.76
130,Rafinha PSG,30, M(CLR),,3(2),221,-,-,1,0.4,1.2,1.0,-,0.4,1,6.75
131,Przemyslaw Frankowski Lens,27, M(CLR),,28(9),2452,6,5,0.9,1,0.4,0.2,0.1,0.5,1.1,6.75
132,Matthieu Udol Metz,26, D(CL),M(L),11(1),1006,1,-,0.4,0.5,0.8,0.5,-,0.3,0.6,6.75
133,Alexander Djiku Strasbourg,28, D(CR),DMC,30(1),2697,1,-,0.5,0.3,0.2,0.9,0.1,0.2,0.5,6.74
134,Wahbi Khazri Saint-Etienne,31, M(CLR),FW,26(4),2239,10,-,2.4,1,1.1,1.6,0.7,1.6,2.6,6.74
135,Enzo Le Fée Lorient,22, AM(CLR),,25(11),2202,2,3,0.9,1.4,1.2,1.4,-,1.3,1.9,6.74
136,Anthony Lopes Lyon,31, GK,,34,2984,-,-,-,-,-,0.1,-,-,-,6.74
137,Jordan Amavi Nice,28, D(L),M(L),4(4),414,-,-,-,0.1,0.6,0.5,-,0.5,0.8,6.74
138,Caio Henrique Monaco,25, D(L),M(CL),31(3),2670,2,8,0.6,1.3,0.4,0.6,0.1,0.2,1.1,6.74
139,Leandro Paredes PSG,28, DMC,,10(5),842,1,2,0.5,0.5,0.4,0.5,-,0.1,0.3,6.73
140,Guillermo Maripán Monaco,28, D(C),,21(5),1828,-,-,0.3,0.1,0.2,0.4,-,-,0.4,6.73
141,Saïdou Sow Saint-Etienne,20, D(C),,11(2),992,2,1,0.2,0.3,0.4,0.3,-,0.2,0.6,6.73
142,Armand Laurienté Lorient,23, AM(LR),FW,28(7),2493,6,2,2.4,1.2,1.3,1.2,0.3,1.5,2.8,6.73
143,Arbër Zeneli Reims,27, AM(LR),FW,4(5),411,2,3,1.2,1.0,1.2,0.7,0.1,1,2.2,6.73
144,Anthony Caci Strasbourg,25, D(CLR),M(L),26(11),2395,1,3,0.4,0.8,0.6,0.6,0.1,0.5,0.9,6.73
145,Jonathan David Lille,22, AM(C),FW,32(6),2811,15,-,1.8,0.9,0.7,1.2,0.2,0.9,2.5,6.73
