,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
253,Federico Ceccherini Livorno,30, D(C),,32,2709,2.3,2.1,1.2,0.3,4.7,0.5,0.5,1,6.8
254,Paolo Bianco Sassuolo,45, D(C),,15(1),1367,1.0,2.4,0.8,1.8,7.7,0.8,0.9,-,6.79
255,Silvan Widmer Udinese,29, D(CR),M(R),11(5),1080,1.8,1.6,0.4,-,2.1,0.3,0.4,-,6.79
256,Nicolás Burdisso Roma,41, D(C),,3(2),317,1.2,2.8,0.6,0.6,2.4,-,0.4,-,6.79
257,Bostjan Cesar Chievo,40, D(C),,30(2),2716,1.2,2.2,1.6,0.2,5.5,0.8,0.5,-,6.79
258,Marco Motta Genoa,36, D(R),M(R),11(2),968,1.4,1.1,1.7,0.2,1.9,0.4,0.1,-,6.78
259,Anthony Réveillere Napoli,42, D(LR),,13,1089,1.4,2.0,1.0,0.5,3.1,0.3,0.2,-,6.78
260,Emmanuel Badu Udinese,31, DMC,,20(9),1863,1.2,0.9,1.1,-,1.7,0.5,0.3,-,6.78
261,Juanito Gómez Verona,37, AM(LR),FW,14(15),1396,1.2,0.4,1.2,-,0.5,0.4,-,-,6.78
262,Marco Storari Juventus,45, GK,,5(1),514,-,-,-,-,0.2,-,-,-,6.77
263,Nicola Legrottaglie Catania,46, D(C),,15(2),1281,1.4,1.9,0.9,0.9,6.6,0.6,1.1,1,6.77
264,Alessio Romagnoli Roma,27, D(CL),,8(3),702,2.4,0.8,1.1,0.3,3.5,0.5,0.1,-,6.77
265,Marco Biagianti Livorno,38, M(C),,24(2),1963,3.2,2.2,1.3,-,1.9,1.4,0.2,-,6.77
266,Massimo Donati Verona,41, D(C),DMC,10(10),958,2.5,1.1,1.1,-,1.2,1.1,0.4,-,6.77
267,Amauri Parma Calcio 1913,42, FW,,20(11),1792,0.5,0.3,1.7,-,0.7,0.4,0.4,-,6.77
268,Ignazio Abate AC Milan,35, D(R),M(R),16(3),1462,2.2,1,0.9,0.1,1.5,0.3,0.2,-,6.77
269,Christian Puggioni Chievo,41, GK,,23,2070,-,-,-,-,0.6,-,-,-,6.77
270,Mariano Izco Catania,39, D(R),M(CR),26(4),2367,2.5,0.8,1.4,-,0.5,1.2,0.1,-,6.77
271,Joaquín Fiorentina,41, M(CLR),FW,15(11),1420,0.7,0.2,0.3,-,0.2,0.3,-,-,6.76
272,Stefano Mauri Lazio,42, M(CLR),FW,8(4),694,0.4,0.4,0.8,0.1,0.4,0.3,0.1,-,6.75
273,Mauricio Isla Juventus,34, D(R),M(CR),10(8),963,1.3,0.5,0.9,0.1,1.0,0.2,0.1,-,6.75
274,Stefano Sturaro Genoa,29, M(CL),,13(3),1113,1.6,0.8,2.6,0.1,1.1,1.5,0.1,-,6.75
275,Paolo Cannavaro Sassuolo,41, D(C),,16,1387,1.5,2.6,0.9,0.9,5.9,0.4,0.4,1,6.75
276,Henrique Napoli,36, D(CR),,8(3),745,1.1,1.5,0.5,0.3,2.6,0.6,0.5,-,6.75
277,Nicolás Burdisso Genoa,41, D(C),,14(1),1297,1.2,1.6,1.3,1.1,6.9,0.5,0.8,-,6.75
278,Cristian Raimondi Atalanta,41, D(R),M(R),26(4),2233,2.1,1.1,1.4,0.1,2.0,1.2,0.3,-,6.74
279,Massimo Gobbi Parma Calcio 1913,42, D(L),M(L),26(2),2291,1.6,1.6,1.4,0.4,2.9,1.0,0.2,-,6.74
280,Daniele Padelli Torino,37, GK,,38,3382,-,-,-,-,0.8,-,-,-,6.74
281,Guillermo Rodríguez Torino,38, D(C),,5(1),417,1.7,1.3,1,0.5,4.2,0.5,0.5,-,6.74
282,Nicolas Frey Chievo,38, D(CLR),,30(2),2779,1.4,2.5,0.9,0.2,4.0,0.6,0.6,-,6.74
283,Marvin Compper Fiorentina,37, D(C),,8(1),728,1.1,1.7,1,0.8,4.3,0.7,0.4,-,6.74
284,Tiberio Guarente Chievo,37, DMC,,8(2),668,1.5,1.6,0.9,-,0.9,0.7,-,-,6.74
285,José Crespo Bologna,35, D(CL),M(R),7(3),545,1.7,0.7,0.9,0.1,3.1,0.3,0.2,-,6.74
286,Daniele Bonera AC Milan,41, D(CR),,15(1),1294,1.8,1.3,1.4,0.6,3.8,0.5,0.4,-,6.73
287,Davide Biondini Genoa,39, M(C),,15(1),1360,2.8,1.8,1.8,0.1,2.3,1.8,0.1,-,6.73
288,Gonzalo Bergessio Catania,38, FW,,28(2),2430,0.4,-,2.1,-,0.7,0.2,0.1,-,6.73
289,Pablo Armero Napoli,36, D(L),M(L),9(5),878,1.5,1.2,0.7,0.1,0.9,0.4,0.3,-,6.73
