,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
185,Yohan Benalouane Atalanta,35, D(CR),,16(1),1457,1,0.6,31.8,75.8,0.6,1.6,-,6.93
186,Hernanes Lazio,37, M(C),,14(3),1195,-,0.5,33.2,84.2,0.3,2.2,-,6.93
187,Felipe Parma Calcio 1913,38, D(CL),,19(3),1686,-,0.1,35.4,88.4,-,2.7,-,6.92
188,Éder Sampdoria,35, AM(CLR),FW,30(3),2510,6,1.2,18.9,78.2,0.4,0.8,0.1,6.92
189,Panagiotis Kone Bologna,35, M(CLR),,28,2382,-,1.4,27.3,81.0,1.2,1.4,-,6.92
190,Angelo Palombo Sampdoria,41, D(C),DMC,32,2700,2,1.3,42.6,83.9,0.9,6.3,-,6.91
191,Marcos Alonso Fiorentina,31, D(CL),M(L),1(2),158,-,0.7,19.7,79.7,0.3,0.3,-,6.91
192,Lucas Castro Catania,33, AM(CLR),,23(6),1976,2,1.3,24.3,74.2,0.3,0.9,0.1,6.91
193,Valon Behrami Napoli,37, M(C),,16(5),1461,-,0.2,38.1,90.1,-,1.7,-,6.9
194,Francesco Lodi Catania,38, M(C),,17(2),1532,3,2.1,51.5,82.9,1.9,4.8,-,6.9
195,Antonio Di Natale Udinese,45, FW,,29(3),2413,-,1.4,17.2,70.9,1,1.3,0.1,6.9
196,Keita Baldé Lazio,27, AM(LR),FW,14(11),1371,3,1.0,17.5,82.2,0.6,0.4,-,6.9
197,Savvas Gentsoglou Sampdoria,32, M(C),,3(2),283,-,0.6,32.6,81.0,-,2.6,-,6.9
198,Frederik Sørensen Bologna,30, D(CR),,13(2),1096,-,0.3,27.8,73.4,0.3,3.1,-,6.9
199,Matías Fernández Fiorentina,36, AM(C),,12(11),1309,3,1.1,30.0,92.8,0.3,1.2,0.2,6.89
200,Kevin Constant AC Milan,35, D(L),M(CL),19(1),1608,1,0.7,40.8,82.8,0.5,2.6,-,6.89
201,Pepe Reina Napoli,40, GK,,30,2603,1,0.1,27.7,62.2,-,6.5,-,6.89
202,Matías Silvestre AC Milan,38, D(C),,3(1),308,-,-,45.8,86.9,-,6.5,-,6.89
203,Vasco Regini Sampdoria,32, D(CL),,26(3),2366,2,0.5,29.9,81.5,0.2,1.3,-,6.89
204,Urby Emanuelson AC Milan,36, D(L),M(CLR),18(6),1691,3,1.1,43.5,84.2,0.8,2.7,-,6.89
205,Vincenzo Fiorillo Sampdoria,32, GK,,5,450,-,-,25.6,64.8,-,7.2,-,6.89
206,Vangelis Moras Verona,41, D(C),,29(1),2547,1,0.2,28.9,85.0,-,2.7,-,6.89
207,Marco Marchionni Parma Calcio 1913,42, M(C),,32(1),2770,3,1,62.2,84.8,0.4,4.5,-,6.89
208,Leandro Greco Livorno,36, M(C),,29(3),2411,3,1.8,38.1,85.7,1.3,2.5,0.1,6.89
209,Sulley Muntari AC Milan,38, M(C),,20(6),1574,2,1.1,33.3,79.2,0.2,3.4,-,6.88
210,Victor Ibarbo Cagliari,32, AM(LR),FW,20(10),2030,2,1.1,18.8,79.9,0.6,0.6,-,6.88
211,Keisuke Honda AC Milan,36, M(CR),,12(2),983,2,1.2,32.0,84.2,0.5,0.6,0.1,6.88
212,Giulio Migliaccio Atalanta,41, DMC,,13(6),1211,1,0.2,22.7,71.5,-,0.4,-,6.88
213,Gino Peruzzi Catania,30, D(CR),M(R),20(2),1530,1,0.4,25.9,83.0,0.3,0.5,-,6.88
214,Mattia Caldara Atalanta,28, D(C),,0(1),45,-,1,12.0,83.3,-,-,-,6.87
215,Andrea Bertolacci Genoa,31, M(C),,23(2),1965,1,0.6,35.5,80.2,0.4,2.5,-,6.87
216,Morgan De Sanctis Roma,45, GK,,36,3240,-,0.1,22.9,60.3,-,5.3,-,6.87
217,Stefano Lucchini Atalanta,42, D(C),,14(5),1265,-,-,20.7,80.4,-,1.3,-,6.86
218,Carlos Carmona Atalanta,35, DMC,,30(2),2545,-,0.4,42.0,89.0,0.1,2.8,-,6.86
219,Cristian Zaccardo AC Milan,40, D(CR),,7(4),673,-,0.4,32.6,87.5,0.2,2.1,-,6.86
220,Marco Andreolli Inter,36, D(C),,2(2),203,-,-,29.5,86.4,-,2.8,-,6.86
221,Roberto Soriano Sampdoria,31, AM(CLR),,21(8),1935,1,1.3,28.4,82.9,0.2,0.5,0.1,6.86
222,Ciro Capuano Catania,41, D(L),,4(1),383,-,0.4,20.4,85.3,0.4,1.6,-,6.85
223,Rene Krhin Bologna,32, DMC,,24(3),2028,-,0.6,33.3,82.8,0.1,1.6,-,6.85
224,Jorginho Napoli,30, DMC,,12(3),1124,1,1.1,67.7,89.6,0.1,3.3,0.4,6.85
225,Ibrahima Mbaye Livorno,27, D(LR),M(LR),22(3),1947,1,0.4,26.8,75.2,0.2,0.9,-,6.85
226,Vlada Avramov Cagliari,43, GK,,22(1),2015,-,-,20.5,55.8,-,6.6,-,6.85
227,Panagiotis Tachtsidis Catania,31, DMC,,10(2),839,1,1.2,34.8,79.6,0.3,2.3,-,6.85
228,Salvatore Masiello Torino,40, D(L),M(L),6(2),594,-,0.4,28.4,85.0,0.4,1.1,-,6.84
229,Naldo Udinese,34, D(C),,13(3),1179,-,0.1,38.4,81.3,0.1,3.2,-,6.84
230,Luis Pedro Cavanda Lazio,32, D(LR),M(R),15(4),1354,1,0.4,39.4,83.2,0.3,2.2,-,6.84
231,Antonio Mirante Parma Calcio 1913,39, GK,,36,3196,-,-,26.2,59.9,-,8.2,-,6.84
232,Gianpaolo Bellini Atalanta,42, D(LR),,8(1),573,-,0.4,22.7,86.8,0.6,0.9,-,6.83
233,Alberto Frison Catania,34, GK,,14,1260,-,-,24.6,40.1,-,5.9,-,6.83
234,Përparim Hetemaj Chievo,35, M(CL),,28(4),2562,4,0.9,30.2,80.3,0.3,1.8,-,6.83
235,Lorenzo Ariaudo Sassuolo,33, D(C),,12,1035,-,0.2,33.3,74.3,-,2.6,-,6.83
236,Federico Peluso Juventus,38, D(CL),M(L),4(5),338,1,0.8,14.4,81.5,0.4,0.4,0.1,6.82
237,Gianluca Pegolo Sassuolo,41, GK,,33,2970,-,-,25.6,56.8,-,9.0,-,6.82
238,Giuseppe Bellusci Catania,33, D(CR),,19(1),1553,-,0.3,27.5,78.3,0.1,2.0,0.1,6.82
239,Andrea Costa Sampdoria,36, D(CL),,19(2),1612,1,0.4,32.0,77.5,0.4,1.5,-,6.82
240,Jaime Valdés Parma Calcio 1913,41, AM(C),,5(1),454,-,0.3,55.8,88.1,0.3,5.5,-,6.82
241,Sebastien De Maio Genoa,35, D(C),,15(8),1441,-,0.2,26.2,86.7,0.1,2.2,-,6.82
242,Jaroslav Plasil Catania,40, M(C),,22(6),2063,1,1.5,31.6,83.7,0.7,1.6,0.1,6.82
243,Abdoulay Konko Lazio,38, D(LR),M(R),21,1788,1,0.5,36.9,81.7,0.2,1.2,-,6.82
244,Cyril Théréau Chievo,39, AM(CL),FW,28(4),2371,1,1.3,30.9,72.8,0.9,0.5,-,6.82
245,Cristian Ledesma Lazio,40, M(C),,25(2),2236,3,1.3,53.4,76.0,0.4,8.0,-,6.82
246,Yohan Benalouane Parma Calcio 1913,35, D(CR),,2(2),212,-,-,22.0,81.8,0.3,1.3,-,6.82
247,Mikael Antonsson Bologna,41, D(C),,32(2),2957,-,0.3,30.6,84.1,-,2.1,-,6.81
248,Antonio Floro Flores Sassuolo,39, AM(L),FW,17(12),1507,3,0.7,18.2,71.7,0.2,1.2,0.1,6.81
249,Etrit Berisha Lazio,33, GK,,17,1530,-,-,22.6,56.1,-,6.4,-,6.8
250,Renan Sampdoria,36, M(C),,6(12),702,1,0.6,20.1,81.7,0.6,1.1,0.1,6.8
251,György Garics Bologna,38, D(R),M(R),32(2),2774,1,1,30.2,77.6,0.4,1.3,-,6.8
252,Rodrigo Taddei Roma,42, M(C),,6(13),836,1,0.5,35.6,90.1,-,1.6,0.1,6.8
253,Federico Ceccherini Livorno,30, D(C),,32,2709,-,0.2,27.2,76.9,-,2.2,-,6.8
254,Paolo Bianco Sassuolo,45, D(C),,15(1),1367,-,0.1,24.4,84.1,-,3.3,-,6.79
255,Silvan Widmer Udinese,29, D(CR),M(R),11(5),1080,-,0.4,22.1,71.1,0.2,0.6,-,6.79
256,Nicolás Burdisso Roma,41, D(C),,3(2),317,-,-,32.6,91.4,-,3.0,-,6.79
257,Bostjan Cesar Chievo,40, D(C),,30(2),2716,-,0.1,29.7,81.1,0.1,3.4,-,6.79
258,Marco Motta Genoa,36, D(R),M(R),11(2),968,-,0.9,26.0,74.9,1,1.1,-,6.78
259,Anthony Réveillere Napoli,42, D(LR),,13,1089,-,0.5,37.3,90.5,0.3,1.1,0.1,6.78
260,Emmanuel Badu Udinese,31, DMC,,20(9),1863,1,0.3,23.2,79.5,0.1,0.6,0.1,6.78
261,Juanito Gómez Verona,37, AM(LR),FW,14(15),1396,5,0.6,18.2,77.3,0.2,0.4,-,6.78
262,Marco Storari Juventus,45, GK,,5(1),514,-,-,20.7,74.2,-,5.8,-,6.77
263,Nicola Legrottaglie Catania,46, D(C),,15(2),1281,-,-,22.9,82.5,-,1.6,-,6.77
264,Alessio Romagnoli Roma,27, D(CL),,8(3),702,-,0.3,35.0,88.6,-,1.2,-,6.77
265,Marco Biagianti Livorno,38, M(C),,24(2),1963,-,0.6,34.3,81.9,0.1,1.9,-,6.77
266,Massimo Donati Verona,41, D(C),DMC,10(10),958,1,0.7,33.7,85.3,0.1,3.8,-,6.77
267,Amauri Parma Calcio 1913,42, FW,,20(11),1792,-,0.5,12.6,71.9,0.1,0.1,0.1,6.77
268,Ignazio Abate AC Milan,35, D(R),M(R),16(3),1462,-,1.1,47.8,79.9,0.6,2.7,-,6.77
269,Christian Puggioni Chievo,41, GK,,23,2070,-,-,22.3,50.5,-,7.9,-,6.77
270,Mariano Izco Catania,39, D(R),M(CR),26(4),2367,2,1.0,31.6,84.6,0.2,1.1,-,6.77
271,Joaquín Fiorentina,41, M(CLR),FW,15(11),1420,2,1.1,24.8,88.2,0.2,0.3,-,6.76
272,Stefano Mauri Lazio,42, M(CLR),FW,8(4),694,2,0.9,26.8,77.9,-,1.3,0.1,6.75
273,Mauricio Isla Juventus,34, D(R),M(CR),10(8),963,2,1.0,27.9,81.7,0.6,1.2,-,6.75
274,Stefano Sturaro Genoa,29, M(CL),,13(3),1113,2,1.2,30.8,75.4,0.9,2.4,-,6.75
275,Paolo Cannavaro Sassuolo,41, D(C),,16,1387,-,0.4,27.9,74.0,-,2.9,-,6.75
276,Henrique Napoli,36, D(CR),,8(3),745,-,0.2,38.8,91.3,-,2.9,-,6.75
277,Nicolás Burdisso Genoa,41, D(C),,14(1),1297,-,0.2,40.9,82.9,0.1,5.5,-,6.75
278,Cristian Raimondi Atalanta,41, D(R),M(R),26(4),2233,2,0.7,25.4,68.1,0.7,0.6,-,6.74
279,Massimo Gobbi Parma Calcio 1913,42, D(L),M(L),26(2),2291,2,0.5,37.1,83.4,0.5,1.1,-,6.74
280,Daniele Padelli Torino,37, GK,,38,3382,-,-,25.5,68.4,-,7.6,-,6.74
281,Guillermo Rodríguez Torino,38, D(C),,5(1),417,-,-,34.7,91.3,-,3.3,-,6.74
282,Nicolas Frey Chievo,38, D(CLR),,30(2),2779,1,0.5,33.2,73.5,0.3,2.8,0.1,6.74
283,Marvin Compper Fiorentina,37, D(C),,8(1),728,-,0.2,46.0,90.3,0.1,3.0,-,6.74
284,Tiberio Guarente Chievo,37, DMC,,8(2),668,2,1.3,25.1,70.5,1,0.7,-,6.74
285,José Crespo Bologna,35, D(CL),M(R),7(3),545,-,0.3,14.5,71.7,0.3,0.2,-,6.74
286,Daniele Bonera AC Milan,41, D(CR),,15(1),1294,-,0.4,41.0,88.9,0.1,7.1,-,6.73
287,Davide Biondini Genoa,39, M(C),,15(1),1360,2,0.4,38.6,75.4,0.4,3.3,-,6.73
288,Gonzalo Bergessio Catania,38, FW,,28(2),2430,3,1,18.6,73.7,0.2,0.3,0.2,6.73
289,Pablo Armero Napoli,36, D(L),M(L),9(5),878,-,0.9,40.5,86.4,0.6,0.5,-,6.73
290,Maximiliano Moralez Atalanta,35, M(CLR),FW,26(6),2321,6,1.6,36.1,81.5,1,2.0,-,6.73
291,Pedro Obiang Sampdoria,30, DMC,,24(3),2118,-,0.6,36.2,79.6,0.1,2.9,-,6.73
292,Mattia De Sciglio AC Milan,30, D(CLR),M(LR),15(1),1359,-,1.2,43.8,82.1,1,2.5,-,6.73
293,Mauro Icardi Inter,29, FW,,12(10),1309,2,0.8,11.3,71.8,-,0.1,0.1,6.73
294,Igor Bubnjic Udinese,30, D(C),,6(1),518,-,0.3,39.6,81.9,0.1,6.7,0.1,6.73
295,Davide Brivio Atalanta,34, D(L),M(L),22(1),1922,-,0.5,33.4,84.0,0.9,1.0,-,6.73
296,Toni Doblas Napoli,42, GK,,1(1),101,-,-,17.0,79.4,-,5.0,-,6.73
297,Diego Novaretti Lazio,37, D(C),,9(2),730,1,0.1,17.5,77.1,-,2.4,-,6.72
298,Iván Pillud Verona,36, D(R),,4(2),340,-,-,20.0,75.8,-,1.2,-,6.72
299,Matteo Bianchetti Verona,29, D(C),,1(2),210,-,-,14.7,75.0,-,0.7,-,6.72
300,Claiton Chievo,38, D(C),,5(3),492,-,0.1,17.4,84.9,-,2.9,-,6.72
301,Ângelo da Costa Sampdoria,38, GK,,33,2970,-,-,28.5,64.6,-,9.0,-,6.72
302,Giampiero Pinzi Udinese,41, M(C),,19(4),1676,2,0.7,36.8,85.0,0.2,2.6,0.1,6.72
303,Michele Pazienza Bologna,40, DMC,,17(5),1496,2,0.5,36.6,79.9,-,3.2,-,6.72
304,Mario Gomez Fiorentina,37, FW,,5(4),498,1,0.3,10.6,70.5,0.1,0.2,-,6.72
