time : 0.78 Pitch : 0.15 Roll : -1.32 Yaw : 23.58 dYaw : 0.81 Latitude : 0 Longitude : 0 GPS Time : 0:0:11 accel(x, y, z) :  (-0.00, -0.04, 0.95)  gyro(x, y, z) :  (0.12, -1.71, 3.91)  mag(x, y, z) :  (22.46, -21.56, 21.77)  Speed (m/s): 0.00
time : 0.80 Pitch : -0.73 Roll : -1.31 Yaw : 23.62 dYaw : 0.04 Latitude : 0 Longitude : 0 GPS Time : 0:0:11 accel(x, y, z) :  (0.02, -0.04, 0.96)  gyro(x, y, z) :  (1.89, -0.85, 2.44)  mag(x, y, z) :  (22.51, -21.08, 22.30)  Speed (m/s): 0.00
time : 0.83 Pitch : -0.70 Roll : -1.51 Yaw : 23.26 dYaw : 0.36 Latitude : 0 Longitude : 0 GPS Time : 0:0:11 accel(x, y, z) :  (0.02, -0.05, 0.99)  gyro(x, y, z) :  (2.01, -0.18, 1.46)  mag(x, y, z) :  (22.62, -20.85, 20.84)  Speed (m/s): 0.00
time : 0.85 Pitch : -0.25 Roll : -1.35 Yaw : 22.05 dYaw : 1.21 Latitude : 0 Longitude : 0 GPS Time : 0:0:12 accel(x, y, z) :  (0.01, -0.04, 0.97)  gyro(x, y, z) :  (1.89, -1.65, 3.66)  mag(x, y, z) :  (22.91, -19.81, 22.02)  Speed (m/s): 0.00
time : 0.88 Pitch : -0.70 Roll : -1.55 Yaw : 22.16 dYaw : 0.12 Latitude : 0 Longitude : 0 GPS Time : 0:0:12 accel(x, y, z) :  (0.02, -0.05, 1.02)  gyro(x, y, z) :  (3.17, -0.37, 3.72)  mag(x, y, z) :  (22.78, -19.71, 21.98)  Speed (m/s): 0.00
time : 0.90 Pitch : -0.76 Roll : -1.20 Yaw : 22.18 dYaw : 0.01 Latitude : 0 Longitude : 0 GPS Time : 0:0:12 accel(x, y, z) :  (0.02, -0.04, 0.96)  gyro(x, y, z) :  (0.73, -0.43, 3.48)  mag(x, y, z) :  (22.57, -19.26, 21.68)  Speed (m/s): 0.00
time : 0.93 Pitch : -1.20 Roll : -0.58 Yaw : 22.76 dYaw : 0.58 Latitude : 0 Longitude : 0 GPS Time : 0:0:13 accel(x, y, z) :  (0.04, -0.02, 1.00)  gyro(x, y, z) :  (1.89, 0.49, -1.77)  mag(x, y, z) :  (22.86, -19.51, 22.49)  Speed (m/s): 0.00
time : 0.95 Pitch : 0.33 Roll : -1.80 Yaw : 21.51 dYaw : 1.25 Latitude : 0 Longitude : 0 GPS Time : 0:0:13 accel(x, y, z) :  (-0.01, -0.05, 0.95)  gyro(x, y, z) :  (1.71, 0.92, 0.79)  mag(x, y, z) :  (22.62, -19.60, 22.00)  Speed (m/s): 0.00
time : 0.98 Pitch : -0.34 Roll : -0.82 Yaw : 22.18 dYaw : 0.67 Latitude : 0 Longitude : 0 GPS Time : 0:0:13 accel(x, y, z) :  (0.01, -0.03, 1.01)  gyro(x, y, z) :  (2.81, -0.43, 0.24)  mag(x, y, z) :  (23.06, -19.67, 21.41)  Speed (m/s): 0.00
time : 1.00 Pitch : 0.66 Roll : -1.42 Yaw : 22.71 dYaw : 0.52 Latitude : 0 Longitude : 0 GPS Time : 0:0:14 accel(x, y, z) :  (-0.02, -0.04, 0.95)  gyro(x, y, z) :  (2.26, -0.92, 0.31)  mag(x, y, z) :  (22.01, -20.48, 22.50)  Speed (m/s): 0.00
