,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
34,Gurpegi Athletic Bilbao,42, D(C),M(C),27,2386,2,-,0.3,0.1,-,0.5,-,0.1,0.1,7.28
35,Marcelo Real Madrid,34, D(L),M(L),24(4),2176,1,6,1,1.6,1.3,0.8,0.3,0.6,0.8,7.28
36,Adriano Barcelona,38, D(CLR),M(L),24(2),2119,3,1,1.3,0.8,0.8,0.7,0.1,0.5,0.8,7.26
37,Filipe Luís Atletico,37, D(L),,32,2879,-,2,0.4,0.8,0.8,0.6,0.2,0.8,0.8,7.25
38,Keylor Navas Levante,35, GK,,37,3250,-,-,-,0.1,-,0.4,-,-,-,7.24
39,Javi Jiménez Levante,35, Goalkeeper,,1(1),168,-,-,-,-,-,-,-,-,-,7.24
40,Joseba Zaldua Real Sociedad,30, D(R),,10,890,-,-,0.2,1.3,0.4,2.2,-,0.2,0.3,7.24
41,Asier Riesgo Osasuna,39, GK,,1(1),119,-,-,-,-,-,-,-,-,-,7.23
42,Iker Muniain Athletic Bilbao,29, AM(CLR),,32(3),2730,7,3,1.5,0.9,2.7,2.4,-,2.1,1.4,7.23
43,Antoine Griezmann Real Sociedad,31, AM(CLR),FW,31(4),2666,16,3,3.2,1,0.6,0.7,0.5,0.6,1.1,7.22
44,Sergio Busquets Barcelona,34, DMC,,30(2),2656,1,1,0.3,0.6,0.8,1.6,0.1,0.5,0.4,7.21
45,Daniel Carvajal Real Madrid,30, D(R),,25(6),2236,2,2,0.2,1.1,0.7,0.9,0.1,0.3,0.7,7.21
46,Antonio Amaya Real Betis,39, D(C),,22(2),2027,1,1,1,0.5,0.1,0.3,-,0.2,0.3,7.21
47,Jonathan Viera Valencia,33, AM(CLR),FW,1,79,-,-,1,-,5,-,1,1,-,7.21
48,Cote Real Sociedad,33, D(L),,22,1911,1,5,0.5,0.8,1.7,1.2,-,0.5,0.7,7.21
49,Stéphane Mbia Sevilla,36, D(C),M(C),18(1),1508,3,4,1,0.7,0.8,1.2,0.1,0.7,0.3,7.2
50,Aymeric Laporte Athletic Bilbao,28, D(CL),,33(2),2948,2,-,0.8,0.3,0.7,0.9,-,0.5,0.3,7.2
51,Mesut Özil Real Madrid,34, M(CLR),,2,134,-,-,0.5,5.0,2.0,-,-,0.5,0.5,7.18
52,Víctor Sánchez Espanyol,35, D(LR),M(CL),32(1),2886,4,1,0.9,0.4,0.3,1.4,-,0.8,0.5,7.17
53,Ignacio Camacho Malaga,32, D(C),M(C),27(6),2377,5,1,0.8,0.2,0.2,0.9,-,0.5,0.4,7.16
54,Daniel Carriço Sevilla,34, D(C),DMC,22,1939,2,-,0.8,0.3,0.4,1,-,1,0.5,7.16
55,Miranda Atletico,38, D(C),,32,2880,2,1,0.4,0.2,0.1,0.5,0.1,0.2,0.3,7.15
