,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
181,Júnior Alonso Lille,29, D(CL),,30(4),2780,1,0.3,54.2,81.4,0.1,4.0,-,6.78
182,Prince-Désir Gouano Amiens,28, D(C),,32,2751,-,0.1,33.5,80.1,-,1.5,-,6.78
183,Benjamin Lecomte Montpellier,31, GK,,38,3420,-,0.1,24.4,64.3,-,8.1,-,6.78
184,Mathieu Deplagne Troyes,31, D(CLR),,28,2414,2,0.5,36.1,81.1,0.4,1.7,-,6.78
185,Xeka Dijon,27, M(C),,15(2),1395,3,1.4,39.4,81.9,0.8,3.4,0.1,6.78
186,Valère Germain Marseille,32, AM(CLR),FW,24(11),2170,5,0.7,14.4,75.6,0.1,0.3,0.1,6.78
187,Jeff Reine-Adélaïde Angers,24, AM(CLR),FW,7(3),443,-,0.5,15.2,79.6,-,0.3,0.1,6.78
188,Sanjin Prcic Rennes,28, M(C),,18(1),1569,2,0.4,48.4,87.3,0.1,4.3,-,6.77
189,Junior Sambia Montpellier,26, D(R),M(CR),16(12),1539,4,1.2,24.3,84.1,1.2,1.1,-,6.77
190,Issa Cissokho Amiens,37, D(LR),M(R),18(1),1629,-,0.5,32.4,75.6,0.4,2.2,-,6.77
191,Robert Beric Saint-Etienne,31, FW,,12(3),1046,1,0.3,11.8,70.6,-,0.1,-,6.77
192,Fouad Chafik Dijon,36, D(LR),M(R),19(4),1621,2,0.7,28.3,74.2,0.6,1.3,-,6.77
193,Nicolas de Préville Bordeaux,31, AM(CLR),FW,22(7),1941,4,0.8,22.2,73.7,0.4,0.8,-,6.77
194,Oualid El Hajjam Amiens,31, D(CR),,24(2),2197,1,0.4,28.8,71.0,0.2,1.5,-,6.77
195,Giovanni Sio Montpellier,33, AM(LR),FW,27(6),2203,3,0.6,18.2,68.6,0.2,0.2,-,6.76
196,Edgar Ié Lille,28, D(CR),,35,3147,-,0.3,49.5,84.5,0.1,1.7,-,6.76
197,Clinton N'Jie Marseille,29, AM(LR),FW,9(13),871,3,0.7,8.8,82.0,0.3,0.3,-,6.76
198,Romain Hamouma Saint-Etienne,35, M(CLR),FW,22(7),1854,3,1.2,18.7,78.7,1.1,0.5,-,6.76
199,Otávio Bordeaux,28, DMC,,19(2),1492,-,0.5,42.8,88.0,0.2,4.0,-,6.76
200,Yannick Cahuzac Toulouse,37, DMC,,18(2),1522,-,0.2,28.1,82.9,0.1,1.7,-,6.75
201,Stéphane Ruffier Saint-Etienne,36, GK,,35,3113,-,-,28.9,64.8,-,6.9,-,6.75
202,Gabriel Silva Saint-Etienne,31, D(LR),M(L),23(2),2080,2,0.6,32.5,81.8,0.3,1.4,-,6.75
203,Florent Mollet Metz,30, AM(CLR),,16(6),1415,1,0.9,29.0,87.5,0.6,2.2,-,6.75
