,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
112,Jonathan Bamba Saint-Etienne,26, AM(CLR),FW,27(7),2572,7,8,2,1.6,1.3,1.4,0.6,2.5,2.2,6.93
113,Adama Mbengue Caen,28, D(L),,18(1),1596,-,-,0.7,0.6,1.5,1.3,-,1.4,2.2,6.92
114,Danilo Avelar Amiens,33, D(CL),M(L),20(1),1728,1,-,0.3,0.7,0.5,0.9,-,0.7,0.7,6.92
115,Ismaïla Sarr Rennes,24, AM(CLR),FW,22(2),1866,5,3,1.7,0.8,2.7,2.7,0.8,2.3,3.7,6.92
116,Anthony Lopes Lyon,32, GK,,34,3060,-,-,-,-,-,0.1,-,-,-,6.92
117,Jean Michaël Seri Nice,31, M(C),,30(1),2623,2,5,1.1,2.1,1.2,2.0,-,0.8,1.6,6.92
118,Alexander Djiku Caen,28, D(CR),DMC,28,2520,-,-,0.6,0.1,0.2,1.4,-,0.2,0.3,6.92
119,Ambroise Oyongo Montpellier,31, D(LR),M(L),3,203,-,-,0.3,0.7,2,1.0,-,0.7,1,6.92
120,Boubacar Kamara Marseille,22, D(CL),DMC,5(1),455,-,1,0.3,0.2,0.8,0.7,-,0.8,0.8,6.92
121,Steven Mendoza Amiens,30, AM(CLR),FW,12(1),1038,2,-,1.9,1,2.0,0.6,-,1.9,2.5,6.92
122,Nicolas Pépé Lille,27, AM(LR),FW,31(5),2846,13,4,1.8,1.1,2.0,2.3,0.7,3.3,3,6.91
123,Marquinhos PSG,28, D(CR),DMC,25(1),2264,-,2,0.5,0.2,0.1,0.3,-,-,0.2,6.91
124,Adrien Tameze Nice,28, M(C),,19(7),1683,-,1,0.3,0.3,1.4,1.1,-,1.2,0.9,6.91
125,Diego Carlos Nantes,29, D(C),,27(1),2294,1,-,0.9,0.3,0.1,0.6,0.1,0.3,0.5,6.9
126,Régis Gurtner Amiens,35, GK,,37,3330,-,-,-,-,0.1,0.2,-,-,-,6.9
127,Christophe Kerbrat Guingamp,36, D(C),,37,3321,1,-,0.2,0.1,0.1,0.8,-,0.2,0.2,6.9
128,Jean-Eudes Aholou Strasbourg,28, DMC,,35,3011,5,-,1.1,0.4,1.1,1.4,-,0.8,1.1,6.9
129,Pedro Mendes Montpellier,32, D(CR),,32(2),2856,1,1,0.3,0.2,0.4,1.5,-,0.3,0.3,6.9
130,Ole Selnæs Saint-Etienne,28, DMC,M(L),23(3),2060,-,2,0.5,0.7,0.3,0.5,-,0.2,0.1,6.89
131,Hiroki Sakai Marseille,32, D(CLR),M(R),30(3),2523,-,3,0.1,0.4,0.6,0.8,0.1,0.4,0.7,6.89
132,Terence Kongolo Monaco,28, D(CL),,3,258,-,-,0.3,0.3,0.3,1.3,-,0.7,1.3,6.89
133,Christopher Jullien Toulouse,29, D(C),,30,2607,1,2,0.8,0.3,-,0.2,-,0.1,0.3,6.89
134,Alphonse Areola PSG,29, GK,,34,3060,-,-,-,-,-,0.1,-,-,-,6.88
135,Paul Lasne Montpellier,33, M(CLR),,34(3),3063,1,2,1.2,1,0.7,1.9,-,0.8,1.3,6.88
136,Thomas Mangani Angers,35, M(C),,34(1),3027,2,6,1.1,1.8,0.6,0.9,0.1,1.2,1.2,6.88
137,Yoann Andreu Angers,33, D(LR),,23,2070,1,2,0.2,0.6,0.6,0.7,-,0.7,0.9,6.87
138,Kenny Tete Lyon,27, D(CR),M(R),16(6),1603,1,4,0.3,0.6,0.5,0.9,0.2,1,1.1,6.87
139,Benjamin Corgnet Strasbourg,35, M(CLR),FW,15(3),1382,-,2,1.5,1,1.4,1.9,0.1,1.4,1.7,6.87
140,Moustapha Diallo Guingamp,36, M(C),,16(10),1381,5,-,1.3,0.2,0.3,1.5,0.2,0.3,0.4,6.86
141,Baptiste Reynet Dijon,32, GK,,38,3420,-,-,-,-,0.1,0.2,-,-,-,6.86
142,Daniel Congré Montpellier,37, D(CLR),,29(3),2633,1,-,0.3,0.2,0.1,0.8,-,0.1,0.4,6.86
143,Kevin Trapp PSG,32, GK,,4,360,-,-,-,-,-,0.3,-,-,-,6.86
144,Damien da Silva Caen,34, D(C),,32,2838,4,-,0.6,-,0.3,0.8,0.2,0.1,0.4,6.85
145,Maxime Le Marchand Nice,33, D(CL),,29,2536,-,3,0.4,0.4,0.6,0.6,-,0.6,0.6,6.85
146,Martin Terrier Strasbourg,25, AM(CL),FW,19(6),1673,3,3,2,1.1,0.8,1.1,0.3,0.9,2,6.85
147,Keita Baldé Monaco,27, AM(LR),FW,19(4),1484,8,5,1.4,0.7,1.3,1.2,0.6,1.2,1.8,6.85
148,Giannelli Imbula Toulouse,30, M(C),,28,2256,1,1,1.2,0.9,2.3,1.9,-,1.5,1.5,6.84
149,Romain Amalfitano Dijon,33, M(CR),,31(2),2706,-,3,0.4,0.7,1.4,1.6,-,1.5,1.7,6.84
150,Presnel Kimpembe PSG,27, D(C),,27(1),2425,-,-,0.4,0.1,0.7,1.7,-,0.3,0.4,6.84
151,Nolan Roux Metz,34, AM(LR),FW,33(2),2845,15,1,2.3,0.7,0.6,1.7,0.5,1,1.5,6.84
152,Youri Tielemans Monaco,25, M(C),,18(9),1567,-,1,0.9,0.6,0.9,1.0,-,0.7,0.7,6.84
153,Nicolas Benezet Guingamp,31, AM(CLR),,18(11),1653,3,3,1,1.2,1.6,1.4,0.3,1.4,1.5,6.83
154,Ernest Seka Strasbourg,35, D(CLR),,25(2),2179,1,1,0.6,0.7,0.8,0.4,0.1,0.6,1.0,6.83
155,Erwin Zelazny Troyes,31, GK,,17,1530,-,-,-,-,-,0.3,-,-,0.1,6.83
156,Koffi Djidji Nantes,29, D(CL),,27(2),2419,-,-,0.3,0.2,0.4,0.3,-,0.3,0.7,6.83
157,Julien Féret Caen,40, M(C),,36(1),3069,-,1,0.7,1.9,0.7,0.9,-,1,1.5,6.83
158,Bryan Dabo Saint-Etienne,30, D(R),M(CR),15(1),1289,2,-,1.2,0.9,1.6,2.4,0.1,1.6,1.9,6.83
159,Christophe Hérelle Troyes,30, D(CR),,34,2959,-,-,0.4,0.1,-,0.8,-,-,0.3,6.82
160,Issa Diop Toulouse,25, D(C),,34,3060,3,-,0.6,0.1,0.3,0.7,-,0.1,0.3,6.82
161,Ludovic Baal Rennes,36, D(L),M(L),14(3),1161,-,-,-,0.4,1.1,0.9,0.1,0.7,0.5,6.81
162,Nuno da Costa Strasbourg,31, AM(LR),FW,22(4),1739,5,2,1.2,0.5,1.9,1.3,0.3,1.4,3.2,6.81
163,Charles Traoré Troyes,30, D(L),M(L),33(1),2998,-,3,0.3,0.6,0.6,0.8,-,0.4,0.8,6.81
164,Saîf-Eddine Khaoui Troyes,27, AM(CR),,21(11),1960,5,2,1.9,1.0,1.5,0.8,-,0.9,1.6,6.81
165,Cedric Varrault Dijon,42, D(C),,10(1),885,1,-,0.3,0.3,0.3,0.9,-,-,0.4,6.81
166,Pierrick Capelle Angers,35, D(L),M(CLR),23(5),1895,2,1,1.4,1.1,1.2,0.6,-,1.6,1.5,6.8
167,Somália Toulouse,34, D(R),M(CR),23(4),2011,1,-,1,0.8,1.4,1.9,0.1,1.2,1.8,6.8
168,Patrick Burner Nice,26, D(R),,10(3),896,-,-,0.2,0.8,2.0,1.1,-,0.5,0.6,6.8
169,Kader Mangane Strasbourg,39, D(C),DMC,20,1719,1,1,0.7,0.2,0.4,0.4,0.1,0.2,0.3,6.8
170,Tomás Koubek Rennes,30, GK,,34,3060,-,-,-,-,-,0.1,-,-,0.1,6.79
171,Mamadou Samassa Troyes,32, GK,,21,1890,-,-,-,-,-,0.2,-,-,0.1,6.79
172,Khaled Adénon Amiens,37, D(C),,32(2),2919,-,1,0.1,0.1,0.1,1.1,-,0.2,0.4,6.79
173,Kwon Chang-Hoon Dijon,28, AM(CR),,26(8),2143,11,3,1.9,0.9,0.8,1.4,0.4,1.3,1.4,6.79
174,Martin Braithwaite Bordeaux,31, AM(CLR),FW,11(3),915,4,3,1.6,0.5,0.6,0.5,0.3,1.1,1.8,6.79
175,Joris Gnagnon Rennes,25, D(C),,32(4),2918,2,2,0.8,0.1,0.2,0.8,0.1,0.1,0.4,6.79
176,Thiago Motta PSG,40, M(C),,14(5),1159,1,1,0.4,0.6,0.3,0.7,0.1,0.6,0.4,6.79
177,Wesley Saïd Dijon,27, AM(CLR),FW,20(9),1841,9,2,1.7,0.5,1.1,0.6,0.2,0.9,1.2,6.79
178,Konstantinos Mitroglou Marseille,34, FW,,9(10),871,9,-,2.3,0.6,0.1,0.2,0.3,0.2,0.9,6.79
179,Jimmy Briand Guingamp,37, M(LR),FW,36(1),3213,11,2,2,0.8,0.6,2.6,1,1.6,3.1,6.79
180,Jérémy Morel Lyon,38, D(CL),,32(1),2915,-,-,-,0.1,0.2,0.7,-,0.1,0.5,6.78
181,Júnior Alonso Lille,29, D(CL),,30(4),2780,2,1,0.5,0.3,0.4,0.3,-,0.3,0.4,6.78
182,Prince-Désir Gouano Amiens,28, D(C),,32,2751,-,-,0.3,0.1,0.2,0.8,-,0.1,0.2,6.78
183,Benjamin Lecomte Montpellier,31, GK,,38,3420,-,-,-,0.1,-,0.1,-,-,-,6.78
184,Mathieu Deplagne Troyes,31, D(CLR),,28,2414,-,2,0.2,0.5,0.5,0.9,-,0.6,0.4,6.78
185,Xeka Dijon,27, M(C),,15(2),1395,2,3,2,1.4,0.9,1.8,-,1.5,1.7,6.78
186,Valère Germain Marseille,32, AM(CLR),FW,24(11),2170,9,5,1.7,0.7,0.1,0.4,0.3,0.5,0.8,6.78
187,Jeff Reine-Adélaïde Angers,24, AM(CLR),FW,7(3),443,-,-,0.4,0.5,2.2,1.4,0.1,2.1,0.8,6.78
188,Sanjin Prcic Rennes,28, M(C),,18(1),1569,1,2,0.9,0.4,0.1,0.5,-,0.4,0.6,6.77
189,Junior Sambia Montpellier,26, D(R),M(CR),16(12),1539,1,4,1.4,1.2,1.1,1.2,0.1,1.4,1.9,6.77
190,Issa Cissokho Amiens,37, D(LR),M(R),18(1),1629,-,-,0.2,0.5,0.4,1.0,-,0.3,1.0,6.77
191,Robert Beric Saint-Etienne,31, FW,,12(3),1046,7,1,1.7,0.3,0.2,1.4,1,0.6,0.9,6.77
192,Fouad Chafik Dijon,36, D(LR),M(R),19(4),1621,-,2,0.2,0.7,1.0,0.8,0.1,0.6,0.8,6.77
193,Nicolas de Préville Bordeaux,31, AM(CLR),FW,22(7),1941,4,4,2.0,0.8,1.8,1.3,0.2,1.5,2.8,6.77
194,Oualid El Hajjam Amiens,31, D(CR),,24(2),2197,1,1,0.7,0.4,0.7,1.0,-,1.1,1.5,6.77
195,Giovanni Sio Montpellier,33, AM(LR),FW,27(6),2203,10,3,2.5,0.6,0.6,1.3,0.8,1.4,1.9,6.76
196,Edgar Ié Lille,28, D(CR),,35,3147,1,-,0.4,0.3,0.7,0.5,0.1,0.6,0.9,6.76
197,Clinton N'Jie Marseille,29, AM(LR),FW,9(13),871,7,3,1.4,0.7,1.1,0.1,0.5,1.1,1.3,6.76
198,Romain Hamouma Saint-Etienne,35, M(CLR),FW,22(7),1854,5,3,1.4,1.2,0.7,1.3,0.4,1.5,1.9,6.76
199,Otávio Bordeaux,28, DMC,,19(2),1492,-,-,0.6,0.5,0.8,0.5,-,0.4,0.3,6.76
200,Yannick Cahuzac Toulouse,37, DMC,,18(2),1522,-,-,0.2,0.2,0.2,1.4,-,0.4,0.4,6.75
201,Stéphane Ruffier Saint-Etienne,36, GK,,35,3113,-,-,-,-,-,-,-,-,-,6.75
202,Gabriel Silva Saint-Etienne,31, D(LR),M(L),23(2),2080,1,2,0.4,0.6,0.7,1.8,0.1,0.8,1.3,6.75
203,Florent Mollet Metz,30, AM(CLR),,16(6),1415,7,1,2,0.9,1,1.2,0.1,1,1.7,6.75
204,Jonathan Rivierez Metz,33, D(LR),,24(2),2067,-,-,0.3,0.3,1,0.5,-,0.1,0.5,6.75
205,Valentin Rongier Nantes,27, D(R),M(C),29(3),2361,1,2,0.9,0.9,1.1,0.7,0.1,1.6,1.2,6.75
206,Marcus Thuram Guingamp,25, AM(L),FW,20(12),1926,3,1,1.6,0.7,1.8,1.2,0.5,1.4,2.2,6.74
207,Thiago Mendes Lille,30, D(CR),M(CR),27(4),2300,3,4,1.5,1.4,1.3,1.5,0.1,1.4,2.2,6.74
208,Valentin Rosier Dijon,26, D(LR),M(LR),31(5),2781,-,3,0.4,0.4,1.3,0.6,0.1,1.4,1.2,6.74
209,Valentin Eysseric Nice,30, AM(CLR),FW,1,90,-,-,1,2,3,-,1,6,2,6.74
210,François Kamano Bordeaux,26, M(CLR),FW,23(12),2022,8,4,1.8,0.8,1.3,1.0,0.5,1.5,2.0,6.74
211,Jonas Martin Strasbourg,32, M(CL),,36,3042,4,2,0.8,1.2,0.8,1.1,0.1,1.4,1.1,6.74
212,Emiliano Sala Nantes,32, FW,,34(2),3035,12,4,2.6,1.0,0.8,1.6,0.9,2.2,3.6,6.74
213,Félix Eboa Eboa Guingamp,25, D(CR),,16(7),1519,1,-,0.4,0.2,0.5,0.3,-,0.3,0.3,6.73
