,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
105,Raphaël Guerreiro Portugal,28, D(L),M(CL),4,360,-,1,1.0,1.3,2,1.3,-,0.3,1,7.07
106,Milan Badelj Croatia,33, M(C),,1(2),103,1,1,0.7,1,1,0.7,-,0.3,0.7,7.06
107,Carlos Vela Mexico,33, M(CLR),FW,4,315,1,-,2.5,3,2.5,2.5,0.3,1.8,0.8,7.06
108,Mats Hummels Germany,33, D(C),,2,180,-,-,3.0,-,0.5,0.5,-,0.5,-,7.05
109,Nordin Amrabat Morocco,35, M(CLR),FW,3,256,-,-,0.3,1,4,2.7,0.3,2.3,2.7,7.05
110,Sebastián Coates Uruguay,31, D(C),,1,90,-,-,-,-,-,-,-,-,-,7.05
111,Takashi Inui Japan,34, AM(CLR),,3(1),292,2,1,2,0.5,0.3,2.3,0.3,1.8,2.3,7.05
112,Ilya Kutepov Russia,29, D(C),,5,511,-,1,0.2,0.2,-,0.4,-,0.2,0.4,7.04
113,N'Golo Kanté France,31, DMC,,7,595,-,-,0.1,0.3,0.9,0.6,-,0.6,0.7,7.04
114,Alireza Beyranvand Iran,29, GK,,3,270,-,-,-,-,-,0.7,-,-,-,7.03
115,Yuya Osako Japan,32, AM(CLR),FW,3(1),308,1,-,1.8,1.3,1.3,1.8,0.8,2.3,1.8,7.03
116,Sergei Ignashevich Russia,43, D(C),,5,511,-,-,0.4,-,-,0.6,-,-,0.4,7.03
117,Victor Moses Nigeria,31, M(CLR),,3,270,1,1,2.3,1.3,1.7,2,-,1.7,1.3,7.03
118,Pepe Portugal,39, D(C),,4,360,1,-,0.8,-,1,1,-,-,0.5,7.03
119,Sime Vrsaljko Croatia,30, D(LR),M(R),6,607,-,1,0.8,0.8,0.7,1.2,-,0.7,0.8,7.03
120,Hamdi Nagguez Tunisia,29, Defender,,1(1),156,-,1,-,1.5,2,1,-,0.5,1,7.03
121,Artur Jedrzejczyk Poland,34, D(CLR),,1,90,-,-,1,1,-,-,-,-,-,7.02
