,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
107,Christian Günter Freiburg,29, D(L),M(L),34,3060,9,2,33.4,70.6,1.9,1.3,-,6.78
108,Florian Neuhaus Borussia M.Gladbach,25, M(C),,23(5),2038,4,0.7,38.5,80.8,0.1,2.2,0.2,6.78
109,Guilherme Ramos Arminia Bielefeld,25, D(C),,9(4),903,-,0.1,32.4,68.6,-,2.2,-,6.77
110,Amos Pieper Arminia Bielefeld,24, D(C),,27,2382,-,0.2,42.4,78.1,0.1,2.6,-,6.79
111,Rafael Borré Eintracht Frankfurt,26, FW,,28(3),2391,4,0.9,21.5,72.3,0.1,0.5,0.1,6.79
112,Salih Özcan FC Koln,24, M(C),,26(5),2310,-,0.6,42.7,84.1,0.2,1.8,-,6.79
113,Michael Gregoritsch Augsburg,28, AM(CR),FW,15(10),1394,-,0.3,15.8,59.0,0.1,0.3,-,6.78
114,Marvin Schwäbe FC Koln,27, GK,,21,1890,-,-,43.3,81.4,-,7.0,-,6.78
115,Robert Andrich Leverkusen,27, M(C),,21(5),1821,2,0.5,38.3,81.1,-,1.3,0.2,6.78
116,Karim Bellarabi Leverkusen,32, M(CLR),FW,9(7),687,2,0.6,14.7,79.6,0.4,0.7,0.1,6.78
117,Christian Günter Freiburg,29, D(L),M(L),34,3060,9,2,33.4,70.6,1.9,1.3,-,6.78
118,Florian Neuhaus Borussia M.Gladbach,25, M(C),,23(5),2038,4,0.7,38.5,80.8,0.1,2.2,0.2,6.78
119,Guilherme Ramos Arminia Bielefeld,25, D(C),,9(4),903,-,0.1,32.4,68.6,-,2.2,-,6.77
120,Cédric Brunner Arminia Bielefeld,28, D(CR),,26(1),2188,1,0.6,29.7,70.9,0.6,1.5,-,6.77
121,Matthias Ginter Borussia M.Gladbach,28, D(CR),DMC,26(1),2268,-,0.6,63.3,83.6,0.3,3.0,-,6.77
122,Wout Weghorst Wolfsburg,30, FW,,17(1),1552,1,0.9,23.7,70.9,-,0.6,0.1,6.76
123,Jesper Lindstrøm Eintracht Frankfurt,22, AM(C),FW,26(3),1996,4,1.6,18.1,74.5,0.6,0.4,-,6.76
124,Ansgar Knauff Eintracht Frankfurt,20, M(R),,8(4),760,1,0.8,20.5,62.6,0.5,0.2,0.1,6.76
125,Iago Augsburg,25, D(L),M(L),26(2),2179,5,1.1,30.2,69.1,0.9,1.9,-,6.75
126,Robin Knoche Union Berlin,30, D(C),,33,2970,-,0.1,51.9,78.6,-,5.3,0.1,6.75
127,Marvin Plattenhardt Hertha Berlin,30, D(L),M(L),19(2),1638,3,1.9,30.0,75.0,2.1,1.1,-,6.75
128,Nordi Mukiele RBL,24, D(CR),M(R),21(7),1846,3,0.5,34.6,74.0,0.3,1.3,-,6.75
129,Tuta Eintracht Frankfurt,23, D(C),,26,2189,-,0.2,51.7,79.0,-,3.2,-,6.75
130,Grischa Prömel Union Berlin,27, M(C),,28(1),2428,1,0.5,32.2,75.9,-,1.6,-,6.75
131,Yann Sommer Borussia M.Gladbach,33, GK,,32,2880,1,-,39.8,73.5,-,7.1,-,6.75
132,André Silva RBL,26, FW,,24(9),2081,3,0.5,16.7,73.1,0.1,0.1,-,6.74
133,Niklas Dorsch Augsburg,24, DMC,,27(3),2328,-,0.5,35.7,83.4,0.3,3.8,0.1,6.74
134,Manuel Neuer Bayern,36, GK,,28,2511,-,-,38.9,86.2,-,6.5,-,6.74
135,Stefan Bell Mainz,31, D(CR),,33,2869,-,0.3,46.0,77.3,0.1,2.3,-,6.74
136,Thorgan Hazard Borussia Dortmund,29, M(CLR),FW,14(9),1337,1,1,30.2,78.3,0.5,1.0,-,6.73
137,Atakan Karazor Stuttgart,25, D(C),DMC,23(1),1906,1,0.7,42.1,82.1,-,1.5,-,6.73
138,Josuha Guilavogui Wolfsburg,31, D(C),M(C),10(5),943,-,0.2,34.4,82.2,-,1.6,-,6.73
139,Joakim Nilsson Arminia Bielefeld,28, D(C),,31,2739,-,0.1,38.9,80.4,-,2.5,-,6.73
140,John Brooks Wolfsburg,29, D(C),,29(2),2619,-,0.2,55.4,83.4,-,4.1,-,6.73
141,Stefan Ortega Arminia Bielefeld,29, GK,,33,2970,-,0.2,50.7,69.0,-,15.1,-,6.73
142,Jordan Torunarigha Hertha Berlin,25, D(CL),,6(1),484,1,0.3,33.9,81.4,-,2.3,-,6.72
143,Giovanni Reyna Borussia Dortmund,19, AM(CLR),,6(4),442,1,1.5,22.4,83.5,0.7,0.4,-,6.72
144,Cristian Gamboa Bochum,32, D(R),,20(3),1725,-,0.6,32.8,72.3,0.5,3.3,-,6.72
145,Moussa Niakhaté Mainz,26, D(CL),,29(1),2567,-,0.4,45.4,78.7,0.1,2.2,-,6.72
146,Corentin Tolisso Bayern,28, D(R),M(CR),8(7),705,1,1.1,36.1,87.6,0.1,2.3,0.3,6.72
