,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
215,Mame Diouf Stoke,34, M(LR),FW,30(5),2602,2,0.6,15.9,57.3,0.1,0.2,-,6.76
216,Paul Dummett Newcastle,31, D(CL),,19(1),1603,-,0.3,30.0,69.4,0.2,2.0,0.1,6.76
217,Marcus Rashford Man Utd,25, AM(CLR),FW,17(18),1810,5,0.6,16.5,78.3,0.3,0.5,0.1,6.76
218,Kiko Femenía Watford,31, D(LR),M(R),19(4),1715,1,0.8,34.5,83.2,0.7,1.2,-,6.76
219,Charlie Taylor Burnley,29, D(CL),M(L),10(1),949,-,0.4,29.6,66.9,0.5,1.3,-,6.75
220,DeAndre Yedlin Newcastle,29, D(R),M(R),31(3),2842,2,0.6,29.4,75.0,0.6,0.9,-,6.75
221,Angelo Ogbonna West Ham,34, D(C),,32,2880,-,0.2,31.7,79.8,0.1,2.8,-,6.75
222,Davy Pröpper Brighton,31, M(C),,35,3120,4,0.5,39.7,78.1,0.1,3.3,-,6.75
223,James McArthur Crystal Palace,35, M(CLR),,27(6),2434,1,0.6,32.4,79.1,0.1,1.1,-,6.75
224,Petr Cech Arsenal,40, GK,,34,3040,-,-,23.9,65.4,-,5.4,-,6.75
225,Pablo Zabaleta West Ham,37, D(R),DMC,37,3291,1,0.5,31.2,73.2,0.4,1.5,-,6.74
226,Danny Rose Tottenham,32, D(L),M(L),9(1),802,1,1,37.8,81.5,1.1,2.0,-,6.74
227,Hugo Lloris Tottenham,35, GK,,36,3240,-,-,27.7,75.2,-,6.0,-,6.74
228,Wayne Hennessey Crystal Palace,35, GK,,27,2430,-,-,25.5,46.2,-,8.5,-,6.74
229,Joselu Newcastle,32, FW,,19(11),1716,1,0.5,19.8,62.7,0.1,0.3,-,6.74
230,Cenk Tosun Everton,31, FW,,12(2),991,-,1.1,18.8,70.3,0.1,0.6,-,6.74
231,Etienne Capoue Watford,34, D(C),M(CL),18(5),1542,-,0.3,38.0,82.4,-,2.7,0.2,6.74
232,Michel Vorm Tottenham,39, GK,,1,90,-,-,24.0,87.5,-,2.0,-,6.74
233,Jack Cork Burnley,33, DMC,,38,3420,1,0.5,41.7,80.6,0.1,2.3,-,6.74
234,Will Hughes Watford,27, M(CLR),,11(4),995,3,1.1,26.9,79.7,0.1,0.2,0.1,6.74
235,João Mário West Ham,29, M(CLR),,12(1),1027,1,1.2,33.8,81.3,0.8,0.8,0.1,6.74
236,Ayoze Pérez Newcastle,29, AM(CLR),FW,28(8),2497,5,1,19.9,71.3,0.1,0.3,0.1,6.74
237,Mathew Ryan Brighton,30, GK,,38,3420,-,-,27.7,48.0,-,9.6,-,6.74
238,Matt Phillips West Brom,31, M(CLR),FW,23(7),2097,2,1.1,16.6,72.6,1.3,0.6,-,6.73
239,Lewis Cook Bournemouth,25, M(CL),,25(4),2239,2,1,42.3,79.4,0.3,3.7,0.1,6.73
240,Ilkay Gündogan Man City,32, M(C),,15(15),1510,1,0.7,46.7,91.7,0.1,1.1,0.1,6.73
241,Martin Dúbravka Newcastle,33, GK,,12,1080,-,-,26.3,54.1,-,6.0,-,6.73
242,Adam Smith Bournemouth,31, D(LR),M(LR),22(5),2069,3,0.8,33.8,82.3,0.4,1.1,-,6.73
243,Leighton Baines Everton,37, D(L),M(L),22,1910,3,1.1,34.3,80.1,1,1.3,-,6.73
244,Andrew Surman Bournemouth,36, M(CL),,20(5),1852,5,0.6,47.1,84.4,0.2,2.6,-,6.73
245,Erik Pieters Stoke,34, D(CL),M(L),30(1),2720,1,0.4,32.2,71.7,0.4,1.7,-,6.73
246,Dominic Calvert-Lewin Everton,25, AM(L),FW,18(14),1876,6,0.6,15.4,60.9,0.3,0.1,-,6.72
247,Ryan Fraser Bournemouth,28, M(CLR),FW,23(3),2010,3,1.6,31.4,76.6,1.3,0.8,-,6.71
248,Zanka Huddersfield,32, D(C),,38,3420,2,0.2,41.1,76.7,-,2.7,-,6.71
249,Jonjo Shelvey Newcastle,30, M(C),,25(5),2269,3,1.4,46.1,72.4,0.8,5.2,0.3,6.7
250,Sam Byram West Ham,29, D(CLR),M(R),2(3),247,-,0.4,16.8,58.3,0.6,0.6,-,6.7
251,Bruno Brighton,42, D(R),M(R),23(2),2018,-,0.4,38.9,82.0,0.3,2.5,-,6.7
252,Ashley Williams Everton,38, D(C),,20(4),1835,-,0.1,30.5,80.7,-,2.2,-,6.7
253,Alex Pritchard Huddersfield,29, AM(CLR),FW,12(2),1003,1,1.5,24.6,71.5,0.9,0.9,0.1,6.7
254,Loris Karius Liverpool,29, GK,,19,1710,-,-,27.4,67.2,-,4.1,-,6.7
