,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
94,Ahmed Hegazy West Brom,31, D(C),,38,3387,1.5,1.6,0.6,0.7,7.1,0.6,1,-,6.98
95,Jamie Vardy Leicester,35, AM(L),FW,37,3258,0.4,0.1,0.8,-,0.5,0.2,-,-,6.98
96,Cuco Martina Everton,33, D(CLR),,20(1),1831,2.9,2.0,1.2,0.2,5.6,0.9,0.2,-,6.98
97,Matthew Lowton Burnley,33, D(LR),M(R),25(1),2295,2.1,1.5,0.7,0.2,4.3,1.2,0.6,-,6.97
98,Matt Targett Southampton,27, D(L),M(L),2,167,3.0,1.5,0.5,0.5,3.0,1.0,1,-,6.97
99,Simon Francis Bournemouth,37, D(CR),,31(1),2710,1.5,1.5,0.8,0.8,5.5,0.6,0.6,-,6.96
100,Henrikh Mkhitaryan Man Utd,33, M(CLR),FW,11(4),931,1,0.5,0.7,-,0.1,1.3,-,-,6.96
101,Yohan Benalouane Leicester,35, D(CR),,1,90,7,1,1,-,4.0,2,1,-,6.96
102,Eric Dier Tottenham,28, D(CR),DMC,32(2),2827,1.8,1.4,0.7,0.5,2.4,0.7,0.3,-,6.96
103,Kenedy Newcastle,26, D(L),M(LR),13,1030,2.4,1.1,1.2,0.2,0.7,1.8,0.1,-,6.95
104,Idrissa Gueye Everton,33, M(C),,32(1),2757,3.5,1.9,1.5,-,1.3,1.5,0.3,-,6.95
105,David Ospina Arsenal,34, GK,,4(1),380,-,-,-,-,1.0,-,-,-,6.95
106,Jordan Henderson Liverpool,32, D(C),M(CLR),25(2),2173,1.9,1.1,1,-,0.7,1.3,0.1,-,6.95
107,Marouane Fellaini Man Utd,34, M(C),,5(11),613,0.9,0.9,0.8,-,1.1,0.6,0.2,-,6.94
108,Davinson Sánchez Tottenham,26, D(C),,29(2),2535,1.2,1.2,0.8,1.1,5.1,0.7,0.3,1,6.94
109,Jesús Gámez Newcastle,37, D(LR),,1(1),97,2,1,-,-,2.5,1,-,-,6.94
110,Michael Keane Everton,29, D(CR),,29(1),2561,1.1,1.8,0.7,0.9,6.9,0.8,0.9,-,6.94
111,Álvaro Morata Chelsea,30, AM(L),FW,24(7),2067,0.4,0.2,1.3,-,0.6,0.6,0.1,-,6.94
112,Christian Kabasele Watford,31, D(C),,27(1),2332,1.5,1.2,1.1,1.3,6.2,0.5,0.8,1,6.93
113,Mario Lemina Southampton,29, DMC,,20(5),1723,2.2,1.4,1.1,-,1.3,0.7,0.2,-,6.93
114,Nick Pope Burnley,30, GK,,34(1),3114,-,-,-,-,1.1,-,-,-,6.93
115,Eric Choupo-Moting Stoke,33, M(CLR),FW,26(4),2248,1.4,0.8,0.7,-,0.8,0.8,0.1,-,6.93
116,Chris Brunt West Brom,37, D(L),M(CLR),22(4),1923,1.6,0.8,0.6,-,1.5,0.8,0.2,-,6.93
117,Oriol Romeu Southampton,31, DMC,,34,2903,2.7,2,1.6,0.1,2.1,2,0.6,-,6.92
118,James Collins West Ham,39, D(C),,12(1),1050,1.2,1.2,1,0.4,9.1,0.2,0.8,-,6.92
119,Antonio Rüdiger Chelsea,29, D(CR),,25(2),2336,1.1,0.9,1,0.4,3.7,0.6,0.6,-,6.92
120,Sead Kolasinac Arsenal,29, D(CL),DMC,25(2),2152,1.8,1.0,1.2,0.2,2.0,0.7,0.1,-,6.92
121,Joël Matip Liverpool,31, D(C),,22(3),1995,1.4,1.4,0.8,0.8,3.8,0.5,0.6,-,6.92
122,Jordan Ayew Swansea,31, AM(CLR),FW,33(3),2859,2.3,0.7,1.8,-,0.5,1.1,0.1,-,6.91
123,Danilo Man City,31, D(CLR),DMC,13(10),1342,1.9,0.8,0.5,0.2,1.2,0.7,0.3,-,6.91
124,Christian Benteke Crystal Palace,31, FW,,24(7),2238,0.4,0.1,1.5,0.1,1.4,0.5,0.1,-,6.91
125,Younes Kaboul Watford,36, D(C),,2,151,1.5,1.0,0.5,-,7.5,-,1,-,6.9
126,Victor Moses Chelsea,31, M(CLR),,25(3),2119,1.3,0.5,0.8,-,1.1,0.4,0.1,-,6.9
127,Mousa Dembélé Tottenham,35, M(CR),,21(7),1886,1.3,1.2,1.7,-,0.4,1,-,-,6.9
128,José Fonte West Ham,38, D(C),,8,690,1.4,1.8,0.8,0.6,4.5,0.5,1.1,-,6.89
129,Steve Cook Bournemouth,31, D(C),,31(3),2766,1.1,1.6,0.6,1,6.6,0.3,1.3,1,6.89
130,Mike van der Hoorn Swansea,30, D(C),,24,1952,1.3,1.6,0.9,0.7,5.1,0.3,0.6,-,6.89
131,Lukasz Fabianski Swansea,37, GK,,38,3420,-,-,-,-,0.7,-,-,-,6.89
132,Wesley Hoedt Southampton,28, D(C),,28,2520,2.1,1.4,0.8,0.3,6.1,0.9,0.6,-,6.89
133,Stephen Ward Burnley,37, D(L),M(L),28,2462,1.4,1.5,0.4,0.1,3.6,0.8,0.4,-,6.89
134,John Stones Man City,28, D(CR),,16(2),1306,0.8,1.1,0.3,0.8,2.3,0.4,0.3,-,6.89
135,Nathan Aké Bournemouth,27, D(CL),DMC,37(1),3354,1.4,1.3,0.7,0.9,6.0,0.5,0.6,-,6.88
136,Michail Antonio West Ham,32, D(R),M(CLR),16(5),1358,0.7,0.6,0.8,-,0.7,0.5,-,-,6.88
137,Gylfi Sigurdsson Everton,33, M(CLR),FW,25(2),2262,1.4,1.3,0.7,-,1.1,1.5,0.3,-,6.88
138,Alex Iwobi Arsenal,26, M(CLR),,22(4),1844,0.7,0.3,0.4,-,0.3,0.5,-,-,6.88
139,Joshua King Bournemouth,30, AM(CLR),FW,27(6),2456,1.1,0.1,1.4,-,0.4,0.7,0.1,-,6.88
140,Alex Oxlade Chamberlain Liverpool,29, M(CLR),,14(18),1485,1.0,0.6,0.5,-,0.2,0.5,-,-,6.88
141,Anthony Martial Man Utd,26, AM(LR),FW,18(12),1584,0.5,0.1,0.6,-,0.2,0.3,-,-,6.87
142,Junior Stanislas Bournemouth,32, M(CLR),,17(2),1299,0.8,0.3,0.3,0.1,0.6,0.4,0.3,-,6.87
143,Joe Allen Stoke,32, M(C),,36,3142,2.7,1.6,1.4,0.1,1.5,1.7,0.3,-,6.87
144,Jonjoe Kenny Everton,25, D(LR),M(R),17(2),1589,2.2,1.5,0.9,-,3.8,0.6,0.4,-,6.87
145,Xherdan Shaqiri Stoke,31, M(CLR),,36,3049,0.7,0.4,0.8,-,0.1,0.8,-,-,6.87
146,Phil Bardsley Burnley,37, D(LR),,13,1126,1.3,1.7,1.7,0.2,5.1,0.5,0.5,-,6.87
147,Benjamin Mendy Man City,28, D(L),DMC,4(3),362,0.7,1.1,0.9,-,1.1,0.3,-,-,6.87
148,Juan Mata Man Utd,34, AM(CLR),,23(5),1933,0.6,0.5,0.4,-,0.3,0.8,-,-,6.87
149,Séamus Coleman Everton,34, D(CR),M(R),12,1036,1.2,0.8,0.3,0.3,1.9,0.4,1,-,6.87
150,Tiemoué Bakayoko Chelsea,28, DMC,,24(5),2126,2.2,1.3,1.7,-,1.2,1.1,0.2,-,6.87
151,Chancel Mbemba Newcastle,28, D(CLR),DMC,7(2),672,1.8,1.7,0.6,0.2,4.6,0.8,0.3,-,6.87
152,Gary Cahill Chelsea,36, D(C),,24(3),2084,1.1,1,0.6,0.4,4.6,0.4,0.5,-,6.87
153,Nathaniel Chalobah Watford,27, DMC,,5(1),448,1.5,1,0.5,0.2,1.0,0.5,0.8,-,6.86
154,Aaron Mooy Huddersfield,32, M(CLR),,34(2),3071,2.8,1.1,0.7,-,1.3,0.9,0.1,-,6.86
155,Maya Yoshida Southampton,34, D(CR),,23(1),2051,1.1,1.7,0.8,0.4,5.4,0.3,0.6,-,6.86
156,Luke Shaw Man Utd,27, D(CL),M(L),8(3),789,1.6,0.4,0.4,-,1.7,0.6,0.2,-,6.86
157,Pedro Obiang West Ham,30, DMC,,18(3),1565,2.5,1.1,1.3,0.1,0.9,1.6,0.8,-,6.85
158,Peter Crouch Stoke,41, FW,,14(17),1555,0.1,-,1.3,0.1,1.0,0.4,0.1,-,6.85
