,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
110,Koen Casteels Wolfsburg,30, GK,,34,3060,0.1,-,-,-,1.2,-,-,-,6.92
111,Nico Elvedi Borussia M.Gladbach,26, D(CLR),,33,2916,2.0,1.5,0.6,0.2,2.9,0.5,0.3,-,6.92
112,Amine Harit Schalke,25, AM(CLR),FW,23(8),2053,1.3,0.6,0.6,-,0.3,0.8,-,-,6.92
113,Kevin Kampl RBL,32, M(CLR),,22(4),2021,1.6,1.3,1.2,-,1,0.9,0.1,-,6.91
114,William Wolfsburg,27, D(LR),M(R),19(3),1614,3.5,2.1,1.3,-,2.3,1.8,0.3,-,6.91
115,Bernardo RBL,27, D(LR),M(L),15(3),1350,2.4,1,1.6,0.3,4.3,0.6,0.3,-,6.9
116,Linton Maina Hannover,23, M(CLR),FW,0(2),31,0.5,0.5,-,-,-,-,-,-,6.9
117,Niklas Süle Bayern,27, D(CR),,20(7),1919,1.3,1.2,0.6,0.4,2,0.3,0.6,3,6.9
118,Theodor Gebre Selassie Werder Bremen,35, D(CLR),DMC,31(1),2829,2.1,1.6,1.4,0.2,2.2,0.7,0.1,-,6.9
119,Timo Werner RBL,26, AM(CLR),FW,28(4),2493,0.5,0.2,0.8,-,0.3,0.5,-,-,6.9
120,Jean-Kévin Augustin RBL,25, AM(R),FW,14(11),1273,0.6,0.2,0.8,-,0.2,0.2,-,-,6.89
121,Paul Jaeckel Wolfsburg,24, D(C),DMC,3,270,1,0.3,1,-,2.7,0.3,0.7,-,6.89
122,Mario Götze Borussia Dortmund,30, M(CLR),FW,19(4),1608,2.2,0.3,1.1,-,0.3,0.9,-,-,6.88
123,Jadon Sancho Borussia Dortmund,22, AM(CLR),,7(5),684,0.4,0.4,0.1,-,0.2,0.4,-,-,6.88
124,Wendell Leverkusen,29, D(CL),M(L),26,2121,2.1,1.1,1.2,0.1,1.8,1,0.3,-,6.88
125,Diego Demme RBL,30, DMC,,25(5),2288,2.7,1.6,1.5,-,0.9,1.3,0.1,-,6.87
126,Rafinha Bayern,37, D(CLR),M(R),19(8),1843,1.4,1.2,0.9,0.1,0.9,0.7,0.2,-,6.87
127,Ron-Robert Zieler Stuttgart,33, GK,,34,3060,-,-,-,-,0.9,-,-,-,6.86
128,Philipp Bargfrede Werder Bremen,33, D(C),M(C),23(4),1871,2.2,1.7,1.6,0.2,1.9,0.8,0.4,-,6.86
129,Felix Klaus Hannover,30, AM(CLR),,25(3),1991,1.7,0.3,1,-,0.8,1,0.1,-,6.86
130,Anastasios Donis Stuttgart,26, AM(CR),FW,11(7),951,1.1,0.5,1,-,0.3,0.1,-,-,6.86
131,Holger Badstuber Stuttgart,33, D(CL),,24(3),2169,1.6,1.5,0.8,0.7,3.9,0.6,0.5,-,6.86
132,Daniel Baier Augsburg,38, M(C),,29,2543,2.9,2,1.6,-,1.3,1.3,0.2,-,6.86
133,Marvin Plattenhardt Hertha Berlin,30, D(L),M(L),33,2970,1.7,0.8,1,0.3,2.2,0.5,0.2,-,6.85
134,Jeffrey Gouweleeuw Augsburg,31, D(C),,27,2386,2.1,2,1.1,0.3,4.5,0.5,0.4,-,6.85
135,Jirí Pavlenka Werder Bremen,30, GK,,34,3060,-,-,-,-,1.2,-,-,-,6.85
136,Sebastian Rudy Bayern,32, D(R),M(CR),16(9),1509,2,0.7,0.8,-,0.2,1.1,-,-,6.84
137,Jordan Torunarigha Hertha Berlin,25, D(CL),,7(5),661,1.5,1.9,0.8,0.4,3.5,0.5,1.1,-,6.84
138,Emil Forsberg RBL,31, AM(CLR),FW,15(6),1374,1.1,0.4,0.8,-,0.2,0.6,-,-,6.84
139,Martin Hinteregger Augsburg,30, D(C),,29(1),2655,2.6,1.6,0.9,0.3,4.3,0.5,0.9,-,6.84
140,Stefan Posch Hoffenheim,25, D(CR),,9,758,3.1,2.7,1.2,0.7,2.6,1.3,0.4,-,6.84
141,Zlatko Junuzovic Werder Bremen,35, M(CLR),,17(7),1636,1.5,0.8,1.1,-,0.4,0.8,0.1,-,6.84
142,Kevin-Prince Boateng Eintracht Frankfurt,35, M(CLR),FW,27(4),2361,1.1,0.7,2.3,0.1,1.4,0.8,0.2,-,6.83
143,Lewis Holtby Hamburg,32, M(CLR),,13(3),1197,2.8,0.6,1.3,-,0.6,0.9,0.1,-,6.82
144,Julian Baumgartlinger Leverkusen,34, DMC,,17(5),1398,2.1,0.8,0.8,-,1.0,0.7,0.1,-,6.82
145,Bruma RBL,28, AM(CLR),,16(12),1611,0.6,0.4,0.4,-,0.3,0.3,0.1,-,6.82
146,Santiago Ascacíbar Stuttgart,25, DMC,,27(2),2386,3.1,1.6,1.2,-,1.2,1.1,0.3,-,6.82
147,Dennis Diekmeier Hamburg,33, D(R),M(R),22,1870,2.1,0.7,0.8,0.2,1.8,0.5,0.5,-,6.82
148,Julian Weigl Borussia Dortmund,27, D(C),DMC,20(5),1943,2.8,1.4,1.6,0.2,1.0,1.0,0.2,-,6.82
149,Timothy Chandler Eintracht Frankfurt,32, D(R),M(LR),22(2),1893,1.1,1.4,1.0,0.1,1.8,0.3,-,-,6.82
150,Stefan Bell Mainz,31, D(CR),,24(1),2176,1.4,1.8,1.8,0.4,4.6,0.5,0.7,1,6.81
151,Matija Nastasic Schalke,29, D(C),,22(2),1991,2.0,1.5,1.5,0.3,3.2,0.4,0.9,-,6.81
152,Janik Haberer Freiburg,28, M(CLR),FW,31(2),2758,1.9,0.9,2.2,0.1,1.2,1.0,-,-,6.81
153,Fin Bartels Werder Bremen,35, M(CLR),FW,14,1129,0.9,0.5,0.7,-,0.1,0.6,0.1,-,6.81
154,Shinji Kagawa Borussia Dortmund,33, M(CL),,12(7),1166,1.7,0.3,0.5,-,0.1,0.5,-,-,6.81
155,Danny da Costa Eintracht Frankfurt,29, D(R),M(R),13(4),1199,2.4,0.8,0.6,0.2,2.2,0.2,0.2,-,6.81
156,Andriy Yarmolenko Borussia Dortmund,33, AM(CR),FW,13(5),1042,0.9,0.4,1.1,0.1,0.2,0.5,-,-,6.8
157,Valentino Lazaro Hertha Berlin,26, D(R),M(CLR),19(7),1860,1.3,0.6,0.7,0.1,1.1,0.6,0.1,-,6.8
158,Amir Abrashi Freiburg,32, DMC,,11(1),852,2.9,1.6,1.7,-,1.6,0.6,0.4,-,6.8
159,Raphael Framberger Augsburg,27, D(R),M(R),7(2),697,2.4,1.6,0.9,0.1,1.6,0.1,0.3,-,6.8
160,Simon Terodde FC Koln,34, FW,,14(1),1165,0.7,0.3,2.1,-,0.5,0.5,-,-,6.8
161,Fabian Lustenberger Hertha Berlin,34, D(C),M(C),18(5),1581,2,1,0.8,0.3,3.0,0.4,0.5,-,6.79
162,Aaron Hunt Hamburg,36, M(CLR),FW,26(3),2168,1.2,0.5,0.9,-,0.6,0.9,0.1,-,6.79
163,Miiko Albornoz Hannover,31, D(L),M(L),7(3),701,2.4,0.5,0.9,-,2.1,0.5,0.2,-,6.79
164,Rani Khedira Augsburg,28, D(C),DMC,27(3),2280,2.1,1.2,1.6,0.1,3.1,0.5,0.6,-,6.79
165,Yann Sommer Borussia M.Gladbach,33, GK,,30,2627,-,0.1,-,-,0.6,-,-,-,6.79
166,Panagiotis Retsos Leverkusen,24, D(CLR),,18(6),1716,2,1.2,1.5,0.3,1.8,0.5,0.3,-,6.79
167,Marwin Hitz Augsburg,35, GK,,32,2880,-,-,0.1,-,0.6,0.1,-,-,6.79
168,Simon Falette Eintracht Frankfurt,30, D(C),,25(2),2209,1.3,2.1,1.4,0.7,4.6,0.4,0.6,-,6.78
169,Nabil Bentaleb Schalke,27, M(C),,12(4),1012,1.6,1.4,1.6,-,1.6,0.9,0.4,-,6.78
170,Guido Burgstaller Schalke,33, AM(LR),FW,24(8),2330,0.4,0.3,1.3,-,0.3,0.3,0.1,-,6.78
171,Jeremy Toljan Borussia Dortmund,28, D(LR),M(LR),13(3),1209,1.8,0.8,0.4,0.2,1.8,0.8,0.1,-,6.78
172,Raphaël Guerreiro Borussia Dortmund,28, D(L),M(CL),6(3),547,1.1,1.2,0.1,0.1,0.9,0.3,-,-,6.78
173,Salih Özcan FC Koln,24, M(C),,19(4),1672,2.4,1.3,2.3,-,0.9,1.1,0.2,-,6.78
174,Nicolas Höfler Freiburg,32, D(C),DMC,24(3),2259,2.1,1.6,1.6,0.1,1.8,0.7,0.4,-,6.78
175,Christian Günter Freiburg,29, D(L),M(L),34,3060,2.1,0.6,0.7,0.2,1.5,0.7,0.2,-,6.78
176,Daniel Didavi Wolfsburg,32, AM(CR),FW,26(4),2250,1.1,0.2,1.2,-,0.3,0.6,-,-,6.78
177,Yannick Gerhardt Wolfsburg,28, D(L),M(CL),12(5),1225,2.2,0.9,0.6,0.1,1.5,0.7,0.3,-,6.78
178,Josip Brekalo Wolfsburg,24, AM(CLR),FW,10(3),836,1.2,0.3,0.7,-,0.2,0.5,-,-,6.77
179,Daniel Brosinski Mainz,34, D(LR),M(LR),28(1),2503,1.6,0.8,0.6,-,2.2,0.8,0.4,-,6.77
180,Max Meyer Schalke,27, M(CLR),FW,21(3),1733,2.0,2.3,1.0,-,0.4,1.2,0.1,-,6.77
181,André Schürrle Borussia Dortmund,32, M(CLR),FW,11(7),1234,1.2,0.4,0.7,-,0.3,0.5,0.1,-,6.77
182,Matti Steinmann Hamburg,27, DMC,,8,601,2.0,2.3,1.8,-,0.9,1.1,0.1,-,6.77
183,Niklas Moisander Werder Bremen,37, D(C),,25,2250,1.4,1.5,1.4,0.8,3.7,0.5,0.4,1,6.77
184,Yevhen Konoplyanka Schalke,33, AM(CL),FW,18(9),1568,0.4,0.2,0.9,-,0.2,0.3,-,-,6.77
185,Lukas Klostermann RBL,26, D(CLR),M(R),25(1),2193,2.2,1.3,0.5,0.2,2.5,0.3,0.2,-,6.76
186,Leon Balogun Mainz,34, D(CR),,14,1176,2.8,2.3,1.6,0.5,4.4,0.6,0.6,-,6.76
187,Mergim Mavraj Hamburg,36, D(C),,17,1448,2.6,1.2,1.2,0.5,5.2,0.9,0.7,-,6.76
188,Marcel Tisserand Wolfsburg,29, D(CLR),M(R),14(2),1248,0.9,1.9,1.6,0.3,2.7,0.4,0.8,-,6.75
189,Salomon Kalou Hertha Berlin,37, AM(CLR),FW,27(4),2224,0.6,0.3,0.7,-,0.7,0.3,-,-,6.75
190,Yoshinori Muto Mainz,30, FW,,20(7),1906,0.8,0.2,1.3,-,0.4,0.3,-,-,6.75
191,Dan-Axel Zagadou Borussia Dortmund,23, D(CL),,6(5),654,0.8,1.0,1.2,0.5,1.6,0.1,-,-,6.75
192,Mijat Gacinovic Eintracht Frankfurt,27, M(CLR),,22(7),1820,1.9,1.3,0.9,-,0.7,1.1,-,-,6.75
193,Maximilian Arnold Wolfsburg,28, M(CR),,28(1),2454,1.8,1.0,1.8,-,1.1,1.1,0.1,-,6.74
194,Nico Schulz Hoffenheim,29, D(L),M(L),19(8),1773,1.5,0.9,0.8,-,0.7,0.3,0.2,-,6.74
195,Milos Jojic FC Koln,30, M(CLR),,17(8),1462,1.4,0.6,1.0,-,0.3,1.0,0.2,-,6.74
196,Maximilian Eggestein Werder Bremen,25, M(CR),,31(2),2700,2.1,1.2,1.5,0.1,1.2,0.7,0.2,-,6.74
197,Ludwig Augustinsson Werder Bremen,28, D(L),M(L),29,2535,1.6,1.3,1.0,0.2,1.5,0.3,0.1,-,6.73
198,Yunus Malli Wolfsburg,30, M(CLR),FW,24(7),2243,0.8,0.4,0.5,-,0.5,0.4,-,-,6.73
199,Pascal Stenzel Freiburg,26, D(CR),M(R),21(4),1939,2.5,1.4,0.9,-,1.7,0.9,0.1,-,6.73
200,Peter Pekarík Hertha Berlin,36, D(LR),M(R),17,1379,2.5,1.1,0.8,0.1,2.1,0.5,0.2,-,6.73
201,Leonardo Bittencourt FC Koln,28, M(CLR),FW,17(5),1616,2.2,0.8,1.5,-,0.5,1.1,-,-,6.73
202,Manuel Neuer Bayern,36, GK,,3,270,-,-,-,-,0.3,-,-,-,6.73
203,Ralf Fährmann Schalke,34, GK,,34,3016,-,-,-,-,0.8,0.1,-,-,6.73
204,Thomas Kraft Hertha Berlin,34, GK,,4,271,-,-,-,-,0.3,-,-,-,6.73
205,Denis Zakaria Borussia M.Gladbach,25, D(C),DMC,29(1),2308,2.5,1.5,1.9,-,1.2,0.7,0.3,-,6.73
206,Dennis Geiger Hoffenheim,24, M(C),,20(1),1594,2.5,0.7,2.5,-,0.3,1.1,0.1,-,6.73
207,Jonathan de Guzmán Eintracht Frankfurt,35, M(CLR),,12(4),1094,1,0.8,1,-,0.6,0.6,-,-,6.72
208,Lamine Sané Werder Bremen,35, D(C),M(C),9(2),787,1.7,1.8,0.5,0.9,4.4,0.2,0.5,-,6.72
209,Florian Kainz Werder Bremen,30, AM(CLR),,19(11),1687,1.1,0.6,1.2,-,0.3,0.3,-,-,6.72
210,Sebastian Langkamp Hertha Berlin,34, D(C),,11(1),955,1.3,1.8,0.9,0.7,4.7,0.6,0.3,-,6.72
211,Daniel Ginczek Stuttgart,31, AM(R),FW,17(6),1532,0.3,0.2,1.4,-,0.5,0.4,-,-,6.72
212,Timo Horn FC Koln,29, GK,,34,3060,0.1,-,-,-,0.9,0.1,-,-,6.71
213,Kevin Akpoguma Hoffenheim,27, D(CR),M(R),17(5),1690,2.1,1,1,0.5,2.5,0.5,0.2,1,6.71
214,Chris Führich FC Koln,24, M(CLR),FW,1(1),95,2.0,-,-,-,0.5,1.5,-,-,6.71
