,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
123,Gabriel Martinelli ,21, AM(L),FW,21(8),1866,6,6,1.8,1.2,1.6,6.86,0
126,Kai Havertz ,23, M(CR),FW,22(7),1816,8,3,1.9,0.7,0.6,6.85,0
127,Roberto Firmino ,30, M(CLR),FW,10(10),987,5,4,1.5,0.8,0.9,6.85,0
133,Joelinton ,26, AM(CLR),FW,30(5),2559,4,1,1.3,0.8,1.1,6.82,0
134,Lucas Moura ,30, AM(CLR),FW,19(15),1774,2,6,1.1,1,1.6,6.82,0
139,Romelu Lukaku ,29, AM(R),FW,16(10),1586,8,0,1.7,0.9,0.5,6.82,0
149,Pascal Gro�� ,31, M(CR),FW,24(5),2043,2,4,0.8,2.1,0.3,6.79,0
150,Harvey Barnes ,24, AM(CL),,24(8),2107,6,10,2.1,0.9,1,6.79,0
152,Jo?o Pedro ,20, AM(L),FW,15(13),1639,3,1,1.7,0.7,2.2,6.78,0
155,Demarai Gray ,26, AM(CLR),FW,28(6),2352,5,4,1.9,1.2,1.6,6.78,0
160,Daniel Podence ,26, AM(CLR),FW,15(11),1486,2,3,1.3,1.4,1.3,6.77,0
163,Jacob Ramsey ,21, AM(C),,29(5),2477,6,1,1,0.6,0.9,6.77,0
170,Alexis Mac Allister ,23, M(CL),FW,22(11),2118,5,2,1.8,0.9,0.6,6.75,0
177,Emile Smith Rowe ,22, AM(CL),,21(12),1922,10,2,1.2,0.9,1,6.74,0
180,Pierre-Emerick Aubameyang ,33, M(CLR),FW,12(2),1040,4,1,2.5,0.6,0.1,6.74,0
182,Bryan Mbeumo ,23, AM(LR),FW,34(1),2916,4,7,2.2,1,1.1,6.74,0
184,Alexandre Lacazette ,31, M(CLR),FW,20(10),1789,4,7,1.5,1,0.6,6.74,0
196,Che Adams ,26, AM(CL),FW,23(7),2043,7,3,1.6,0.9,0.7,6.72,0
198,Chris Wood ,30, FW,,15(2),1328,2,0,1.2,0.6,0.1,6.72,0
203,Andros Townsend ,31, AM(LR),FW,17(4),1459,3,2,1,1.5,1.2,6.71,0
205,Joshua King ,30, AM(CLR),FW,27(5),2251,5,3,1.6,1.1,0.9,6.7,0
214,Anthony Gordon ,21, AM(LR),,25(10),2285,4,2,1.3,1,1.1,6.7,0
217,Danny Welbeck ,31, AM(CLR),FW,15(10),1477,6,2,1.7,0.7,0.4,6.69,0
222,Jordan Ayew ,30, AM(CLR),FW,23(8),2024,3,3,1.1,0.7,1.1,6.68,0
225,Christian Pulisic ,23, M(CLR),FW,13(9),1286,6,2,1.3,0.7,1.1,6.67,0
231,Michael Olise ,20, AM(CLR),,12(14),1138,2,5,0.7,0.9,1.1,6.66,0
232,Odsonne ?douard ,24, AM(L),FW,18(10),1567,6,3,1.4,0.8,1.1,6.66,0
233,Jadon Sancho ,22, AM(CLR),,20(9),1904,3,3,0.9,1.4,1.6,6.66,0
235,Jack Harrison ,25, AM(CLR),FW,32(3),2652,8,1,1.2,1.2,1.5,6.66,0
236,Christian Benteke ,31, FW,,11(14),1136,4,1,1.6,0.5,0.4,6.66,0
238,Chris Wood ,30, FW,,17,1378,3,0,1.8,0.5,0.2,6.66,0
244,Danny Ings ,30, AM(C),FW,22(8),1906,7,6,1.6,0.5,0.3,6.65,0
247,Ra?l Jim?nez ,31, FW,,30(4),2640,6,4,1.7,1.1,1.1,6.64,0
248,Jean-Philippe Mateta ,25, FW,,13(9),1152,5,1,1.7,0.3,0.5,6.64,0
255,Ademola Lookman ,24, AM(CLR),FW,16(10),1459,6,0,1,0.9,1.5,6.63,0
257,Wout Weghorst ,30, FW,,17(3),1457,2,3,1.5,0.7,0.7,6.62,0
258,Mohamed Elyounoussi ,28, AM(CLR),FW,23(7),2046,4,2,1.4,0.9,0.9,6.62,0
265,Eddie Nketiah ,23, FW,,8(13),825,5,1,1.4,0.6,0.7,6.6,0
270,Nathan Redmond ,28, AM(CLR),FW,20(7),1834,1,5,1,1.3,0.8,6.6,0
271,Armando Broja ,20, FW,,21(11),1981,6,0,1.4,0.3,1,6.59,0
276,Isma?la Sarr ,24, AM(CLR),FW,21(1),1865,5,2,1.8,1,1.5,6.58,0
280,Trinc?o ,22, AM(CR),,16(12),1340,2,1,1.1,0.5,1.6,6.58,0
281,Callum Wilson ,30, FW,,16(2),1395,8,0,1.9,0.6,0.6,6.57,0
285,Rodrigo ,31, M(CLR),FW,27(4),2275,6,1,1.5,1.2,0.7,6.57,0
294,Anthony Elanga ,20, AM(LR),,14(7),1217,2,2,1,0.4,0.5,6.56,0
1,Karim Benzema ,34, FW,,31(1),2600,27,12,4,1.9,1.1,7.69,0
2,Vin?cius J?nior ,22, AM(L),FW,30(5),2701,17,10,2.3,1.9,2.7,7.56,0
3,Ousmane Demb?l? ,25, AM(CLR),FW,15(6),1413,1,13,2.2,2.1,2.8,7.46,0
5,Gerard Moreno ,30, AM(CR),FW,14(3),1194,9,3,2.2,1.8,2.3,7.44,0
6,Nabil Fekir ,29, AM(CLR),FW,33(1),2812,6,8,2.5,2.5,2.4,7.38,0
9,Joselu ,32, FW,,35(2),3126,14,4,2.6,0.9,0.5,7.25,0
10,Vedat Muriqi ,28, FW,,16,1439,5,3,3.2,0.9,0.6,7.22,0
11,Iker Muniain ,29, AM(CLR),,34(1),2803,4,10,1.2,3.1,1.9,7.19,0
12,Iago Aspas ,35, AM(CR),FW,36(1),3094,18,6,2.4,1.5,1.4,7.19,0
17,Pedri ,19, AM(C),,10(2),891,3,1,1,1.3,1.3,7.12,0
18,Memphis Depay ,28, AM(CL),FW,20(8),1850,12,2,2.2,1.6,1.6,7.1,0
19,Yannick Carrasco ,28, M(CLR),FW,28(6),2594,6,6,1.5,1.6,2.6,7.08,0
22,Ra?l de Tom?s ,27, FW,,33(1),2928,17,3,3.1,0.7,1.5,7.02,0
28,Gon?alo Guedes ,25, AM(CLR),FW,30(6),2614,11,6,1.9,1.2,1.8,6.99,0
32,Pierre-Emerick Aubameyang ,33, M(CLR),FW,13(4),1092,11,1,2.2,0.5,0.2,6.98,0
43,Enes ?nal ,25, FW,,33(4),2812,16,1,2.3,0.8,0.7,6.94,0
49,Juanmi ,29, AM(CLR),FW,26(7),2149,16,4,1.7,0.6,0.9,6.93,0
58,Arnaut Danjuma ,25, AM(L),FW,17(6),1478,10,3,2.7,0.7,1.4,6.91,0
60,Jo?o F?lix ,22, AM(CL),FW,13(11),1267,8,4,1.6,0.8,1.3,6.91,0
61,Lucas Boy? ,26, AM(L),FW,22(2),1724,7,3,2,0.9,2.4,6.91,0
62,Mikel Oyarzabal ,25, AM(CLR),FW,19(3),1674,9,3,1.9,1.8,1,6.9,0
63,David Silva ,36, M(CLR),FW,22(3),1734,2,4,0.8,1.6,1.2,6.9,0
64,Giovani Lo Celso ,26, M(CR),FW,11(5),998,1,1,1.1,1.1,1.6,6.89,0
65,Marco Asensio ,26, AM(CLR),,19(12),1729,10,0,2.1,1,0.9,6.89,0
67,Ferran Torres ,22, AM(LR),FW,17(1),1418,4,4,2.9,0.7,0.7,6.88,0
73,Erik Lamela ,30, AM(CLR),,10(10),1016,5,2,1.1,1.1,0.9,6.86,0
81,Brais M?ndez ,25, AM(CR),FW,36(1),3036,4,5,1.5,0.9,0.9,6.83,0
87,Santi Mina ,26, AM(LR),FW,30(3),2380,7,3,1.8,0.6,0.4,6.82,0
91,?lvaro Garc?a ,29, AM(L),,34(2),3006,7,4,1.9,1.2,0.6,6.81,0
92,Thomas Lemar ,26, AM(CLR),,17(7),1450,4,5,1.2,1.3,1.4,6.8,0
93,Rodrigo de Paul ,28, AM(CLR),FW,24(12),2155,3,1,0.7,1.4,0.7,6.8,0
96,Antoine Griezmann ,31, AM(CLR),FW,21(5),1709,3,4,1.7,1,0.7,6.8,0
102,Oussama Idrissi ,26, AM(LR),,11(1),910,1,1,1.8,1.8,1.9,6.79,0
104,Gavi ,18, AM(CL),,28(6),2331,2,5,0.9,0.6,1.6,6.79,0
106,Samuel Chukwueze ,23, AM(CR),,12(15),1330,3,3,1.2,1.1,2.5,6.78,0
115,Lucas Ocampos ,28, M(CLR),FW,23(7),2128,6,4,1.7,0.6,1.2,6.76,0
121,Ante Budimir ,31, FW,,20(8),1741,8,2,1.6,0.4,0.4,6.76,0
131,?lvaro Negredo ,37, FW,,24(10),2157,7,2,2,0.6,0.6,6.74,0
132,Darwin Mach?s ,29, AM(LR),,16(9),1381,4,2,1.5,0.7,1.4,6.73,0
134,Dani Rodr?guez ,34, AM(CLR),,33(3),2841,3,3,1.2,1.2,1.7,6.73,0
136,Papu G?mez ,34, M(CL),FW,19(10),1792,5,1,1.2,0.8,1,6.73,0
137,Alexander Isak ,22, FW,,26(6),2157,6,2,2.3,0.6,1.4,6.73,0
142,Manu Trigueros ,30, M(CLR),FW,27(8),2191,6,4,1.2,0.7,0.2,6.72,0
143,I?aki Williams ,28, AM(CLR),FW,32(6),2787,8,5,2.5,0.9,0.7,6.71,0
146,Jorge Molina ,40, FW,,19(16),1958,10,5,1.3,0.9,0.2,6.71,0
148,Franco Cervi ,28, AM(CL),,22(12),1811,4,3,0.6,0.4,0.6,6.71,0
152,Rub?n Garc?a ,29, AM(CLR),FW,30(7),2399,1,6,0.9,1.6,0.6,6.7,0
156,Jorge de Frutos ,25, AM(R),,20(5),1766,4,7,1.8,0.9,1.4,6.7,0
157,Adri?n Embarba ,30, AM(CLR),FW,24(8),1998,0,2,1.5,1.2,1.3,6.69,0
167,Luis Su?rez ,24, AM(L),FW,34(3),2857,8,4,2.3,0.8,1.2,6.68,0
170,Lucas P?rez ,33, AM(CR),FW,11(4),1061,3,2,1,2,0.3,6.68,0
171,Oihan Sancet ,22, AM(C),FW,16(11),1426,6,4,1.1,1,0.9,6.68,0
173,Borja Mayoral ,25, FW,,11(7),1049,6,1,0.9,0.7,0.8,6.68,0
176,?ngel Correa ,27, AM(CLR),FW,21(15),1860,12,5,1.4,0.7,0.9,6.67,0
179,Isi Palaz?n ,27, AM(R),,27(7),2301,2,4,1.7,1,1.1,6.67,0
183,Rodrygo ,21, AM(CLR),,17(16),1528,4,4,1,0.8,0.8,6.66,0
196,Yeremi Pino ,19, AM(R),,21(10),1688,6,4,0.9,0.8,0.8,6.63,0
203,Iv?n Alejo ,27, AM(R),,11(9),1071,2,2,0.6,1,0.8,6.62,0
205,Boulaye Dia ,25, AM(R),FW,13(12),1267,5,5,1.5,0.7,0.4,6.62,0
223,Isco ,30, M(CLR),FW,3(11),323,1,0,0.6,0.7,1.2,6.6,0
225,Maximiliano G?mez ,26, FW,,21(8),1961,5,1,1.5,0.6,0.2,6.6,0
227,Anthony Lozano ,29, AM(L),FW,21(10),1680,7,2,1.6,0.3,1.2,6.59,0
229,Eden Hazard ,31, M(CLR),FW,7(11),714,0,1,0.7,1.5,1.4,6.59,0
231,Willian Jos? ,30, FW,,19(13),1612,8,4,1.1,0.7,0.2,6.59,0
236,?lex Collado ,23, AM(CR),,13(4),1027,2,1,1,1,0.8,6.58,0
239,Youssef En-Nesyri ,25, FW,,15(8),1282,5,1,1.6,0.3,0.2,6.58,0
240,Adnan Januzaj ,27, AM(CLR),,17(16),1626,3,0,1.3,1,1.4,6.57,0
243,Alexander S��rloth ,26, AM(R),FW,20(13),1760,4,0,1.1,0.7,1.2,6.56,0
246,Luis Rioja ,28, AM(L),,36(1),3128,1,3,1.2,0.9,1.9,6.56,0
251,Ra?l Garc?a ,36, M(CLR),FW,24(11),1816,6,2,1.3,0.5,0.3,6.56,0
254,Borja Iglesias ,29, FW,,18(15),1574,10,0,1.2,0.5,0.4,6.55,0
255,Rafa Mir ,25, FW,,18(16),1804,10,0,1.8,0.2,0.4,6.54,0
256,Luis Su?rez ,35, AM(CLR),FW,20(15),1837,11,2,1.5,0.4,0.2,6.54,0
258,Luuk de Jong ,32, AM(C),FW,6(15),643,6,0,1.1,0.2,0.1,6.54,0
259,Takefusa Kubo ,21, AM(CLR),FW,17(11),1610,1,0,1.7,1.1,1.4,6.54,0
263,?lex Fern?ndez ,29, AM(CL),,22(10),2051,3,2,0.7,0.7,0.3,6.54,0
264,Javier Puado ,24, AM(LR),FW,26(4),2258,4,1,1.3,0.7,1,6.54,0
270,Roger Mart? ,31, FW,,25(4),2124,7,3,1.7,0.8,0.5,6.53,0
272,Matheus Cunha ,23, AM(CL),FW,8(21),1053,6,4,1.3,0.3,0.2,6.53,0
276,Kike P?rez ,25, AM(C),,5(7),518,2,0,0.8,0.5,0.8,6.53,0
283,Pere Milla ,29, AM(CL),FW,18(15),1640,8,3,0.9,0.4,0.5,6.51,0
286,?scar Rodr?guez ,24, AM(CLR),,9(9),946,0,1,1.4,0.6,0.6,6.51,0
290,Gonzalo Melero ,28, AM(C),FW,20(9),1697,7,2,0.8,0.6,0.4,6.5,0
294,Rub?n Sobrino ,30, AM(LR),FW,19(14),1856,4,1,1,0.4,1,6.5,0
302,Hugo Duro ,22, AM(L),FW,22(8),1847,7,1,1,0.5,0.4,6.49,0
306,Sergi Guardiola ,31, FW,,20(12),1716,8,2,1.6,0.5,0.4,6.49,0
315,Kike Garc?a ,32, FW,,18(15),1860,5,1,1.6,0.6,0.4,6.47,0
317,Rodri ,22, AM(R),,10(11),882,1,2,0.7,0.8,0.8,6.47,0
321,Tete Morente ,25, AM(CLR),,18(14),1636,3,3,0.9,0.5,0.9,6.47,0
327,Chimy Avila ,28, AM(LR),FW,22(14),1875,6,1,1.8,0.5,0.5,6.46,0
0,Kylian Mbapp? ,23, AM(LR),FW,34(1),3032,28,17,4.2,2,3.2,8.04,0
2,Lionel Messi ,35, AM(CR),FW,24(2),2153,6,14,3.4,2.4,2.5,7.77,0
3,Neymar ,30, AM(CLR),FW,22,1861,13,6,2.5,2.8,2.6,7.65,0
7,Dimitri Payet ,35, M(CLR),FW,28(3),2597,12,10,2.2,3.2,0.9,7.44,0
8,Martin Terrier ,25, AM(CL),FW,37,2805,21,3,2.4,1.1,0.8,7.41,0
12,Sofiane Boufal ,28, AM(CLR),FW,28(1),2345,8,4,2.2,1.9,3.1,7.27,0
14,Lucas Paquet? ,25, AM(CR),FW,32(3),2713,9,6,2.5,1.2,2.3,7.24,0
18,Moussa Dembele ,26, FW,,25(5),2209,21,4,2.9,0.9,0.8,7.21,0
19,Romain Faivre ,24, AM(CLR),,20(1),1801,7,5,1.8,1.8,2,7.2,0
20,?ngel Di Mar?a ,34, M(CLR),FW,19(7),1654,5,7,2,2.1,1.2,7.17,0
21,Karl Toko-Ekambi ,29, AM(LR),FW,26(4),2305,12,5,2.5,1.3,1.5,7.15,0
22,Ga?tan Laborde ,28, AM(CLR),FW,32(2),2741,12,8,2.5,1.1,0.3,7.14,0
25,Andy Delort ,30, AM(R),FW,26(6),2449,16,2,3.1,1,0.6,7.09,0
28,Lovro Majer ,24, AM(CR),,21(8),1841,6,8,1.6,1.6,1,7.06,0
29,Ludovic Ajorque Strasbourg,28, FW,,31(5),2743,12,8,1.6,1.3,0.4,7.05,0
30,Wissam Ben Yedder ,32, AM(C),FW,29(8),2541,25,5,1.9,0.9,0.7,7.04,0
33,Romain Faivre ,24, AM(CLR),,9(5),889,3,0,1.4,1.9,1.6,7.03,0
35,Amine Gouiri ,22, AM(L),FW,32(6),2765,10,9,2,1.3,1.6,7.01,0
36,Moses Simon ,27, M(CLR),FW,29(1),2352,6,8,1.4,2.2,1.4,7.01,0
37,Randal Kolo Muani ,23, AM(R),FW,34(2),2958,12,4,1.5,1.1,1.7,7.01,0
39,Kamaldeen Sulemana ,20, AM(L),,11(9),1018,4,2,1.3,1.1,2.7,7,0
43,Florian Sotoca ,31, AM(C),FW,28(7),2487,6,4,2,0.9,0.9,6.99,0
50,Ludovic Blas ,24, M(CLR),FW,35,2978,10,5,2.6,1.2,1.7,6.94,0
60,Sofiane Diop ,22, AM(CLR),,24(6),1959,6,4,1.2,1.3,1.5,6.9,0
62,Steve Mouni? ,27, FW,,25(10),2313,9,2,2.1,0.5,0.2,6.89,0
67,D?nis Bouanga ,27, M(CLR),FW,28(6),2449,9,6,2.5,1,1.6,6.88,0
76,Youcef Bela?li ,30, AM(L),,11(2),832,3,2,1.3,1.4,1.8,6.86,0
85,Hugo Ekitike ,20, FW,,15(9),1275,10,3,1.3,0.7,1,6.83,0
