,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
82,Gervinho Ivory Coast,35, M(LR),FW,3,263,1,1.3,26.0,83.3,-,0.3,-,7.3
83,Fabian Schär Switzerland,30, D(C),,2,210,-,-,21.0,73.8,-,2,-,7.3
84,Emir Spahic Bosnia and Herzegovina,42, D(C),,3,270,-,0.3,53.0,84.3,-,4.3,-,7.3
85,Gökhan Inler Switzerland,38, DMC,,4,390,1,2.3,58.3,82.0,0.3,4.5,0.3,7.29
86,Vasili Berezutski Russia,40, D(C),,3,270,-,-,60.7,89.6,-,7.3,-,7.29
87,Robin van Persie Netherlands,39, AM(C),FW,6,549,-,0.3,19.0,68.4,-,1.3,0.2,7.29
88,Abdelmoumene Djabou Algeria,35, Midfielder,,2(1),170,1,0.7,13.0,82.1,1,-,-,7.28
89,David Ospina Colombia,34, GK,,5,445,-,-,22.8,55.3,-,7,-,7.28
90,Kwadwo Asamoah Ghana,33, D(L),M(CL),3,270,1,2,46.0,86.2,2,3,-,7.28
91,Tim Cahill Australia,42, M(C),FW,2,158,-,0.5,18.5,86.5,-,1,-,7.28
92,Federico Fernández Argentina,33, D(C),,4,390,-,-,51.8,89.4,-,4.3,-,7.27
93,André Ayew Ghana,32, M(CLR),FW,3,261,-,0.7,25.3,84.2,-,1,-,7.27
94,Toni Sunjic Bosnia and Herzegovina,33, D(C),,2,180,-,-,52.5,90.5,-,1.5,-,7.27
95,Luiz Gustavo Brazil,35, D(C),M(C),6,528,1,1,46.7,91.1,0.2,5.2,-,7.27
96,Lucas Digne France,29, D(CL),M(L),1,90,-,1,57.0,91.2,1,-,-,7.26
97,Ki Sung-Yeung South Korea,33, DMC,,3,270,1,1.7,61.7,93.5,1.7,9.7,0.3,7.25
98,Hugo Campagnaro Argentina,42, D(CR),,1,46,-,-,39.0,100.0,-,5,-,7.25
99,Patrice Evra France,41, D(CL),M(L),4,360,1,1.5,35.8,79.7,1.5,0.8,-,7.25
