,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
232,Leon Andreasen Hannover,39, M(CR),,28(3),2445,3,0.8,31.9,78.6,0.1,3.0,0.1,6.84
233,Julian Schuster Freiburg,37, D(C),M(C),22(5),1948,1,0.3,45.1,84.2,0.1,3.8,-,6.84
234,Sebastian Jung Eintracht Frankfurt,32, D(R),,30,2692,7,1.4,43.6,79.2,1.1,2.4,-,6.84
235,Zlatko Junuzovic Werder Bremen,35, M(CLR),,26,2286,2,0.9,29.8,70.3,0.7,1.2,-,6.84
236,Alexander Esswein Augsburg,32, AM(CLR),FW,5(8),623,1,0.9,11.5,67.3,0.6,0.5,-,6.83
237,Arthur Boka Stuttgart,39, D(L),M(C),22(3),1786,-,0.6,30.3,76.8,0.1,2.2,-,6.83
238,Moritz Leitner Stuttgart,29, M(CR),,17(4),1488,2,0.4,39.1,77.2,0.1,3.2,-,6.83
239,Gelson Fernandes Freiburg,36, DMC,,26(4),2227,2,0.4,29.2,83.7,-,1.1,-,6.83
240,Ermin Bicakcic Eintracht Braunschweig,32, D(C),,31,2729,-,0.2,34.0,75.2,0.1,3.0,-,6.82
241,Stefan Reinartz Leverkusen,33, M(C),,13(1),1105,1,0.6,44.9,85.2,-,3.6,0.4,6.82
242,Marwin Hitz Augsburg,35, GK,,19,1710,-,0.2,32.8,63.6,-,9.3,-,6.82
243,Maximilian Arnold Wolfsburg,28, M(CR),,27(1),2252,2,1.3,21.9,81.0,0.1,1.0,0.1,6.81
244,Ludovic Obraniak Werder Bremen,37, M(CLR),,8(2),634,1,1.2,28.9,68.5,0.9,1.8,-,6.81
245,Christoph Moritz Mainz,32, M(CR),,21(4),1671,2,0.8,36.0,82.0,0.2,3.2,0.1,6.81
246,Kevin Kratz Eintracht Braunschweig,35, M(C),,12(2),1017,-,1.2,33.8,78.4,1.4,1.1,-,6.81
247,Edgar Prib Hannover,32, D(L),M(CL),17(14),1805,4,1.1,20.9,73.6,0.6,1.3,0.1,6.8
248,Carlos Gruezo Stuttgart,27, DMC,,7(1),628,-,0.3,28.9,81.8,-,2.8,-,6.8
249,Marco Caligiuri Eintracht Braunschweig,38, D(CR),M(CL),10(2),837,1,0.4,28.2,75.1,0.4,1.5,0.1,6.8
250,Kevin Trapp Eintracht Frankfurt,32, GK,,34,3047,-,-,33.0,65.5,-,10.9,-,6.8
251,Raúl Bobadilla Augsburg,35, AM(R),FW,9(8),841,-,1.2,12.4,69.5,0.4,0.6,-,6.8
252,Fabian Johnson Hoffenheim,34, D(LR),M(CLR),23(4),2077,3,0.8,29.9,73.0,0.3,0.7,-,6.8
253,Jacques Zoua Hamburg,31, AM(LR),FW,18(9),1678,2,0.5,19.4,69.6,0.1,0.1,-,6.8
254,Håvard Nordtveit Borussia M.Gladbach,32, D(CR),DMC,14(7),1273,2,0.3,36.0,84.1,-,2.7,-,6.8
255,Tomás Rincón Hamburg,34, M(CR),,17(5),1488,-,0.4,26.3,71.3,0.1,1.5,-,6.79
256,Ronny Hertha Berlin,36, AM(C),,10(17),1192,4,1.1,19.9,75.5,0.7,1.8,0.1,6.78
257,Hajime Hosogai Hertha Berlin,36, D(LR),M(C),33,2881,1,0.3,41.5,80.9,0.1,4.3,-,6.78
258,John Brooks Hertha Berlin,29, D(C),,14(2),1059,-,-,27.3,81.0,-,2.9,-,6.78
259,Lasse Sobiech Hamburg,31, D(C),,7(3),697,-,0.1,40.6,78.8,-,3.3,-,6.77
260,Eljero Elia Werder Bremen,35, AM(LR),FW,23(10),2035,3,0.6,17.8,72.4,0.1,0.4,0.2,6.77
261,Mehmet Ekici Werder Bremen,32, M(CLR),,7(4),585,-,0.5,19.0,78.5,0.3,1.2,-,6.77
262,Jan Morávek Augsburg,33, M(C),,10(6),982,1,0.9,27.9,82.6,0.1,1.9,0.1,6.76
263,Christian Günter Freiburg,29, D(L),M(L),25(4),2331,1,0.8,28.8,69.5,0.6,1.0,0.1,6.76
264,Václav Kadlec Eintracht Frankfurt,30, AM(R),FW,14(7),1355,3,0.5,12.3,76.7,0.2,0.3,-,6.76
265,Yunus Malli Mainz,30, M(CLR),FW,11(10),1046,3,0.8,16.6,79.6,0.2,0.5,0.2,6.76
266,Norman Theuerkauf Eintracht Braunschweig,35, D(CL),DMC,26(3),2295,2,0.8,34.0,74.5,0.5,2.9,-,6.76
267,Jan Kirchhoff Schalke,32, D(C),DMC,0(2),37,-,0.5,15.5,100.0,-,1.5,0.5,6.76
268,Cedrick Makiadi Werder Bremen,38, M(C),,26(4),2311,2,0.4,28.9,76.6,0.1,1.6,-,6.75
269,Manuel Schmiedebach Hannover,33, M(C),,19(5),1738,1,0.9,35.0,76.9,0.4,2.0,-,6.75
