,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
50,Sylvain Distin Everton,44, D(C),,33,2926,-,-,0.4,0.1,0.5,0.4,0.1,0.2,0.2,7.25
51,Adam Lallana Southampton,34, M(CLR),,37(1),3102,9,5,1.8,1.9,1.8,2.0,0.4,2.4,2.4,7.24
52,Andy Carroll West Ham,33, FW,,12(3),1093,2,4,3.4,1,0.3,1.5,0.4,1.5,2.5,7.23
53,Ashley Williams Swansea,38, D(C),,34,3040,1,1,0.4,0.1,-,0.2,0.1,0.1,0.4,7.23
54,Christian Eriksen Tottenham,30, M(CLR),FW,23(2),1984,7,8,1.9,2.7,1,0.6,-,1.6,1.4,7.22
55,Marouane Fellaini Man Utd,34, M(C),,12(4),1106,-,1,1.6,0.3,0.6,1.1,0.2,1.4,0.8,7.21
56,Morgan Schneiderlin Southampton,33, DMC,,31(2),2767,2,1,0.9,0.9,0.6,0.9,0.1,0.9,0.9,7.21
57,José Fonte Southampton,38, D(C),,35(1),3181,3,-,0.6,0.1,0.1,0.4,-,0.1,0.2,7.21
58,Peter Crouch Stoke,41, FW,,30(4),2643,7,6,1.8,1,0.3,1.4,0.4,2.2,2.6,7.21
59,Mark Hudson Cardiff,40, D(C),,2,147,-,-,1.5,-,-,1.0,-,-,-,7.21
60,Jordan Henderson Liverpool,32, D(C),M(CLR),35,3129,4,7,1.4,1.8,0.5,0.5,0.1,0.7,0.8,7.2
61,Bacary Sagna Arsenal,39, D(CR),,34(1),3061,1,2,0.5,0.6,0.2,0.8,-,0.7,0.4,7.2
62,Vincent Kompany Man City,36, D(C),,28,2365,4,1,0.6,0.2,0.6,0.4,-,0.3,0.3,7.18
63,Nemanja Vidic Man Utd,41, D(C),,23(2),2084,-,-,0.6,0.2,0.1,0.5,-,-,0.2,7.17
64,James Tomkins West Ham,33, D(CR),,31,2601,-,-,0.4,0.1,0.1,0.8,-,0.1,0.2,7.17
65,Chris Smalling Man Utd,32, D(CR),,21(4),1938,1,-,0.5,0.4,0.6,0.6,0.2,0.2,0.4,7.16
66,Tom Huddlestone Hull,35, DMC,,35(1),3145,2,3,1.7,1.7,0.3,0.7,0.1,1.1,1.1,7.16
67,Emmanuel Adebayor Tottenham,38, FW,,20(1),1809,11,4,2.1,1.6,1.0,0.6,1.3,3.7,3.3,7.16
68,Michael Dawson Tottenham,38, D(C),,31(1),2838,-,-,0.5,0.2,0.1,0.4,-,0.2,0.3,7.16
69,Luke Shaw Southampton,27, D(CL),M(L),35,2995,-,1,0.7,1.0,1.6,1.3,-,1.3,0.9,7.16
70,Per Mertesacker Arsenal,38, D(C),,35,3150,2,-,0.5,0.1,0.1,0.7,-,0.1,0.2,7.15
71,James Collins West Ham,39, D(C),,22(2),1899,1,-,0.6,0.1,0.1,0.3,0.1,-,0.2,7.15
72,Damien Delaney Crystal Palace,41, D(C),,37,3286,1,1,0.4,0.1,-,0.4,-,0.1,0.3,7.15
73,Loïc Rémy Newcastle,35, M(LR),FW,24(2),2103,14,3,3.5,1.2,1.1,1.0,1.2,1.4,2.1,7.15
74,Jesús Navas Man City,36, D(R),M(R),18(12),1775,4,7,1.1,1.9,0.8,0.5,0.1,0.8,0.8,7.15
75,Edin Dzeko Man City,36, FW,,23(8),1993,16,1,3.3,0.6,0.4,0.8,0.3,1.2,1.2,7.15
76,James McCarthy Everton,31, M(C),,31(3),2856,1,3,0.6,1.2,0.7,0.8,-,1,0.7,7.14
77,Angel Rangel Swansea,39, D(R),,29(1),2632,-,1,0.3,0.9,0.5,0.8,-,0.4,0.8,7.14
78,Glen Johnson Liverpool,38, D(CLR),M(R),29,2521,-,2,0.7,1.0,1.6,1.3,-,1.2,1.1,7.14
79,Mousa Dembélé Tottenham,35, M(CR),,22(6),1823,1,1,0.5,1.1,2.4,1.0,-,1.7,0.6,7.14
80,Mikel Arteta Arsenal,40, M(C),,27(4),2407,2,-,0.4,0.6,0.5,1.2,-,0.4,0.4,7.14
81,John Terry Chelsea,41, D(C),,34,3060,2,1,0.8,0.1,0.1,0.6,0.1,0.1,0.1,7.13
82,Mark Noble West Ham,35, M(C),,38,3344,3,4,0.6,1.5,0.9,1.1,-,0.9,0.8,7.13
83,Robert Snodgrass Norwich,35, M(CLR),,29(1),2573,6,2,2.4,2.2,1.0,2.6,0.1,2.6,1.7,7.13
84,Aleksandar Kolarov Man City,36, D(CL),M(L),21(9),1971,1,7,1.8,1.2,0.7,1.2,0.1,0.5,0.7,7.12
85,Fabian Delph Aston Villa,32, D(L),M(CL),33(1),3003,3,2,1.1,0.8,1.7,1.8,-,1.2,1.1,7.12
86,Theo Walcott Arsenal,33, M(CLR),FW,9(4),859,5,4,2.5,1.8,0.7,0.5,0.5,0.9,0.9,7.11
87,Kevin Mirallas Everton,35, M(CLR),FW,28(4),2335,9,7,2.5,1.9,1.4,1.0,0.6,1.7,1.3,7.11
88,Scott Dann Crystal Palace,35, D(C),,14,1260,1,-,0.3,-,0.1,0.3,-,-,0.1,7.11
89,Peter Odemwingie Stoke,41, AM(LR),FW,15,1295,6,1,1.9,0.5,1.7,1.3,0.4,2.9,2.1,7.11
90,Wilfried Bony Swansea,33, FW,,27(7),2473,16,4,3.2,0.7,0.7,1.4,0.7,1.9,2.1,7.1
91,Vlad Chiriches Tottenham,32, D(CR),,16(1),1414,1,-,0.2,0.3,0.8,0.9,-,0.6,0.6,7.1
92,Gareth McAuley West Brom,42, D(C),,32,2860,2,-,0.6,0.2,0.3,0.9,0.1,0.5,0.3,7.1
93,Danny Gabbidon Crystal Palace,43, D(C),,22(1),1974,1,-,0.1,-,0.1,0.2,-,0.1,0.5,7.09
94,Moussa Sissoko Newcastle,33, M(CR),,35,3036,3,6,1.3,2.2,2.1,0.9,0.2,2.1,1.3,7.09
95,Jay Rodríguez Southampton,33, AM(CLR),FW,30(3),2570,15,3,3.1,0.6,1.2,1,0.8,1.9,2.5,7.09
96,Micah Richards Man City,34, D(CR),,2,161,-,-,1.0,-,1.0,-,-,0.5,-,7.08
97,Joe Ledley Crystal Palace,35, M(CL),,14,1249,2,1,0.8,0.7,0.6,1.2,0.1,0.5,1.1,7.08
98,Geoff Cameron Stoke,37, D(CLR),DMC,37,3286,2,1,0.4,0.6,1.2,0.6,0.1,1.0,0.9,7.08
99,Samuel Eto'o Chelsea,41, M(CL),FW,16(5),1306,9,2,2.8,1,0.9,0.7,0.7,1.7,1,7.08
100,Lucas Leiva Liverpool,35, D(C),M(C),20(7),1872,-,-,0.3,0.5,0.2,0.5,-,0.4,0.5,7.07
101,Frank Lampard Chelsea,44, M(C),,20(6),1705,6,3,2.2,1.3,0.3,0.3,0.1,0.3,0.5,7.07
102,Jon Flanagan Liverpool,29, D(LR),,23,1899,1,1,0.3,0.6,0.7,0.9,-,1.0,0.8,7.07
103,Ramires Chelsea,35, M(CR),,29(1),2610,1,2,1.7,1.1,1.1,1.9,0.2,0.9,1.4,7.07
104,Michael Carrick Man Utd,41, D(C),M(C),26(3),2413,1,-,0.6,1.0,0.2,0.8,-,0.5,0.4,7.06
105,Steven Caulker Cardiff,30, D(C),,38,3420,5,-,0.9,0.2,0.1,0.2,0.1,0.1,0.2,7.06
106,Danny Rose Tottenham,32, D(L),M(L),22,1902,1,1,0.7,0.7,1.0,2.0,-,1.2,0.6,7.06
107,Kieran Gibbs Arsenal,33, D(L),M(L),24(4),2055,-,1,0.3,0.5,0.7,0.4,-,0.3,0.3,7.06
108,Kyle Walker Tottenham,32, D(CR),M(R),26,2298,1,2,0.7,1.2,0.8,1.2,-,1.3,0.6,7.06
109,Robin van Persie Man Utd,39, AM(C),FW,18(3),1584,12,3,3.0,0.8,0.7,0.5,1,1.3,1.2,7.06
110,Rafael Man Utd,32, D(LR),M(R),18(1),1421,-,1,0.4,0.9,1,1.3,0.1,0.6,0.6,7.05
111,Robert Huth Stoke,38, D(C),,12,1067,-,1,0.9,0.3,0.3,0.6,0.1,0.7,0.5,7.05
112,Antolín Alcáraz Everton,40, D(C),,5(1),495,-,-,0.3,-,1,0.5,-,0.2,0.2,7.05
113,Mamadou Sakho Liverpool,32, D(C),,17(1),1481,1,-,0.6,0.1,0.3,0.4,-,0.6,0.6,7.05
114,Wojciech Szczesny Arsenal,32, GK,,37,3330,-,-,-,-,0.1,0.1,-,-,-,7.04
115,Oscar Chelsea,31, M(CLR),,24(9),2144,8,2,2.2,1.5,0.8,0.8,0.1,1.2,1.3,7.04
116,Mike Williamson Newcastle,39, D(C),,32(1),2912,-,-,0.3,0.4,0.1,0.4,-,0.2,0.1,7.04
117,Steve Sidwell Fulham,39, M(C),,36(2),3234,7,2,1.3,0.6,0.7,1.1,0.3,1.3,0.7,7.03
118,Vito Mannone Sunderland,34, GK,,28(1),2567,-,-,-,0.1,-,-,-,-,-,7.03
119,Abdoulaye Diagne-Faye Hull,44, D(CL),DMC,3,270,-,-,1,0.3,-,-,-,-,-,7.03
120,Youssouf Mulumbu West Brom,35, M(C),,33(4),3081,2,2,1,0.5,1.3,1.1,-,2.2,1.1,7.02
121,Marko Arnautovic Stoke,33, AM(CLR),FW,27(3),2257,4,7,2.4,1.6,1.3,0.9,0.3,1.5,1.5,7.02
122,Jason Puncheon Crystal Palace,36, M(CLR),,29(5),2516,7,2,2.3,1.4,1.6,0.5,-,1.6,1.7,7.02
123,Asmir Begovic Stoke,35, GK,,32,2880,1,-,-,-,-,0.2,-,-,-,7.01
124,Matthew Connolly Cardiff,35, D(CLR),,3,270,-,-,0.7,0.3,0.7,0.3,-,-,-,7.01
125,Chris Brunt West Brom,37, D(L),M(CLR),25(3),2243,3,5,1.8,1.5,0.4,0.4,0.2,0.7,0.5,7.01
126,Jack Wilshere Arsenal,30, M(CLR),,19(5),1720,3,4,0.9,1.4,1.9,1.8,0.2,1.3,1.7,7.01
127,Cheick Tioté Newcastle,36, M(C),,31(2),2764,-,1,1.3,0.7,1.2,1.7,-,1.2,1.2,7.01
128,Adrian Mariappa Crystal Palace,36, D(CR),,23(1),2113,1,1,0.2,0.3,0.3,0.7,-,0.2,0.6,7.0
129,Davide Santon Newcastle,31, D(LR),,26(1),2224,-,-,1.1,0.9,1,0.6,-,1,0.6,7.0
130,Ahmed El Mohamady Hull,35, D(R),M(R),38,3330,2,2,0.5,1.1,1.1,0.8,0.1,0.7,0.8,7.0
131,Ross Barkley Everton,28, M(CLR),,25(9),2291,6,-,2.3,0.8,2.4,1.9,0.1,1.7,1.1,7.0
132,Lewis Holtby Fulham,32, M(CLR),,11(2),924,1,3,1.5,1.6,1.2,1.2,0.1,1.5,1.5,7.0
133,Winston Reid West Ham,34, D(C),,18(4),1674,1,-,0.5,0.1,-,0.9,-,0.2,0.1,7.0
134,Mark Schwarzer Chelsea,50, GK,,4,360,-,-,-,-,-,-,-,-,-,7.0
135,Aly Cissokho Liverpool,35, D(L),M(L),12(3),1090,-,1,0.3,0.5,0.7,0.6,0.1,0.3,0.8,6.99
136,Brad Friedel Tottenham,51, GK,,1,90,-,-,-,-,-,-,-,-,-,6.99
137,Rickie Lambert Southampton,40, FW,,31(6),2820,13,10,2.8,1.5,0.2,0.5,0.8,1.6,1.4,6.99
138,Maya Yoshida Southampton,34, D(CR),,7(1),632,1,-,0.4,0.1,-,0.5,-,-,0.1,6.99
139,David Luiz Chelsea,35, D(C),DMC,15(4),1359,-,1,1.6,0.2,0.6,1.2,-,0.3,0.5,6.98
140,Lukas Podolski Arsenal,37, AM(CLR),FW,14(6),1173,8,2,2.1,0.4,0.3,0.6,0.3,0.9,0.9,6.98
141,Daniel Agger Liverpool,37, D(C),,16(4),1420,2,1,0.4,0.1,0.1,0.6,-,0.1,0.3,6.97
142,Jonas Olsson West Brom,39, D(C),,32,2819,1,-,0.4,0.2,0.1,0.6,-,0.1,0.3,6.97
143,Adnan Januzaj Man Utd,27, AM(CLR),,15(12),1641,4,3,1.7,1.1,1.9,2.2,0.1,2.1,2,6.96
144,Fábio Man Utd,32, D(LR),M(R),1,90,-,-,1.0,1.0,-,-,-,2,-,6.96
145,Erik Pieters Stoke,34, D(CL),M(L),34(2),2903,1,2,0.3,0.4,0.4,1,0.1,0.6,0.7,6.95
146,Ben Turner Cardiff,34, D(C),,30(1),2721,-,1,0.3,0.2,0.1,0.2,0.2,-,0.1,6.95
147,Billy Jones West Brom,35, D(CLR),M(R),21,1741,-,-,0.6,0.4,1,0.8,0.1,0.5,0.6,6.95
148,Jonny Evans Man Utd,34, D(CL),,17,1378,-,-,0.4,0.1,0.2,0.6,-,0.1,0.1,6.95
149,Yannick Bolasie Crystal Palace,33, AM(LR),FW,23(6),2039,-,4,1.7,0.9,2.6,0.9,0.2,1.7,1.4,6.94
150,Nathaniel Clyne Southampton,31, D(LR),M(R),20(5),1862,-,4,0.2,1.1,0.8,0.4,-,0.9,0.8,6.94
151,Jonjo Shelvey Swansea,30, M(C),,29(3),2476,6,6,2.4,1.4,0.8,0.5,-,0.9,0.9,6.94
152,Antonio Valencia Man Utd,37, D(R),M(R),20(9),1941,2,3,0.6,0.9,1,0.8,0.2,0.9,1.1,6.94
153,Matija Nastasic Man City,29, D(C),,11(2),1028,-,-,0.4,0.1,-,0.4,-,0.2,0.3,6.94
154,Marouane Chamakh Crystal Palace,38, AM(C),FW,27(5),2308,5,2,0.5,1.1,0.8,1.7,0.4,1.8,1.7,6.94
155,Craig Dawson West Brom,32, D(CR),,10(2),950,-,2,1.2,0.3,-,0.5,0.1,0.2,0.5,6.93
156,Graham Dorrans West Brom,35, M(CLR),,12(2),1106,2,-,1.3,2.3,0.6,0.9,-,1.3,0.6,6.93
157,Roger Johnson West Ham,39, D(C),,2(2),272,-,-,0.3,-,-,0.3,-,-,0.3,6.93
158,Ryan Shawcross Stoke,35, D(C),,37,3292,1,-,0.5,0.2,0.1,0.7,0.2,0.1,0.2,6.93
159,Ron Vlaar Aston Villa,37, D(C),,32,2806,-,1,0.3,0.1,0.3,0.4,-,0.2,0.4,6.93
160,Modibo Diakité Sunderland,35, D(CR),,7,630,-,-,0.4,-,0.3,1.4,0.1,-,0.3,6.93
161,Jan Vertonghen Tottenham,35, D(CL),,23,2004,-,-,0.6,0.4,0.7,1.0,0.1,1.2,0.9,6.93
162,Etienne Capoue Tottenham,34, D(C),M(CL),8(4),687,1,-,0.5,0.3,0.8,0.7,-,0.9,0.3,6.93
163,Steven Davis Southampton,37, M(CLR),,28(6),2502,2,7,0.9,1.7,0.7,0.5,0.1,1.2,0.7,6.92
164,Tom Lawrence Man Utd,28, AM(CLR),FW,1,70,-,-,2.0,2,2.0,1.0,-,4,-,6.92
165,Andros Townsend Tottenham,31, AM(LR),FW,12(13),1226,1,-,2.2,1.1,2.7,1.2,-,1.4,1.2,6.92
166,Kolo Touré Liverpool,41, D(C),,15(5),1439,-,2,0.4,0.4,0.5,0.1,0.1,0.1,0.5,6.91
167,Stewart Downing West Ham,38, D(L),M(CLR),29(3),2511,1,2,1.3,2,1.1,0.9,0.3,0.8,1,6.91
168,Joseph Yobo Norwich,42, D(C),,8,720,-,-,0.3,0.1,0.1,0.6,-,-,0.3,6.91
169,Ashley Cole Chelsea,41, D(L),M(L),15(2),1387,-,2,0.2,1,0.5,0.9,0.1,0.5,1,6.91
170,Morgan Amalfitano West Brom,37, M(CLR),,26(2),2152,4,3,1,1.6,1.5,1.0,0.4,1.8,1.2,6.91
171,Ben Davies Swansea,29, D(CL),M(L),32(2),2874,2,1,0.3,0.9,0.4,0.7,-,0.5,0.8,6.91
172,Jussi Jääskeläinen West Ham,47, GK,,18,1620,-,1,-,0.1,-,0.1,-,-,-,6.9
173,Joleon Lescott Man City,40, D(CL),,8(2),784,-,-,0.6,-,0.1,0.1,-,0.2,0.2,6.9
174,Fernando Torres Chelsea,38, FW,,16(12),1572,5,5,2.2,1,1.2,1.0,0.8,1.3,1.3,6.9
175,Álvaro Negredo Man City,37, FW,,21(11),1726,9,3,2.1,1,0.3,0.5,0.4,0.9,1.3,6.89
176,Paulinho Tottenham,34, M(CR),,28(2),2381,6,2,2.4,0.8,0.8,0.6,0.2,1.7,1.6,6.89
177,Joe Allen Liverpool,32, M(C),,15(9),1438,1,-,0.8,0.8,0.8,1.0,-,1.1,1.1,6.89
178,Ryan Bennett Norwich,32, D(C),,14(2),1348,1,-,0.4,0.1,-,0.4,-,0.1,0.1,6.89
179,Juan Mata Chelsea,34, AM(CLR),,11(2),834,-,2,0.8,2.3,0.8,1.2,0.4,0.8,1.2,6.89
180,Fernando Amorebieta Fulham,37, D(CL),,20(3),1846,1,-,0.5,0.2,0.3,0.5,-,0.2,0.2,6.89
181,Roland Lamah Swansea,34, M(CLR),,4(5),455,2,2,1.6,1.3,1.4,0.8,-,0.8,1.6,6.89
182,Leroy Fer Norwich,32, M(CL),,28(1),2466,3,1,1.4,1.0,1.2,1.2,-,2.2,1.2,6.89
183,Tim Howard Everton,43, GK,,37,3263,-,1,-,0.1,-,0.1,-,-,-,6.89
184,André Schürrle Chelsea,32, M(CLR),FW,15(15),1327,8,2,1.9,1.0,0.6,0.4,0.5,0.6,1.2,6.88
185,Victor Wanyama Southampton,31, DMC,,19(4),1661,-,-,0.8,0.3,0.7,1.3,-,1.3,0.7,6.88
186,Jonathan de Guzmán Swansea,35, M(CLR),,26(8),2357,4,4,1.5,1.5,0.5,1.0,0.2,1.3,1.3,6.88
187,Mohamed Salah Chelsea,30, AM(CLR),FW,6(4),501,2,1,2.1,0.9,1.6,1.4,0.1,1.8,1,6.88
188,Serge Gnabry Arsenal,27, AM(CLR),FW,5(4),464,1,-,1.3,0.6,1.2,0.8,-,1.1,0.9,6.88
189,Ciaran Clark Aston Villa,33, D(CL),,23(4),2203,-,-,0.5,0.3,0.2,0.6,-,0.1,0.2,6.87
190,Michael Turner Norwich,38, D(C),,22,1944,-,-,0.1,0.3,0.1,0.5,-,0.1,0.2,6.87
191,Maynor Figueroa Hull,39, D(CL),M(L),31(1),2717,-,-,0.7,0.3,0.4,1.2,-,0.5,0.8,6.87
192,Harry Kane Tottenham,29, AM(C),FW,6(4),500,3,-,2.8,0.7,0.5,1.1,0.5,0.9,1.1,6.87
193,Phil Bardsley Sunderland,37, D(LR),,26,2249,2,-,1.2,0.7,0.9,0.8,0.2,0.8,0.8,6.87
194,Peter Whittingham Cardiff,38, M(CL),,30(2),2661,3,5,1.4,1.7,0.5,0.5,-,1,0.7,6.86
195,Tomás Kalas Chelsea,29, D(CR),,2,180,-,-,0.5,-,0.5,-,-,-,-,6.86
196,Shane Long Hull,35, AM(R),FW,15,1208,4,1,1.8,0.9,0.1,1.6,1,1.9,1.9,6.86
197,Mohamed Diamé West Ham,35, M(CLR),,29(6),2485,4,2,1.7,0.6,2.1,1,-,1.9,1.8,6.86
198,Liam Rosenior Hull,38, D(LR),M(LR),22(7),1988,1,2,0.3,0.7,0.7,0.5,-,0.6,0.6,6.86
199,George McCartney West Ham,41, D(L),,20(2),1841,-,-,0.1,0.5,0.3,1,-,0.3,0.3,6.85
200,Calum Chambers Southampton,27, D(CR),DMC,18(4),1641,-,-,0.2,0.5,0.8,0.5,-,0.7,1.1,6.85
201,José Enrique Liverpool,36, D(L),M(L),6(2),602,-,2,0.4,1.1,0.8,0.1,0.1,0.6,0.6,6.85
202,Adam Johnson Sunderland,35, M(CLR),,28(8),2446,8,5,1.6,1.8,1.2,0.9,0.1,1.1,1.0,6.85
203,Modibo Maiga West Ham,35, FW,,11(3),1007,1,2,1.8,0.9,0.3,0.4,0.7,1.0,1.2,6.85
204,Leon Osman Everton,41, M(CLR),,27(11),2174,3,5,1.3,0.7,0.7,0.7,-,1.3,0.7,6.85
205,Claudio Yacob West Brom,35, DMC,,22(5),1844,1,-,0.4,0.3,0.3,0.9,-,0.7,0.4,6.84
206,Nathan Redmond Norwich,28, AM(CLR),FW,23(11),2159,1,3,1.9,1.0,1.7,1.1,0.1,1.3,1.2,6.84
207,Danny Welbeck Man Utd,31, AM(CLR),FW,15(10),1461,9,1,1.8,0.5,0.8,1.2,-,1.6,1.6,6.84
208,John Stones Everton,28, D(CR),,15(6),1368,-,-,-,0.3,0.7,0.4,-,0.4,0.4,6.84
209,Michu Swansea,36, AM(C),FW,15(2),1289,2,2,2.5,1.5,0.5,1.2,0.6,0.4,0.7,6.84
210,Kyle Bartley Swansea,31, D(C),,1(1),91,-,-,-,-,-,-,-,-,-,6.84
211,Scott Parker Fulham,42, M(C),,27(2),2318,2,1,0.6,0.6,0.9,1.4,-,1.2,1,6.83
212,Ravel Morrison West Ham,29, M(C),FW,12(4),1155,3,2,1.3,0.7,2.1,1.2,0.1,1.7,1.1,6.83
213,Guy Demel West Ham,41, D(R),,30(2),2638,1,-,0.4,0.4,1,0.6,-,0.8,0.5,6.83
214,Juan Cala Cardiff,32, D(C),,7,585,2,-,1,0.1,0.1,0.6,0.4,0.1,0.7,6.83
215,Brede Hangeland Fulham,41, D(C),,23,1908,-,-,0.2,0.1,0.5,0.3,-,0.3,0.2,6.83
216,Ashley Westwood Aston Villa,32, DMC,,35,3081,3,2,0.8,1.9,0.2,0.5,-,0.5,0.5,6.82
217,Adrián West Ham,35, GK,,20,1800,-,-,-,0.1,-,0.3,-,-,-,6.82
218,Carlos Cuellar Sunderland,41, D(C),,4,342,-,-,-,0.3,0.3,0.8,-,-,0.3,6.82
