,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
255,Matthew Briggs Fulham,31, D(L),,0(2),87,4.0,-,1,-,1.5,-,-,-,6.75
256,Hatem Ben Arfa Newcastle,35, M(CR),FW,13(14),1305,0.4,0.3,0.6,-,0.2,0.7,-,-,6.74
257,Tom Cleverley Man Utd,33, M(CLR),,18(4),1581,2.2,1.5,0.7,-,0.9,1.3,0.2,-,6.74
258,Pablo Hernández Swansea,37, M(CLR),,17(10),1431,0.9,0.5,0.6,-,0.7,0.9,-,-,6.74
259,Rio Ferdinand Man Utd,44, D(C),,12(2),1128,0.7,1.4,-,0.4,6.3,0.3,0.5,-,6.74
260,Jores Okore Aston Villa,30, D(C),,2(1),167,1.7,1.0,1,0.7,5.0,0.3,0.3,-,6.74
261,Kevin Nolan West Ham,40, M(C),,33,2694,1.8,0.7,1.4,-,1.6,1.2,0.4,-,6.74
262,Antonio Luna Aston Villa,31, D(L),M(L),16(1),1382,2.5,1.5,0.8,0.5,1.9,1.1,0.5,1,6.74
263,Sebastien Bassong Norwich,36, D(C),,27,2378,1.0,1.6,0.4,0.8,7.2,0.3,0.7,1,6.74
264,Elliott Bennett Norwich,33, D(LR),M(CLR),1(1),104,2.0,0.5,-,-,0.5,1.0,-,-,6.73
265,Aaron Lennon Tottenham,35, M(LR),,26(1),2187,1.3,0.6,0.4,-,0.3,0.6,0.1,-,6.73
266,John O'Shea Sunderland,41, D(C),,33,2922,1.3,1.5,0.6,0.5,5.2,0.4,0.6,1,6.73
267,Marc Wilson Stoke,35, D(CL),DMC,30(3),2691,2.0,1.1,1,0.3,4.1,0.8,0.8,-,6.72
268,Craig Noone Cardiff,34, M(LR),,13(4),1225,0.9,1.1,0.8,-,0.9,1.2,-,-,6.72
269,Nikica Jelavic Hull,37, FW,,16,1319,0.4,0.3,1.6,-,1.4,0.6,0.3,-,6.72
270,Younes Kaboul Tottenham,36, D(C),,11(2),943,1.9,1.9,0.7,1.3,6.3,0.3,0.2,1,6.72
271,Jack Colback Sunderland,33, D(L),M(CL),28(5),2425,1.7,1.2,1.4,-,1.4,0.8,0.2,-,6.72
272,Dean Moxey Crystal Palace,36, D(CL),,18(2),1519,2.6,1.5,0.6,0.3,3.3,0.8,0.2,-,6.72
273,Sebastian Larsson Sunderland,37, M(CR),,24(7),2220,1.9,0.9,1.2,-,0.6,1,0.2,-,6.72
274,David Marshall Cardiff,37, GK,,37,3330,-,-,-,-,0.6,-,-,-,6.72
275,Liam Ridgewell West Brom,38, D(CL),,33,2871,2.1,1.4,0.7,0.2,3.5,1.3,0.4,-,6.72
276,Hugo Lloris Tottenham,35, GK,,37,3330,0.1,0.1,0.1,-,1.3,-,-,-,6.72
277,Jonás Gutiérrez Norwich,39, D(LR),M(CLR),2(2),197,3,1.8,1,-,0.3,0.8,0.3,-,6.72
278,Dimitar Berbatov Fulham,41, AM(C),FW,18,1569,0.7,0.4,1.6,-,1.1,0.5,0.2,-,6.71
279,Jack Butland Stoke,29, GK,,2(1),225,-,-,-,-,-,-,-,-,6.71
280,Kyle Naughton Tottenham,33, D(CLR),M(R),19(3),1745,2.7,1.5,1,0.3,2.3,0.9,0.2,-,6.71
281,Shinji Kagawa Man Utd,33, M(CL),,14(4),1172,1,0.9,0.2,-,0.3,0.4,-,-,6.71
282,Wayne Routledge Swansea,37, M(CLR),FW,32(3),2707,1.3,1.1,1,-,0.6,0.5,-,-,6.71
283,Nacer Chadli Tottenham,33, M(CLR),FW,15(9),1455,0.9,0.5,0.8,-,1.2,0.4,-,-,6.7
284,Gary Medel Cardiff,35, D(C),DMC,34,2873,2.3,1.9,1,0.1,1.8,1.5,0.3,-,6.7
285,Alexander Tettey Norwich,36, M(C),,17(4),1488,2,2,1.1,-,1.5,0.7,0.2,-,6.7
286,Martin Olsson Norwich,34, D(L),M(L),33(1),2965,1.3,1.2,0.2,0.2,3.3,0.3,0.6,-,6.69
287,Joe Hart Man City,35, GK,,31,2790,-,-,-,-,1.1,-,-,-,6.69
288,Javi García Man City,35, D(C),DMC,14(15),1529,0.9,1.1,0.6,0.2,2.0,0.6,0.1,-,6.69
289,Artur Boruc Southampton,42, GK,,29,2578,-,-,-,-,0.6,-,-,-,6.69
290,Mapou Yanga-Mbiwa Newcastle,33, D(CR),,17(6),1499,1.4,1.6,0.8,0.3,5.2,0.6,0.3,-,6.69
291,Pajtim Kasami Fulham,30, M(CLR),,20(9),1806,2,0.5,1.3,-,0.9,1.1,0.1,-,6.69
292,Shane Long West Brom,35, AM(R),FW,11(4),1039,1,0.3,1.9,-,0.9,0.5,-,-,6.68
293,Nabil Bentaleb Tottenham,27, M(C),,11(4),1069,2.6,1.7,1.2,-,0.9,0.9,0.2,-,6.68
294,Simon Mignolet Liverpool,34, GK,,38,3420,-,-,-,-,1.1,-,-,-,6.68
295,Steven Reid West Brom,41, D(R),,16,1309,1.5,1.7,1.1,0.3,4.4,0.8,0.2,-,6.68
296,Chris Herd Aston Villa,33, D(C),,2,171,3,1.5,2,0.5,8.5,0.5,1,-,6.68
297,Giorgos Karagounis Fulham,45, AM(C),,6(8),657,2.1,0.6,0.5,-,0.2,0.6,0.1,-,6.67
298,David Stockdale Fulham,37, GK,,19(2),1738,-,-,-,-,0.6,-,-,1,6.67
299,Nacho Monreal Arsenal,36, D(CL),M(L),13(10),1179,1.3,1.1,0.5,0.1,2.4,0.6,0.1,-,6.67
