number,name,position,age,nation,team,value
124,Caglar S?y?nc?,Centre-Back,26,Turkey,Leicester City,¢æ40.00m
125,Dominic Calvert-Lewin,Centre-Forward,25,England,Everton FC,¢æ40.00m
126,Marco Asensio,Right Winger,26,Spain,Real Madrid,¢æ40.00m
127,Dani Olmo,Attacking Midfield,24,Spain,RB Leipzig,¢æ40.00m
128,Ferland Mendy,Left-Back,27,France,Real Madrid,¢æ40.00m
129,Presnel Kimpembe,Centre-Back,27,France,Paris Saint-Germain,¢æ40.00m
130,Rodrigo de Paul,Central Midfield,28,Argentina,Atl?tico de Madrid,¢æ40.00m
131,R?ben Neves,Defensive Midfield,25,Portugal,Wolverhampton Wanderers,¢æ40.00m
132,Gon?alo Guedes,Left Winger,25,Portugal,Wolverhampton Wanderers,¢æ40.00m
133,N'Golo Kant?,Defensive Midfield,31,France,Chelsea FC,¢æ40.00m
134,Jos? Gay?,Left-Back,27,Spain,Valencia CF,¢æ40.00m
135,Thomas Lemar,Attacking Midfield,26,France,Atl?tico de Madrid,¢æ40.00m
136,Nabil Fekir,Attacking Midfield,29,France,Real Betis Balompi?,¢æ40.00m
137,Piotr Zielinski,Attacking Midfield,28,Poland,SSC Napoli,¢æ40.00m
138,Gerard Moreno,Centre-Forward,30,Spain,Villarreal CF,¢æ40.00m
139,Pierre-Emile H?jbjerg,Central Midfield,27,Denmark,Tottenham Hotspur,¢æ40.00m
140,Marcelo Brozovic,Defensive Midfield,29,Croatia,Inter Milan,¢æ40.00m
141,Yannick Carrasco,Left Winger,28,Belgium,Atl?tico de Madrid,¢æ40.00m
142,Jorginho,Defensive Midfield,30,Italy,Chelsea FC,¢æ40.00m
143,Antonio R?diger,Centre-Back,29,Germany,Real Madrid,¢æ40.00m
144,Casemiro,Defensive Midfield,30,Brazil,Manchester United,¢æ40.00m
145,Douglas Luiz,Defensive Midfield,24,Brazil,Aston Villa,¢æ38.00m
146,Gabriel Magalh?es,Centre-Back,24,Brazil,Arsenal FC,¢æ38.00m
147,Ben Chilwell,Left-Back,25,England,Chelsea FC,¢æ38.00m
148,Thomas Partey,Defensive Midfield,29,Ghana,Arsenal FC,¢æ38.00m
149,Luke Shaw,Left-Back,27,England,Manchester United,¢æ38.00m
150,Harry Maguire,Centre-Back,29,England,Manchester United,¢æ38.00m
151,Wilfried Zaha,Left Winger,29,Cote d'Ivoire,Crystal Palace,¢æ38.00m
152,Antony,Right Winger,22,Brazil,Ajax Amsterdam,¢æ35.00m
153,Matheus Nunes,Central Midfield,23,Portugal,Wolverhampton Wanderers,¢æ35.00m
154,Edmond Tapsoba,Centre-Back,23,Burkina Faso,Bayer 04 Leverkusen,¢æ35.00m
155,Bremer,Centre-Back,25,Brazil,Juventus FC,¢æ35.00m
156,Giovanni Reyna,Attacking Midfield,19,United States,Borussia Dortmund,¢æ35.00m
157,Karim Adeyemi,Centre-Forward,20,Germany,Borussia Dortmund,¢æ35.00m
158,Ryan Gravenberch,Central Midfield,20,Netherlands,Bayern Munich,¢æ35.00m
159,Josko Gvardiol,Centre-Back,20,Croatia,RB Leipzig,¢æ35.00m
160,Lucas Paquet?,Attacking Midfield,24,Brazil,Olympique Lyon,¢æ35.00m
161,Jurrien Timber,Centre-Back,21,Netherlands,Ajax Amsterdam,¢æ35.00m
162,Yves Bissouma,Central Midfield,25,Mali,Tottenham Hotspur,¢æ35.00m
163,Ollie Watkins,Centre-Forward,26,England,Aston Villa,¢æ35.00m
164,Manuel Locatelli,Defensive Midfield,24,Italy,Juventus FC,¢æ35.00m
165,Ivan Toney,Centre-Forward,26,England,Brentford FC,¢æ35.00m
166,Paulo Dybala,Second Striker,28,Argentina,AS Roma,¢æ35.00m
167,Andreas Christensen,Centre-Back,26,Denmark,FC Barcelona,¢æ35.00m
168,Mike Maignan,Goalkeeper,27,France,AC Milan,¢æ35.00m
169,S?bastien Haller,Centre-Forward,28,Cote d'Ivoire,Borussia Dortmund,¢æ35.00m
170,Domenico Berardi,Right Winger,28,Italy,US Sassuolo,¢æ35.00m
171,Riyad Mahrez,Right Winger,31,Algeria,Manchester City,¢æ35.00m
172,Timo Werner,Centre-Forward,26,Germany,RB Leipzig,¢æ35.00m
173,Memphis Depay,Centre-Forward,28,Netherlands,FC Barcelona,¢æ35.00m
174,Niklas S?le,Centre-Back,26,Germany,Borussia Dortmund,¢æ35.00m
175,Hakan Calhanoglu,Central Midfield,28,Turkey,Inter Milan,¢æ35.00m
176,Antoine Griezmann,Second Striker,31,France,Atl?tico de Madrid,¢æ35.00m
177,Kalidou Koulibaly,Centre-Back,31,Senegal,Chelsea FC,¢æ35.00m
178,Nicol? Zaniolo,Attacking Midfield,23,Italy,AS Roma,¢æ33.00m
179,Nico Schlotterbeck,Centre-Back,22,Germany,Borussia Dortmund,¢æ33.00m
