,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
222,Daniele Padelli Udinese,36, GK,,3,270,-,-,-,-,1.0,-,-,-,6.58
223,Marco Sportiello Atalanta,30, GK,,6,451,-,-,-,-,0.8,-,-,-,6.58
224,Kevin Agudelo Spezia,23, AM(CR),FW,12(11),1236,1.9,0.3,1.6,-,0.2,0.6,-,-,6.58
225,Adam Marusic Lazio,29, D(CLR),M(LR),30(3),2720,0.9,1.2,0.8,0.2,1.8,0.6,0.2,-,6.58
226,Ricardo Rodríguez Torino,30, D(CL),M(L),28(6),2472,1.1,1.2,0.8,0.4,1.4,0.4,0.2,-,6.58
227,Alessandro Buongiorno Torino,23, D(C),,12(11),1184,0.9,1.3,1.2,0.1,1.9,0.2,0.3,-,6.58
228,Juan Musso Atalanta,28, GK,,33,2932,-,-,0.1,-,0.7,-,-,-,6.58
229,Matteo Darmian Inter,32, D(CLR),M(LR),18(7),1509,1.3,0.8,0.9,0.1,0.9,1,-,-,6.58
230,Raoul Bellanova Cagliari,22, M(R),,27(4),2498,0.9,0.7,0.3,0.2,1.3,0.7,0.3,-,6.58
231,Alex Sandro Juventus,31, D(CL),M(L),17(11),1776,1.0,1,1.1,0.2,1.3,0.5,0.2,1,6.57
232,Danilo Cataldi Lazio,28, M(C),,19(13),1713,1.1,0.5,0.6,-,0.5,0.8,0.4,-,6.57
233,Federico Bernardeschi Juventus,28, M(CLR),FW,16(12),1480,0.6,0.2,0.6,-,0.5,0.3,0.1,-,6.57
234,Erick Pulgar Fiorentina,28, DMC,,4(2),341,1.0,0.8,0.8,-,0.3,0.8,0.2,-,6.57
235,Jérémie Boga Atalanta,25, AM(CLR),FW,7(8),765,0.5,0.1,0.1,-,0.1,0.1,-,-,6.57
236,Dennis Praet Torino,28, AM(CR),,17(6),1544,0.8,0.1,0.9,-,0.2,0.6,-,-,6.57
237,Thomas Henry Venezia,27, FW,,23(10),2122,0.3,0.1,1.5,-,0.8,0.2,0.2,2,6.57
238,Samuele Ricci Empoli,21, M(C),,17(4),1533,1.6,1.5,0.8,-,0.8,0.7,0.2,-,6.57
239,Alessio Cragno Cagliari,28, GK,,35,3150,0.1,-,-,-,0.7,-,-,-,6.57
240,Riccardo Saponara Fiorentina,30, AM(CL),,13(16),1287,0.3,-,0.2,-,0.1,0.3,-,-,6.57
241,Grigoris Kastanos Salernitana,24, AM(CR),,16(11),1346,1.1,0.8,1.0,-,0.3,0.6,0.2,-,6.57
242,Matias Viña Roma,24, D(L),M(L),18(8),1566,1.8,1,0.3,0.1,1.0,1.2,0.1,-,6.57
243,Matteo Politano Napoli,29, AM(CLR),FW,20(13),1659,0.7,0.4,0.4,-,0.1,1.2,0.1,-,6.56
244,Jean-Victor Makengo Udinese,24, AM(CL),,26(7),2360,0.9,0.6,0.8,-,0.4,0.4,0.2,-,6.56
245,Rogerio Sassuolo,24, D(L),M(L),19(4),1733,0.9,0.8,0.7,0.7,1.7,0.3,0.3,-,6.56
246,Ainsley Maitland-Niles Roma,24, D(LR),M(CLR),7(1),493,1.0,0.8,0.8,0.1,0.4,1.1,-,-,6.56
247,Ridgeciano Haps Venezia,29, D(L),M(L),24(1),2062,1.4,1.2,0.9,0.2,1.9,0.4,0.5,-,6.56
248,Denis Zakaria Juventus,25, D(C),DMC,6(3),598,1.2,1.2,1.2,-,0.7,0.9,0.3,-,6.56
249,Stephan El Shaarawy Roma,29, AM(CLR),FW,8(19),1047,0.5,0.4,0.3,0.1,0.2,0.1,0.1,-,6.56
250,Marash Kumbulla Roma,22, D(C),,13(4),1030,1.2,0.9,1.3,0.5,1.5,0.4,0.5,-,6.56
251,Armando Izzo Torino,30, D(C),,6(5),526,1.5,1.5,1.5,0.2,1.9,0.2,0.4,-,6.56
252,Kelvin Amian Spezia,24, D(CLR),,31(1),2652,2.1,1,1.1,0.2,2.0,0.3,0.7,-,6.56
253,Andrea Cambiaso Genoa,22, D(R),M(L),21(5),1795,1.8,0.9,0.8,0.2,1.1,0.5,0.3,-,6.56
254,Daniele Rugani Juventus,28, D(C),,9(3),881,0.7,0.9,0.9,0.5,3.8,0.3,0.3,-,6.56
255,Lorenzo De Silvestri Bologna,34, D(R),M(R),27(4),2300,0.7,0.8,0.9,0.1,1.5,0.7,0.2,-,6.55
256,Marco Silvestri Udinese,31, GK,,35,3150,-,-,-,-,0.5,-,-,-,6.55
257,Thomas Strakosha Lazio,27, GK,,23,2070,-,-,0.1,-,0.7,-,-,-,6.55
258,Isaac Success Udinese,26, AM(LR),FW,11(11),911,0.2,0.1,1.1,-,0.2,0.2,-,-,6.55
259,Nehuén Pérez Udinese,22, D(C),,19(1),1695,2.2,1.1,1.5,0.2,2.2,0.5,0.5,-,6.54
260,David Zima Torino,21, D(C),,13(7),1310,1,1.2,0.8,0.1,2.1,0.6,0.7,-,6.54
261,Eljif Elmas Napoli,22, M(CLR),,12(25),1601,0.7,0.2,0.7,-,0.4,0.4,0.1,-,6.54
262,Alessandro Berardi Verona,31, Goalkeeper,,1,90,-,-,-,-,-,-,-,-,6.54
263,Diego Godín Cagliari,36, D(C),,9(2),819,1.6,1.2,1.2,0.5,3.9,0.5,0.5,-,6.54
