,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
82,Zlatan Ibrahimovic AC Milan,40, FW,,11(12),1009,3,1,18.0,72.5,0.1,0.2,-,6.82
83,Gianluca Scamacca Sassuolo,23, FW,,25(11),2155,-,0.7,14.9,74.0,-,0.5,-,6.82
84,David Ospina Napoli,33, GK,,31,2790,-,-,27.5,81.2,-,4.8,-,6.82
85,Teun Koopmeiners Atalanta,24, D(C),M(C),23(7),2129,1,1.6,45.6,82.7,1,2.9,-,6.82
86,Éderson Salernitana,23, DMC,,13(2),1153,1,0.6,24.3,81.6,-,1.1,0.1,6.82
87,Riccardo Stivanello Bologna,18, Defender,,0(1),45,-,-,12.0,75.0,-,2.0,-,6.82
88,Adrien Rabiot Juventus,27, DMC,M(L),28(4),2294,2,0.7,31.8,83.3,0.2,0.8,-,6.82
89,Milan Skriniar Inter,27, D(C),,35,3150,-,0.3,60.0,92.9,0.1,3.0,0.1,6.82
90,Denzel Dumfries Inter,26, D(R),M(R),21(12),2028,4,0.8,20.5,77.1,0.4,0.4,-,6.81
91,Jordan Veretout Roma,29, M(C),,26(10),2329,8,1.5,37.0,88.4,1,2.8,-,6.81
92,Manuel Locatelli Juventus,24, M(C),,23(8),2161,4,0.6,45.8,85.8,-,3.2,-,6.81
93,Stephane Singo Torino,21, M(R),,32(3),2626,4,0.7,30.4,79.8,0.4,1.5,-,6.8
94,Simone Bastoni Spezia,25, D(L),DMC,26(5),2291,3,1.5,32.1,74.0,1.4,1.6,-,6.8
95,Szymon Zurkowski Empoli,24, M(C),,29(6),2320,2,0.6,24.9,79.9,0.1,0.5,-,6.8
96,Giorgio Altare Cagliari,24, D(C),,17(2),1469,-,0.4,36.7,68.9,0.3,3.1,-,6.8
97,Samir Udinese,27, D(CL),,17,1427,-,0.2,37.5,79.8,0.2,2.1,-,6.8
98,Ibañez Roma,23, D(C),,32(2),2888,-,0.3,55.6,87.5,-,3.4,-,6.8
99,Destiny Udogie Udinese,19, M(L),,29(6),2486,4,0.8,21.9,78.4,0.1,0.3,-,6.8
100,Milan Badelj Genoa,33, M(C),,34,2853,-,0.8,45.6,78.9,0.1,2.4,0.1,6.79
101,Sérgio Oliveira Roma,30, DMC,,13(1),902,1,1.1,32.8,83.2,0.9,2.1,-,6.79
102,Samir Handanovic Inter,38, GK,,37,3330,-,-,29.3,83.3,-,5.2,-,6.79
103,Petar Stojanovic Empoli,26, D(R),M(R),32(1),2741,1,1.1,40.8,78.5,0.6,1.8,0.1,6.79
104,Ismaël Bennacer AC Milan,24, DMC,,15(16),1523,1,0.7,34.5,87.7,0.2,2.1,0.1,6.78
105,Morten Frendrup Genoa,21, DMC,,6(4),694,-,0.4,27.2,66.5,0.2,0.7,-,6.78
106,Marten de Roon Atalanta,31, D(C),DMC,28(2),2549,-,0.2,55.3,85.4,-,3.5,-,6.78
107,Marco Faraoni Verona,30, D(R),M(R),30(2),2583,6,0.6,30.9,68.0,0.7,2.1,0.1,6.77
108,João Pedro Cagliari,30, AM(CLR),FW,37,3325,4,0.8,18.7,72.3,0.1,1.0,-,6.77
109,Josip Brekalo Torino,24, AM(CLR),FW,26(6),2297,2,1.9,31.5,78.1,1.1,1.3,0.1,6.77
110,Davide Frattesi Sassuolo,22, DMC,,35(1),2885,3,0.8,34.0,83.7,0.1,1.3,0.1,6.77
111,Federico Dimarco Inter,24, D(CL),M(L),13(19),1422,2,1.5,31.3,88.2,1.8,2.0,-,6.77
112,Ivan Provedel Spezia,28, GK,,31,2762,-,-,34.0,57.5,-,8.9,-,6.76
113,Maxime Lopez Sassuolo,24, M(CR),,33(2),2942,2,1.4,73.6,91.2,0.1,2.7,-,6.76
114,Pablo Marí Udinese,28, D(C),,15,1342,-,0.3,37.1,76.3,-,3.5,0.1,6.76
115,Cristiano Biraghi Fiorentina,29, D(L),M(L),37,3167,1,1.9,53.8,84.9,2.6,3.4,-,6.76
116,Merih Demiral Atalanta,24, D(C),,22(6),1916,2,0.1,28.5,85.2,-,1.6,-,6.75
117,Giacomo Bonaventura Fiorentina,33, M(CLR),,28(3),2280,5,1.1,37.4,85.2,0.3,2.0,-,6.75
118,Musa Barrow Bologna,23, AM(CL),FW,25(9),2147,6,1.3,23.5,82.6,0.9,1.1,0.1,6.75
119,Nikola Milenkovic Fiorentina,24, D(CR),,34,2932,-,0.1,61.5,89.6,-,4.3,-,6.75
120,Giacomo Raspadori Sassuolo,22, AM(CL),FW,32(4),2757,5,1.2,27.0,82.7,0.2,1.1,0.1,6.75
121,Emil Bohinen Salernitana,23, M(C),,8(3),699,1,1.0,24.9,82.1,0.5,0.5,-,6.75
122,Chris Smalling Roma,32, D(CR),,23(4),2088,-,0.1,38.7,89.0,-,1.7,-,6.74
123,Alessio Romagnoli AC Milan,27, D(CL),,16(3),1408,-,0.2,52.4,89.5,-,2.5,-,6.74
124,Giorgio Chiellini Juventus,38, D(C),,16(5),1354,-,0.3,44.3,83.5,-,3.6,-,6.74
125,Andrea Pinamonti Empoli,23, FW,,32(4),2871,2,0.8,16.7,62.2,0.1,0.2,-,6.74
126,Francesco Acerbi Lazio,34, D(C),,29(1),2530,-,0.2,67.9,90.0,-,5.5,-,6.73
127,Mattia Bani Genoa,28, D(C),,13(4),1214,-,0.2,27.4,71.5,-,2.1,-,6.73
128,Domenico Criscito Genoa,35, D(CL),M(L),18(2),1622,1,0.5,42.8,80.0,0.5,2.4,-,6.73
129,Rafael Tolói Atalanta,31, D(C),,16(4),1440,1,0.4,45.5,82.4,0.2,2.5,0.1,6.73
130,Nicolò Rovella Genoa,20, DMC,,16(5),1467,3,1.4,40.7,84.7,1.4,3.0,0.1,6.73
131,Wojciech Szczesny Juventus,32, GK,,33,2970,-,0.1,25.7,79.4,-,5.2,-,6.73
132,Lucas Martínez Fiorentina,26, D(C),,16(4),1431,-,0.3,55.8,89.8,-,5.4,-,6.73
133,Ethan Ampadu Venezia,21, D(C),DMC,26(3),2289,3,0.5,36.6,76.9,0.3,2.2,0.1,6.73
134,Weston McKennie Juventus,24, D(C),M(CLR),15(6),1372,-,1,24.7,77.3,0.1,0.9,-,6.73
135,Stefan de Vrij Inter,30, D(C),,28(2),2413,-,-,52.2,91.8,-,2.7,-,6.73
136,Giorgos Kyriakopoulos Sassuolo,26, D(L),M(L),22(7),1973,5,1.2,36.0,84.5,1,1.2,-,6.73
