,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating,Country
74,Cheick Tioté ,36, M(C),,31(2),2764,1,0.7,63.5,87.2,0.1,3.8,0,7.01,6.34,Ivory Coast
75,Ross Barkley ,28, M(CLR),,25(9),2291,0,0.8,36.2,85,0.2,2.7,0.1,7,6.51,England
77,Adnan Januzaj ,27, AM(CLR),,15(12),1641,3,1.1,22.1,81.6,1.1,0.9,0.2,6.96,6.67,Belgium
82,Paulinho ,34, M(CR),,28(2),2381,2,0.8,42.9,84.5,0.1,2,0.1,6.89,6.51,Brazil
84,Juan Mata ,34, AM(CLR),,11(2),834,2,2.3,41.3,88.1,1.8,2.4,0.2,6.89,7.12,Spain
85,Leroy Fer ,32, M(CL),,28(1),2466,1,1,39.8,83.6,0,2.9,0.2,6.89,7.31,Netherlands
87,Jonathan de Guzmán ,35, M(CLR),,26(8),2357,4,1.5,51.7,88.3,1.6,3.6,0,6.88,6.47,Netherlands
99,Ki Sung-Yeung ,33, DMC,,25(2),2185,1,1,44.3,90.7,0.1,3.6,0,6.8,7.25,South Korea
105,Ashkan Dejagah ,36, M(LR),,13(9),1301,2,1,23.7,80.1,0.8,0.8,0,6.76,6.86,Iran
113,Shinji Kagawa ,33, M(CL),,14(4),1172,3,0.9,39.2,87,0.3,2.2,0.2,6.71,6.55,Japan
116,Nabil Bentaleb ,27, M(C),,11(4),1069,1,0.5,45.2,87.8,0.1,2.5,0,6.68,6.53,Algeria
117,Giorgos Karagounis ,45, AM(C),,6(8),657,0,0.9,29.1,87.7,0.7,3.8,0,6.67,6.9,Greece
118,Ivan Rakitic ,34, M(C),,29(4),2676,10,2.3,50.6,79.3,2.1,4.9,0.2,7.61,7.07,Croatia
123,Koke ,30, M(CLR),,33(3),2818,13,1.9,43.4,80.6,1.6,1.8,0.3,7.39,7.32,Spain
125,Andrés Iniesta ,38, M(CL),,27(8),2487,7,1.5,62.1,90.7,0.1,3.6,0.3,7.34,7.15,Spain
126,Luka Modric ,37, M(C),,29(5),2651,6,1.5,58.4,89.7,0.7,6.1,0.1,7.31,7.22,Croatia
135,Yacine Brahimi ,32, M(CLR),,33(2),2793,4,1.1,30.1,83,0.3,1.5,0.1,7.12,7.52,Algeria
140,Xabi Alonso ,40, M(C),,23(3),2027,1,0.8,65.5,88,0.3,6.6,0.2,7.07,6.58,Spain
147,Sofiane Feghouli ,32, M(CR),,22(10),2067,8,1.1,23.6,73.5,0.8,0.8,0,6.96,7.44,Algeria
151,Javier Aquino ,32, AM(R),,18(9),1695,4,1,18.5,77,0.3,0.2,0.1,6.93,6.49,Mexico
178,Sami Khedira ,35, M(C),,12(1),974,1,0.9,43.3,86.5,0.3,1.7,0.1,6.75,6.99,Germany
192,João Moutinho ,36, M(C),,31,2564,8,1.9,63.6,85.8,1.5,4.5,0.3,7.3,6.69,Portugal
194,Thiago Motta ,40, M(C),,31(1),2544,2,1.5,85.9,92.5,0.8,6.6,0.2,7.28,6.45,Italy
196,Marco Verratti ,30, M(C),,23(6),1996,4,0.8,77.7,91.3,0.1,6.3,0.2,7.19,7.17,Italy
198,Blaise Matuidi ,35, M(CL),,28(8),2555,2,0.7,51.5,92,0.2,2.2,0,7.11,7.48,France
200,Mathieu Valbuena ,38, M(CLR),,31(3),2541,6,2.6,45.6,84.6,1.3,3.1,0.1,7.08,7.56,France
201,Landry N'Guémo ,36, M(C),,20(3),1777,2,0.3,46.3,87.2,0,3.9,0,7.07,6.45,Cameroon
208,Abel Aguilar ,37, M(C),,27(1),2451,0,0.5,60.9,81.2,0.1,4,0.1,6.96,7.17,Colombia
235,Yohan Cabaye ,36, M(C),,9(6),819,2,0.6,49.7,91.4,0.2,4.7,0,6.73,7.24,France
249,Hernanes ,37, M(C),,13(1),1142,4,2.6,46.4,83.7,1.6,3.1,0.1,7.76,6.41,Brazil
250,Paul Pogba ,29, M(CL),,33(3),3068,7,1.4,42.4,83.8,0.4,2.6,0.3,7.65,7.39,France
251,Andrea Pirlo ,43, M(C),,29(1),2467,6,2.3,69,88.5,2.1,9.6,0.4,7.56,6.88,Italy
252,Miralem Pjanic ,32, M(C),,32(3),2704,6,2.1,63,88.3,0.7,3.4,0.3,7.54,8.2,Bosnia and Herzegovina
253,Arturo Vidal ,35, M(CR),,28(4),2441,5,1.5,46,83.7,0.3,3.7,0.2,7.46,6.8,Chile
257,Antonio Candreva ,35, M(CLR),,35(2),3082,6,2.1,34.5,83.2,1.9,2.8,0.1,7.34,6.79,Italy
265,Fredy Guarín ,36, M(CR),,26(6),2209,6,1.4,28.7,71.1,0.9,1.9,0.1,7.26,6.59,Colombia
267,Gökhan Inler ,38, DMC,,30(2),2632,2,0.8,63.5,86.8,0,5.7,0.1,7.24,7.29,Switzerland
273,Nigel de Jong ,37, M(C),,32(1),2800,3,0.6,58.4,91.4,0,10.3,0.1,7.12,6.88,Netherlands
276,Lucas Biglia ,36, DMC,,23(3),1946,1,1.3,49.8,87.4,0.2,4.8,0,7.09,6.4,Argentina
277,Blerim Dzemaili ,36, M(C),,18(6),1547,3,1.3,44.3,89.6,0,2.8,0,7.06,6.43,Switzerland
281,Claudio Marchisio ,36, M(C),,21(8),1987,1,1,37.2,86.7,0.2,3.9,0.1,7.02,6.39,Italy
290,Hernanes ,37, M(C),,14(3),1195,0,0.5,33.2,84.2,0.3,2.2,0,6.93,6.41,Brazil
291,Panagiotis Kone ,35, M(CLR),,28,2382,0,1.4,27.3,81,1.2,1.4,0,6.92,6.53,Greece
293,Valon Behrami ,37, M(C),,16(5),1461,0,0.2,38.1,90.1,0,1.7,0,6.9,6.55,Switzerland
298,Sulley Muntari ,38, M(C),,20(6),1574,2,1.1,33.3,79.2,0.2,3.4,0,6.88,7.47,Ghana
299,Keisuke Honda ,36, M(CR),,12(2),983,2,1.2,32,84.2,0.5,0.6,0.1,6.88,7.48,Japan
320,Afriyie Acquah ,30, M(C),,18(9),1777,2,0.4,29.8,87.1,0.1,1,0,6.71,6.75,Ghana
