,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,WC_Rating
216,Ander Herrera ,33, M(C),,12(7),1093,2,0.9,55.2,92.3,0.1,2.5,0.3,6.84,0
217,Baptiste Santamaría ,27, DMC,,28(6),2520,1,0.5,44.9,87.0,0.1,3.6,0.0,6.83,0
218,Cengiz Ünder ,25, AM(CLR),,25(7),2209,2,1.1,25.2,79.7,0.8,1.0,0.1,6.82,0
219,Jean Onana ,22, DMC,,23,1846,2,0.7,45.6,81.8,0.1,3.9,0.3,6.81,0
220,Aleksandr Golovin ,26, M(CLR),,17(10),1505,4,1.6,23.5,80.2,1.2,0.7,0.1,6.81,0
221,Rominigue Kouamé ,25, M(C),,34,2977,2,0.6,45.4,88.2,0.1,1.5,0.1,6.8,0
222,Justin Kluivert ,23, AM(LR),,25(3),1883,5,1.3,17.3,76.3,1.5,0.7,0.1,6.79,0
223,Mario Lemina ,28, DMC,,24(8),1972,0,0.2,36.4,87.8,0.1,1.7,0.0,6.79,0
224,Laurent Abergel ,29, DMC,,34,2963,3,1.0,47.2,82.4,0.3,2.9,0.1,6.78,0
225,Sanjin Prcic Strasbourg,28, M(C),,27(5),2197,0,0.7,42.0,86.3,0.4,4.1,0.1,6.77,0
226,Gelson Martins ,27, M(LR),,24(8),1921,3,0.7,19.4,80.4,0.1,0.3,0.0,6.77,0
227,Nabil Bentaleb ,27, M(C),,18,1523,0,0.2,50.3,83.0,0.0,2.6,0.0,6.76,0
228,Przemyslaw Frankowski ,27, M(CLR),,28(9),2452,5,1.0,31.2,82.2,0.4,0.8,0.1,6.75,0
229,Enzo Le Fée ,22, AM(CLR),,25(11),2202,3,1.4,30.9,82.4,1.0,2.2,0.1,6.74,0
230,Leandro Paredes ,28, DMC,,10(5),842,2,0.5,62.2,95.8,0.0,2.5,0.0,6.73,0
231,Maxence Caqueret ,22, DMC,,26(5),2335,0,0.8,48.8,85.9,0.2,1.6,0.1,6.73,0
232,Alexis Flips ,22, M(CR),,13(12),1062,4,1.2,15.5,66.9,1.0,0.6,0.0,6.73,0
233,Youssouf Fofana ,23, DMC,,23(10),2187,4,0.6,35.4,76.3,0.1,1.6,0.1,6.72,0
