,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating
239,Yoann Salmier ,29, D(C),,30(1),2671,1.9,1.3,2.8,0.5,6.6,0
243,Thiago Mendes ,30, D(CR),M(CR),21(8),1864,1.2,1.2,1.9,0.2,6.59,0
246,Maxime Busi ,22, D(R),M(R),13(5),1297,1.4,0.9,1.4,0.3,6.59,0
250,Arnaud Souquet ,30, D(CR),M(R),27(7),2341,1.6,1,1.6,0.2,6.59,0
252,Ismael Traoré ,36, D(CR),,36(1),3215,0.8,1.2,3.2,0.5,6.59,0
257,Warmed Omari ,22, D(C),,31(3),2798,1,0.9,2.7,0.4,6.58,0
259,Jérôme Boateng ,33, D(CR),,19(5),1627,0.8,0.8,3,0.4,6.58,0
266,Nicolas Cozza ,23, D(CL),,32(2),2778,2.4,1.1,2.2,0.6,6.57,0
267,Adrien Truffert ,20, D(L),,18(12),1635,1,0.6,0.8,0.2,6.56,0
269,Thomas Delaine ,30, D(L),M(LR),26(3),2317,1.7,0.9,1,0.2,6.56,0
270,Thilo Kehrer ,25, D(CLR),M(R),16(11),1505,0.8,0.9,1,0.4,6.56,0
275,Enock Kwateng ,25, D(CR),M(R),22(7),2002,1.9,1.5,1.6,0.1,6.55,0
276,Sikou Niakaté ,23, D(C),,8(4),661,0.7,2.3,2.7,0.3,6.54,0
281,Florent Ogier ,33, D(C),,29(1),2434,1,1.2,2.8,0.9,6.54,0
283,Anel Ahmedhodzic ,23, D(C),,15,1350,2.5,1.5,2.8,0.5,6.54,0
287,Henrique ,28, D(L),M(L),12(6),1105,0.7,1.2,0.6,0.1,6.53,0
293,Leonardo Balerdi ,23, D(C),,10(7),950,0.5,1.1,1.7,0.2,6.52,0
295,Lilian Brassier ,22, D(CL),,23(8),2258,1.3,1,2.6,0.7,6.52,0
298,Thomas Foket ,27, D(R),M(R),26(3),2243,1,1.1,1,0.1,6.52,0
299,Fábio ,32, D(LR),M(R),21(6),1679,2.3,1.3,1.1,0.3,6.52,0
300,Flavius Daniliuc ,21, D(CR),,14(10),1291,1.9,0.6,1.3,0.3,6.52,0
304,Ismail Jakobs ,23, D(L),M(L),10(18),1193,1.1,0.6,1,0,6.51,0
305,Vincent Le Goff ,32, D(L),M(L),34,3060,1.8,1.1,1.2,0.1,6.51,0
306,Leo Petrot ,25, D(C),,21(1),1820,1.4,1,3.8,0.8,6.5,0
307,Stian Gregersen ,27, D(C),,22(2),1955,1.6,1.6,4.1,0.7,6.5,0
308,Cédric Hountondji ,28, D(C),,23,2035,1.4,1.5,3.3,0.5,6.5,0
309,Issa Kaboré ,21, D(R),M(R),26(5),2261,1.5,0.6,0.9,0.1,6.5,0
