,name,age,position1,position2,Apps,Mins,Tackles,Inter,Clear,Blocks,Rating,WC_Rating
290,Luca Netz ,19, D(L),M(L),16(7),1313,1,0.6,1,0.2,6.43,0
296,Sebastian Rode ,31, D(R),M(C),10(7),763,0.9,0.8,0.5,0.1,6.42,0
14,Bremer ,25, D(C),,33,2895,1.5,3.2,4,0.7,7.22,0
16,Juan Cuadrado ,34, D(R),M(CLR),28(5),2496,1.5,0.9,0.9,0.2,7.19,0
19,Theo Hernández ,24, D(L),M(L),30(2),2713,1.7,0.7,0.8,0.1,7.16,0
25,Kalidou Koulibaly ,31, D(C),,27,2406,1.4,1.1,3.1,0.9,7.08,0
29,Giovanni Di Lorenzo ,29, D(CLR),M(R),33,2873,1.8,1.2,1.2,0.3,7.04,0
36,José Luis Palomino ,32, D(C),,30(4),2674,2.3,2.9,2.3,0.6,7,0
39,Fikayo Tomori ,24, D(CR),,30(1),2719,2.4,1.5,2.5,0.7,6.98,0
40,Mário Rui ,31, D(L),M(L),34,3002,2,1.2,1.3,0.2,6.98,0
45,Bryan Cristante ,27, D(C),M(C),29(5),2674,2.3,1.2,1.3,0.1,6.94,0
48,Danilo ,31, D(CLR),DMC,22,1895,1.7,1.5,2.1,0.5,6.93,0
56,Alessandro Bastoni ,23, D(C),,29(2),2323,1.4,1.1,1.8,0.4,6.9,0
60,Davide Calabria ,25, D(LR),M(R),24(2),2124,2.4,0.9,1.1,0.2,6.89,0
61,Matthijs de Ligt ,23, D(C),,29(2),2675,1.1,0.8,3.1,0.7,6.87,0
65,Pierre Kalulu ,22, D(CR),,21(7),1939,2.2,0.9,1.8,0.5,6.86,0
80,Amir Rrahmani ,28, D(CL),,33,2928,0.6,0.6,2.5,0.8,6.83,0
85,Teun Koopmeiners ,24, D(C),M(C),23(7),2129,1.3,0.5,0.5,0.1,6.82,0
89,Milan Skriniar ,27, D(C),,35,3150,1.3,0.7,2.5,0.7,6.82,0
90,Denzel Dumfries ,26, D(R),M(R),21(12),2028,1,0.3,0.5,0.2,6.81,0
94,Simone Bastoni Spezia,25, D(L),DMC,26(5),2291,1.7,1,0.9,0.4,6.8,0
96,Giorgio Altare ,24, D(C),,17(2),1469,2.1,1.6,3.7,0.3,6.8,0
97,Samir ,27, D(CL),,17,1427,2.1,2.5,3.4,0.4,6.8,0
98,Ibañez ,23, D(C),,32(2),2888,1.6,1.8,2.8,0.2,6.8,0
103,Petar Stojanovic ,26, D(R),M(R),32(1),2741,2.9,0.8,1.6,0.4,6.79,0
106,Marten de Roon ,31, D(C),DMC,28(2),2549,2.3,1.5,1.4,0.1,6.78,0
107,Marco Faraoni ,30, D(R),M(R),30(2),2583,1.9,0.7,1.7,0.2,6.77,0
111,Federico Dimarco ,24, D(CL),M(L),13(19),1422,0.9,0.6,0.4,0,6.77,0
114,Pablo Marí ,28, D(C),,15,1342,1.1,1.4,4.6,0.8,6.76,0
115,Cristiano Biraghi ,29, D(L),M(L),37,3167,1,0.5,0.7,0.3,6.76,0
116,Merih Demiral ,24, D(C),,22(6),1916,1.1,2.1,2.3,0.5,6.75,0
119,Nikola Milenkovic ,24, D(CR),,34,2932,1.6,1.1,2.7,0.4,6.75,0
122,Chris Smalling ,32, D(CR),,23(4),2088,1.3,1,3.3,0.9,6.74,0
123,Alessio gnoli ,27, D(CL),,16(3),1408,1.3,1,2.3,0.6,6.74,0
124,Giorgio Chiellini ,38, D(C),,16(5),1354,1,1,2.7,0.9,6.74,0
126,Francesco Acerbi ,34, D(C),,29(1),2530,0.8,1.1,3,0.9,6.73,0
127,Mattia Bani ,28, D(C),,13(4),1214,1.4,1.2,4.4,0.6,6.73,0
128,Domenico Criscito ,35, D(CL),M(L),18(2),1622,1.9,2,2.6,0.6,6.73,0
129,Rafael Tolói ,31, D(C),,16(4),1440,1.9,1.3,1.8,0.6,6.73,0
132,Lucas Martínez ,26, D(C),,16(4),1431,1.8,1,2.3,0.5,6.73,0
133,Ethan Ampadu ,21, D(C),DMC,26(3),2289,2.3,1.8,2.5,0.7,6.73,0
134,Weston McKennie ,24, D(C),M(CLR),15(6),1372,1,1.1,0.9,0.4,6.73,0
135,Stefan de Vrij ,30, D(C),,28(2),2413,1.3,1.1,1.7,0.3,6.73,0
136,Giorgos Kyriakopoulos ,26, D(L),M(L),22(7),1973,1,0.4,1.4,0.3,6.73,0
141,Mërgim Vojvoda ,27, D(CR),M(LR),22(7),1978,1.3,0.7,1.4,0.3,6.72,0
143,Johan Vásquez ,23, D(CL),,27(1),2282,2.8,1.5,2.9,0.4,6.71,0
148,Sebastiano Luperto ,25, D(C),,22(2),1957,1.2,1.9,5.4,1.1,6.71,0
