,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Rating,WC_Rating
379,Riccardo Orsolini ,25, M(CR),FW,21(8),1794,6,3,1.8,0.7,0.9,6.67,0
380,Antonio Sanabria ,26, FW,,22(7),1814,6,2,1.7,0.6,0.4,6.65,0
381,Brahim Díaz ,23, AM(CLR),,25(6),1872,3,3,1.0,1.0,1.5,6.62,0
382,Alexis Sánchez ,33, M(CLR),FW,7(20),863,5,2,1.2,0.7,0.8,6.62,0
383,Matteo Pessina ,25, AM(CR),,18(9),1444,1,1,1.0,0.9,0.9,6.62,0
384,Jérémie Boga ,25, AM(CLR),FW,8(4),672,0,2,1.3,0.6,2.3,6.61,0
385,Roberto Soriano ,31, AM(CLR),,32(3),2639,0,4,0.7,1.4,0.6,6.61,0
386,Aleksey Miranchuk ,26, M(CR),FW,7(12),769,2,5,0.7,1.2,0.8,6.59,0
387,Kevin Agudelo Spezia,23, AM(CR),FW,12(11),1236,3,1,0.9,0.4,1.2,6.58,0
388,Federico Bernardeschi ,28, M(CLR),FW,16(12),1480,1,2,1.2,0.6,1.1,6.57,0
389,Jérémie Boga ,25, AM(CLR),FW,7(8),765,0,0,1.4,1.3,2.1,6.57,0
390,Dennis Praet ,28, AM(CR),,17(6),1544,2,2,1.0,1.1,0.5,6.57,0
391,Thomas Henry ,27, FW,,23(10),2122,9,3,1.5,0.6,0.4,6.57,0
392,Riccardo Saponara ,30, AM(CL),,13(16),1287,3,3,1.3,0.7,0.7,6.57,0
393,Grigoris Kastanos ,24, AM(CR),,16(11),1346,1,1,1.0,1.0,0.8,6.57,0
394,Matteo Politano ,29, AM(CLR),FW,20(13),1659,3,4,1.3,1.0,0.6,6.56,0
395,Jean-Victor Makengo ,24, AM(CL),,26(7),2360,1,3,1.0,0.8,1.2,6.56,0
396,Stephan El Shaarawy ,29, AM(CLR),FW,8(19),1047,3,0,1.4,1.1,0.7,6.56,0
397,Isaac Success ,26, AM(LR),FW,11(11),911,2,7,1.1,0.7,0.9,6.55,0
398,Emmanuel Gyasi Spezia,28, M(LR),FW,35(1),3045,6,0,1.1,0.6,0.9,6.54,0
399,Manolo Portanova ,22, AM(CL),,17(7),1333,1,0,1.2,0.4,1.0,6.53,0
400,Arthur Cabral ,24, FW,,8(6),750,2,2,1.6,0.5,0.6,6.53,0
401,Mattia Destro ,31, FW,,21(6),1754,9,1,2.0,0.4,0.4,6.53,0
402,Roberto Pereyra ,31, M(CLR),FW,22(2),1799,3,5,1.3,1.0,0.9,6.53,0
403,Sofian Kiyine ,24, AM(CL),,14(12),1239,1,0,0.8,0.7,2.1,6.49,0
404,David Okereke ,24, AM(CR),FW,24(8),2064,7,0,1.3,0.4,0.8,6.49,0
405,Marko Pjaca ,27, AM(CL),FW,13(11),1146,3,0,0.9,0.6,1.0,6.48,0
406,Leonardo Pavoletti ,33, FW,,14(19),1508,5,1,1.1,0.5,0.2,6.48,0
407,Ignacio Pussetto ,26, AM(CLR),FW,11(17),1202,4,4,1.1,0.5,0.9,6.48,0
408,Ante Rebic ,28, AM(CLR),FW,6(18),876,2,2,1.3,1.2,0.7,6.47,0
409,Riccardo Sottil ,23, AM(LR),,14(10),1245,3,2,0.9,0.6,1.1,6.47,0
410,Federico Bonazzoli ,25, AM(C),FW,19(13),1867,10,0,1.8,0.3,0.5,6.47,0
411,Rey Manaj Spezia,25, FW,,19(11),1768,5,0,1.8,0.4,0.7,6.47,0
412,Federico Di Francesco ,28, M(LR),FW,17(9),1378,5,0,1.0,0.5,0.5,6.45,0
413,Dejan Kulusevski ,22, AM(CR),FW,5(15),762,1,3,0.9,0.5,0.9,6.43,0
